motif_chr	motif_start	motif_end	motif	motif_score	motif_strand	tss_chr	tss_start	tss_end	tss_info	tss_score	tss_strand	TSS_id	oligo_reg_x	oligo_reg_y	enhancer_id	oligo_reg	unique_id
chr1	119683058	119683069	E2F6	13.3793	+	chr1	119682959	119683074	div_lnc__p1@ENST00000425884,p1@ENST00000440150,p1@uc001eho.1,p1@uc001ehp.1,p1@uc009whk.1__chr1:119683002..119683047,+	0	+	chr1:119683002..119683047,+	chr1:119682960..119683074,+			chr1:119682960..119683074,+	WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr1:119682960..119683074,+__10.1.0.0
chr1	145382414	145382422	Atf1	11.2459	-	chr1	145382340	145382455	intergenic__p1@ENST00000433081__chr1:145382365..145382409,-	0	-	chr1:145382365..145382409,-	chr1:145382340..145382454,-			chr1:145382340..145382454,-	WILDTYPE_BUT_HAS_SNP__Lincrna.noflip.NA__chr1:145382340..145382454,-__15.1.0.0
chr1	145382413	145382421	CREB1	11.5676	-	chr1	145382340	145382455	intergenic__p1@ENST00000433081__chr1:145382365..145382409,-	0	-	chr1:145382365..145382409,-	chr1:145382340..145382454,-			chr1:145382340..145382454,-	WILDTYPE_BUT_HAS_SNP__Lincrna.noflip.NA__chr1:145382340..145382454,-__15.1.0.0
chr1	145382419	145382433	SPI1	4.78182	-	chr1	145382340	145382455	intergenic__p1@ENST00000433081__chr1:145382365..145382409,-	0	-	chr1:145382365..145382409,-	chr1:145382340..145382454,-			chr1:145382340..145382454,-	WILDTYPE_BUT_HAS_SNP__Lincrna.noflip.NA__chr1:145382340..145382454,-__15.1.0.0
chr1	224180344	224180352	Atf1	11.2459	+	chr1	224180310	224180425	Enhancer__chr1:224180261-224180516	0	+	chr1:224180261-224180516		chr1:224180275..224180389,-	chr1:224180261-224180516	chr1:224180275..224180389,-	WILDTYPE_BUT_HAS_SNP__Enhancer.noflip.NA__chr1:224180275..224180389,-__2305.1.0.0
chr1	224180345	224180353	CREB1	13.5495	+	chr1	224180310	224180425	Enhancer__chr1:224180261-224180516	0	+	chr1:224180261-224180516		chr1:224180275..224180389,-	chr1:224180261-224180516	chr1:224180275..224180389,-	WILDTYPE_BUT_HAS_SNP__Enhancer.noflip.NA__chr1:224180275..224180389,-__2305.1.0.0
chr1	224180341	224180354	JUN	10.0204	+	chr1	224180310	224180425	Enhancer__chr1:224180261-224180516	0	+	chr1:224180261-224180516		chr1:224180275..224180389,-	chr1:224180261-224180516	chr1:224180275..224180389,-	WILDTYPE_BUT_HAS_SNP__Enhancer.noflip.NA__chr1:224180275..224180389,-__2305.1.0.0
chr1	224180395	224180410	NFYB	13.3269	+	chr1	224180310	224180425	Enhancer__chr1:224180261-224180516	0	+	chr1:224180261-224180516		chr1:224180275..224180389,-	chr1:224180261-224180516	chr1:224180275..224180389,-	WILDTYPE_BUT_HAS_SNP__Enhancer.noflip.NA__chr1:224180275..224180389,-__2305.1.0.0
chr1	224180408	224180425	REST	4.5102	-	chr1	224180310	224180425	Enhancer__chr1:224180261-224180516	0	+	chr1:224180261-224180516		chr1:224180275..224180389,-	chr1:224180261-224180516	chr1:224180275..224180389,-	WILDTYPE_BUT_HAS_SNP__Enhancer.noflip.NA__chr1:224180275..224180389,-__2305.1.0.0
chr1	224180344	224180352	Atf1	11.2459	+	chr1	224180310	224180425	Enhancer__chr1:224180261-224180516	0	+	chr1:224180261-224180516		chr1:224180311..224180425,+	chr1:224180261-224180516	chr1:224180311..224180425,+	WILDTYPE_BUT_HAS_SNP__Enhancer.noflip.NA__chr1:224180311..224180425,+__2012.1.0.0
chr1	224180345	224180353	CREB1	13.5495	+	chr1	224180310	224180425	Enhancer__chr1:224180261-224180516	0	+	chr1:224180261-224180516		chr1:224180311..224180425,+	chr1:224180261-224180516	chr1:224180311..224180425,+	WILDTYPE_BUT_HAS_SNP__Enhancer.noflip.NA__chr1:224180311..224180425,+__2012.1.0.0
chr1	224180341	224180354	JUN	10.0204	+	chr1	224180310	224180425	Enhancer__chr1:224180261-224180516	0	+	chr1:224180261-224180516		chr1:224180311..224180425,+	chr1:224180261-224180516	chr1:224180311..224180425,+	WILDTYPE_BUT_HAS_SNP__Enhancer.noflip.NA__chr1:224180311..224180425,+__2012.1.0.0
chr1	224180395	224180410	NFYB	13.3269	+	chr1	224180310	224180425	Enhancer__chr1:224180261-224180516	0	+	chr1:224180261-224180516		chr1:224180311..224180425,+	chr1:224180261-224180516	chr1:224180311..224180425,+	WILDTYPE_BUT_HAS_SNP__Enhancer.noflip.NA__chr1:224180311..224180425,+__2012.1.0.0
chr1	224180408	224180425	REST	4.5102	-	chr1	224180310	224180425	Enhancer__chr1:224180261-224180516	0	+	chr1:224180261-224180516		chr1:224180311..224180425,+	chr1:224180261-224180516	chr1:224180311..224180425,+	WILDTYPE_BUT_HAS_SNP__Enhancer.noflip.NA__chr1:224180311..224180425,+__2012.1.0.0
chr10	1034322	1034330	Atf1	13.082	+	chr10	1034321	1034436	protein_coding__p1@GTPBP4__chr10:1034365..1034411,+	0	+	chr10:1034365..1034411,+	chr10:1034322..1034436,+			chr10:1034322..1034436,+	WILDTYPE_BUT_HAS_SNP__mrna.flip.sense__chr10:1034322..1034436,+__1440.1.0.0
chr10	1034321	1034325	ELF1	15.7818	+	chr10	1034321	1034436	protein_coding__p1@GTPBP4__chr10:1034365..1034411,+	0	+	chr10:1034365..1034411,+	chr10:1034322..1034436,+			chr10:1034322..1034436,+	WILDTYPE_BUT_HAS_SNP__mrna.flip.sense__chr10:1034322..1034436,+__1440.1.0.0
chr10	1034321	1034325	ELK1	13.9787	+	chr10	1034321	1034436	protein_coding__p1@GTPBP4__chr10:1034365..1034411,+	0	+	chr10:1034365..1034411,+	chr10:1034322..1034436,+			chr10:1034322..1034436,+	WILDTYPE_BUT_HAS_SNP__mrna.flip.sense__chr10:1034322..1034436,+__1440.1.0.0
chr10	1034321	1034325	ETS1	12.8966	+	chr10	1034321	1034436	protein_coding__p1@GTPBP4__chr10:1034365..1034411,+	0	+	chr10:1034365..1034411,+	chr10:1034322..1034436,+			chr10:1034322..1034436,+	WILDTYPE_BUT_HAS_SNP__mrna.flip.sense__chr10:1034322..1034436,+__1440.1.0.0
chr10	1034371	1034382	Gabpa	12.377	+	chr10	1034321	1034436	protein_coding__p1@GTPBP4__chr10:1034365..1034411,+	0	+	chr10:1034365..1034411,+	chr10:1034322..1034436,+			chr10:1034322..1034436,+	WILDTYPE_BUT_HAS_SNP__mrna.flip.sense__chr10:1034322..1034436,+__1440.1.0.0
chr10	1034355	1034366	NRF1	10.0909	+	chr10	1034321	1034436	protein_coding__p1@GTPBP4__chr10:1034365..1034411,+	0	+	chr10:1034365..1034411,+	chr10:1034322..1034436,+			chr10:1034322..1034436,+	WILDTYPE_BUT_HAS_SNP__mrna.flip.sense__chr10:1034322..1034436,+__1440.1.0.0
chr10	1034354	1034364	TCF3	12.8269	+	chr10	1034321	1034436	protein_coding__p1@GTPBP4__chr10:1034365..1034411,+	0	+	chr10:1034365..1034411,+	chr10:1034322..1034436,+			chr10:1034322..1034436,+	WILDTYPE_BUT_HAS_SNP__mrna.flip.sense__chr10:1034322..1034436,+__1440.1.0.0
chr10	17428898	17428906	Atf1	13.0492	+	chr10	17428869	17428984	antisense__p1@ENST00000377597__chr10:17428943..17428962,+	0	+	chr10:17428943..17428962,+	chr10:17428870..17428984,+			chr10:17428870..17428984,+	WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr10:17428870..17428984,+__116.1.0.0
chr10	17428897	17428905	Atf3	14.3279	+	chr10	17428869	17428984	antisense__p1@ENST00000377597__chr10:17428943..17428962,+	0	+	chr10:17428943..17428962,+	chr10:17428870..17428984,+			chr10:17428870..17428984,+	WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr10:17428870..17428984,+__116.1.0.0
chr10	17428895	17428908	JUN	10.7551	+	chr10	17428869	17428984	antisense__p1@ENST00000377597__chr10:17428943..17428962,+	0	+	chr10:17428943..17428962,+	chr10:17428870..17428984,+			chr10:17428870..17428984,+	WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr10:17428870..17428984,+__116.1.0.0
chr10	97850000	97850008	Atf1	11.5246	+	chr10	97849937	97850052	intergenic__p1@ENST00000416301,p1@ENST00000444375,p1@ENST00000452728,p1@ENST00000454638,p1@ENST00000458228__chr10:97849949..97849982,-	0	-	chr10:97849949..97849982,-	chr10:97849937..97850051,-			chr10:97849937..97850051,-	WILDTYPE__Antisense.noflip.NA__chr10:97849937..97850051,-__148.1.0.0
chr10	97850000	97850010	CEBPB	11.92	+	chr10	97849937	97850052	intergenic__p1@ENST00000416301,p1@ENST00000444375,p1@ENST00000452728,p1@ENST00000454638,p1@ENST00000458228__chr10:97849949..97849982,-	0	-	chr10:97849949..97849982,-	chr10:97849937..97850051,-			chr10:97849937..97850051,-	WILDTYPE__Antisense.noflip.NA__chr10:97849937..97850051,-__148.1.0.0
chr10	97850000	97850010	CEBPD	11.9615	+	chr10	97849937	97850052	intergenic__p1@ENST00000416301,p1@ENST00000444375,p1@ENST00000452728,p1@ENST00000454638,p1@ENST00000458228__chr10:97849949..97849982,-	0	-	chr10:97849949..97849982,-	chr10:97849937..97850051,-			chr10:97849937..97850051,-	WILDTYPE__Antisense.noflip.NA__chr10:97849937..97850051,-__148.1.0.0
chr10	97849993	97850003	ELK1	13.9787	+	chr10	97849937	97850052	intergenic__p1@ENST00000416301,p1@ENST00000444375,p1@ENST00000452728,p1@ENST00000454638,p1@ENST00000458228__chr10:97849949..97849982,-	0	-	chr10:97849949..97849982,-	chr10:97849937..97850051,-			chr10:97849937..97850051,-	WILDTYPE__Antisense.noflip.NA__chr10:97849937..97850051,-__148.1.0.0
chr10	97849955	97849966	ELK4	11.3273	+	chr10	97849937	97850052	intergenic__p1@ENST00000416301,p1@ENST00000444375,p1@ENST00000452728,p1@ENST00000454638,p1@ENST00000458228__chr10:97849949..97849982,-	0	-	chr10:97849949..97849982,-	chr10:97849937..97850051,-			chr10:97849937..97850051,-	WILDTYPE__Antisense.noflip.NA__chr10:97849937..97850051,-__148.1.0.0
chr10	97849993	97850003	ETS1	12.8966	+	chr10	97849937	97850052	intergenic__p1@ENST00000416301,p1@ENST00000444375,p1@ENST00000452728,p1@ENST00000454638,p1@ENST00000458228__chr10:97849949..97849982,-	0	-	chr10:97849949..97849982,-	chr10:97849937..97850051,-			chr10:97849937..97850051,-	WILDTYPE__Antisense.noflip.NA__chr10:97849937..97850051,-__148.1.0.0
chr10	97849994	97850005	Gabpa	17.0656	+	chr10	97849937	97850052	intergenic__p1@ENST00000416301,p1@ENST00000444375,p1@ENST00000452728,p1@ENST00000454638,p1@ENST00000458228__chr10:97849949..97849982,-	0	-	chr10:97849949..97849982,-	chr10:97849937..97850051,-			chr10:97849937..97850051,-	WILDTYPE__Antisense.noflip.NA__chr10:97849937..97850051,-__148.1.0.0
chr10	97849938	97849959	REST	5.5	+	chr10	97849937	97850052	intergenic__p1@ENST00000416301,p1@ENST00000444375,p1@ENST00000452728,p1@ENST00000454638,p1@ENST00000458228__chr10:97849949..97849982,-	0	-	chr10:97849949..97849982,-	chr10:97849937..97850051,-			chr10:97849937..97850051,-	WILDTYPE__Antisense.noflip.NA__chr10:97849937..97850051,-__148.1.0.0
chr11	10562775	10562783	Atf1	11.5246	+	chr11	10562699	10562814	div_pc__p1@RNF141__chr11:10562710..10562782,-	0	-	chr11:10562710..10562782,-	chr11:10562699..10562813,-			chr11:10562699..10562813,-	WILDTYPE__mrna.flip.sense__chr11:10562699..10562813,-__1148.1.0.0
chr11	10562790	10562801	E2F4	10.5	-	chr11	10562699	10562814	div_pc__p1@RNF141__chr11:10562710..10562782,-	0	-	chr11:10562710..10562782,-	chr11:10562699..10562813,-			chr11:10562699..10562813,-	WILDTYPE__mrna.flip.sense__chr11:10562699..10562813,-__1148.1.0.0
chr11	10562785	10562796	SP1	19.1538	+	chr11	10562699	10562814	div_pc__p1@RNF141__chr11:10562710..10562782,-	0	-	chr11:10562710..10562782,-	chr11:10562699..10562813,-			chr11:10562699..10562813,-	WILDTYPE__mrna.flip.sense__chr11:10562699..10562813,-__1148.1.0.0
chr11	10562782	10562799	SP4	19.4909	+	chr11	10562699	10562814	div_pc__p1@RNF141__chr11:10562710..10562782,-	0	-	chr11:10562710..10562782,-	chr11:10562699..10562813,-			chr11:10562699..10562813,-	WILDTYPE__mrna.flip.sense__chr11:10562699..10562813,-__1148.1.0.0
chr11	10562699	10562700	TFAP2A	11.5818	+	chr11	10562699	10562814	div_pc__p1@RNF141__chr11:10562710..10562782,-	0	-	chr11:10562710..10562782,-	chr11:10562699..10562813,-			chr11:10562699..10562813,-	WILDTYPE__mrna.flip.sense__chr11:10562699..10562813,-__1148.1.0.0
chr11	10562775	10562783	Atf1	11.5246	+	chr11	10562730	10562845	div_lnc__p1@MRVI1-AS1__chr11:10562802..10562851,+	0	+	chr11:10562802..10562851,+	chr11:10562731..10562845,+			chr11:10562731..10562845,+	WILDTYPE__Antisense.flip.sense__chr11:10562731..10562845,+__151.1.0.0
chr11	10562790	10562801	E2F4	10.5	-	chr11	10562730	10562845	div_lnc__p1@MRVI1-AS1__chr11:10562802..10562851,+	0	+	chr11:10562802..10562851,+	chr11:10562731..10562845,+			chr11:10562731..10562845,+	WILDTYPE__Antisense.flip.sense__chr11:10562731..10562845,+__151.1.0.0
chr11	10562785	10562796	SP1	19.1538	+	chr11	10562730	10562845	div_lnc__p1@MRVI1-AS1__chr11:10562802..10562851,+	0	+	chr11:10562802..10562851,+	chr11:10562731..10562845,+			chr11:10562731..10562845,+	WILDTYPE__Antisense.flip.sense__chr11:10562731..10562845,+__151.1.0.0
chr11	10562782	10562799	SP4	19.4909	+	chr11	10562730	10562845	div_lnc__p1@MRVI1-AS1__chr11:10562802..10562851,+	0	+	chr11:10562802..10562851,+	chr11:10562731..10562845,+			chr11:10562731..10562845,+	WILDTYPE__Antisense.flip.sense__chr11:10562731..10562845,+__151.1.0.0
chr11	18728021	18728029	Atf1	13.0492	-	chr11	18727947	18728062	antisense__p1@ENST00000527285__chr11:18728013..18728061,+	0	+	chr11:18728013..18728061,+	chr11:18727948..18728062,+			chr11:18727948..18728062,+	WILDTYPE__Antisense.noflip.NA__chr11:18727948..18728062,+__169.1.0.0
chr11	45377009	45377017	Atf1	13.0492	-	chr11	45376958	45377073	intergenic__p1@ENST00000524488,p1@ENST00000524565__chr11:45377007..45377051,+	0	+	chr11:45377007..45377051,+	chr11:45376959..45377073,+			chr11:45376959..45377073,+	WILDTYPE__Lincrna.noflip.NA__chr11:45376959..45377073,+__177.1.0.0
chr11	45376991	45377003	ELF1	15.0	-	chr11	45376958	45377073	intergenic__p1@ENST00000524488,p1@ENST00000524565__chr11:45377007..45377051,+	0	+	chr11:45377007..45377051,+	chr11:45376959..45377073,+			chr11:45376959..45377073,+	WILDTYPE__Lincrna.noflip.NA__chr11:45376959..45377073,+__177.1.0.0
chr11	45376991	45377001	ETS1	11.7069	-	chr11	45376958	45377073	intergenic__p1@ENST00000524488,p1@ENST00000524565__chr11:45377007..45377051,+	0	+	chr11:45377007..45377051,+	chr11:45376959..45377073,+			chr11:45376959..45377073,+	WILDTYPE__Lincrna.noflip.NA__chr11:45376959..45377073,+__177.1.0.0
chr11	45376989	45377000	Gabpa	15.1639	-	chr11	45376958	45377073	intergenic__p1@ENST00000524488,p1@ENST00000524565__chr11:45377007..45377051,+	0	+	chr11:45377007..45377051,+	chr11:45376959..45377073,+			chr11:45376959..45377073,+	WILDTYPE__Lincrna.noflip.NA__chr11:45376959..45377073,+__177.1.0.0
chr11	45377055	45377069	SPI1	9.78182	+	chr11	45376958	45377073	intergenic__p1@ENST00000524488,p1@ENST00000524565__chr11:45377007..45377051,+	0	+	chr11:45377007..45377051,+	chr11:45376959..45377073,+			chr11:45376959..45377073,+	WILDTYPE__Lincrna.noflip.NA__chr11:45376959..45377073,+__177.1.0.0
chr11	45376958	45376968	YY1	18.1923	+	chr11	45376958	45377073	intergenic__p1@ENST00000524488,p1@ENST00000524565__chr11:45377007..45377051,+	0	+	chr11:45377007..45377051,+	chr11:45376959..45377073,+			chr11:45376959..45377073,+	WILDTYPE__Lincrna.noflip.NA__chr11:45376959..45377073,+__177.1.0.0
chr12	15114705	15114713	Atf1	11.4754	+	chr12	15114643	15114758	protein_coding__p4@ARHGDIB__chr12:15114658..15114684,-	0	-	chr12:15114658..15114684,-	chr12:15114643..15114757,-			chr12:15114643..15114757,-	WILDTYPE__mrna.noflip.NA__chr12:15114643..15114757,-__998.1.0.0
chr12	25539194	25539202	Atf1	11.5246	-	chr12	25539181	25539296	Enhancer__chr12:25539082-25539407	0	+	chr12:25539082-25539407		chr12:25539117..25539231,-	chr12:25539082-25539407	chr12:25539117..25539231,-	WILDTYPE__Enhancer.flip.sense__chr12:25539117..25539231,-__2149.1.0.0
chr12	25539188	25539198	BHLHE40	10.1154	-	chr12	25539181	25539296	Enhancer__chr12:25539082-25539407	0	+	chr12:25539082-25539407		chr12:25539117..25539231,-	chr12:25539082-25539407	chr12:25539117..25539231,-	WILDTYPE__Enhancer.flip.sense__chr12:25539117..25539231,-__2149.1.0.0
chr12	25539255	25539265	CEBPB	12.84	+	chr12	25539181	25539296	Enhancer__chr12:25539082-25539407	0	+	chr12:25539082-25539407		chr12:25539117..25539231,-	chr12:25539082-25539407	chr12:25539117..25539231,-	WILDTYPE__Enhancer.flip.sense__chr12:25539117..25539231,-__2149.1.0.0
chr12	25539255	25539265	CEBPD	12.5385	+	chr12	25539181	25539296	Enhancer__chr12:25539082-25539407	0	+	chr12:25539082-25539407		chr12:25539117..25539231,-	chr12:25539082-25539407	chr12:25539117..25539231,-	WILDTYPE__Enhancer.flip.sense__chr12:25539117..25539231,-__2149.1.0.0
chr12	25539204	25539216	ELF1	9.74545	-	chr12	25539181	25539296	Enhancer__chr12:25539082-25539407	0	+	chr12:25539082-25539407		chr12:25539117..25539231,-	chr12:25539082-25539407	chr12:25539117..25539231,-	WILDTYPE__Enhancer.flip.sense__chr12:25539117..25539231,-__2149.1.0.0
chr12	25539204	25539214	ELK1	11.8085	-	chr12	25539181	25539296	Enhancer__chr12:25539082-25539407	0	+	chr12:25539082-25539407		chr12:25539117..25539231,-	chr12:25539082-25539407	chr12:25539117..25539231,-	WILDTYPE__Enhancer.flip.sense__chr12:25539117..25539231,-__2149.1.0.0
chr12	25539204	25539214	ETS1	12.931	-	chr12	25539181	25539296	Enhancer__chr12:25539082-25539407	0	+	chr12:25539082-25539407		chr12:25539117..25539231,-	chr12:25539082-25539407	chr12:25539117..25539231,-	WILDTYPE__Enhancer.flip.sense__chr12:25539117..25539231,-__2149.1.0.0
chr12	25539236	25539251	FOXA1	13.0408	+	chr12	25539181	25539296	Enhancer__chr12:25539082-25539407	0	+	chr12:25539082-25539407		chr12:25539117..25539231,-	chr12:25539082-25539407	chr12:25539117..25539231,-	WILDTYPE__Enhancer.flip.sense__chr12:25539117..25539231,-__2149.1.0.0
chr12	25539240	25539252	Foxa2	12.13	+	chr12	25539181	25539296	Enhancer__chr12:25539082-25539407	0	+	chr12:25539082-25539407		chr12:25539117..25539231,-	chr12:25539082-25539407	chr12:25539117..25539231,-	WILDTYPE__Enhancer.flip.sense__chr12:25539117..25539231,-__2149.1.0.0
chr12	25539210	25539228	NFYA	8.32927	+	chr12	25539181	25539296	Enhancer__chr12:25539082-25539407	0	+	chr12:25539082-25539407		chr12:25539117..25539231,-	chr12:25539082-25539407	chr12:25539117..25539231,-	WILDTYPE__Enhancer.flip.sense__chr12:25539117..25539231,-__2149.1.0.0
chr12	25539216	25539231	NFYB	11.7115	-	chr12	25539181	25539296	Enhancer__chr12:25539082-25539407	0	+	chr12:25539082-25539407		chr12:25539117..25539231,-	chr12:25539082-25539407	chr12:25539117..25539231,-	WILDTYPE__Enhancer.flip.sense__chr12:25539117..25539231,-__2149.1.0.0
chr12	25539188	25539199	NRF1	11.7091	-	chr12	25539181	25539296	Enhancer__chr12:25539082-25539407	0	+	chr12:25539082-25539407		chr12:25539117..25539231,-	chr12:25539082-25539407	chr12:25539117..25539231,-	WILDTYPE__Enhancer.flip.sense__chr12:25539117..25539231,-__2149.1.0.0
chr12	25539238	25539251	POU2F2	13.8103	+	chr12	25539181	25539296	Enhancer__chr12:25539082-25539407	0	+	chr12:25539082-25539407		chr12:25539117..25539231,-	chr12:25539082-25539407	chr12:25539117..25539231,-	WILDTYPE__Enhancer.flip.sense__chr12:25539117..25539231,-__2149.1.0.0
chr12	25539270	25539282	ZBTB7A	11.2714	+	chr12	25539181	25539296	Enhancer__chr12:25539082-25539407	0	+	chr12:25539082-25539407		chr12:25539117..25539231,-	chr12:25539082-25539407	chr12:25539117..25539231,-	WILDTYPE__Enhancer.flip.sense__chr12:25539117..25539231,-__2149.1.0.0
