seqID	numMotifs	numBPcovered	fragmentLength	fractionBPcovered
protein_coding__p3@SDF4__chr1:1167419..1167430,-	136	89	115	0.7739130
protein_coding__p1@B3GALT6__chr1:1167594..1167668,+	62	92	115	0.8000000
Enhancer__chr1:1173386-1173736	32	82	115	0.7130435
protein_coding__NA__chr1:1182093..1182111,-	23	75	115	0.6521739
intergenic__NA__chr1:1186422..1186427,-	34	58	115	0.5043478
Enhancer__chr1:1186391-1186507	120	65	115	0.5652174
protein_coding__p1@UBE2J2__chr1:1209195..1209254,-	31	85	115	0.7391304
protein_coding__NA__chr1:1216046..1216049,+	11	45	115	0.3913043
protein_coding__p1@PUSL1__chr1:1243966..1244033,+	66	88	115	0.7652174
protein_coding__NA__chr1:1244948..1244989,-	21	87	115	0.7565218
protein_coding__p1@CPSF3L__chr1:1260011..1260064,-	94	101	115	0.8782609
protein_coding__p1@GLTPD1__chr1:1260169..1260242,+	120	106	115	0.9217391
protein_coding__p1@TAS1R3__chr1:1266654..1266669,+	33	98	115	0.8521739
protein_coding__p1@DVL1__chr1:1284748..1284809,-	64	108	115	0.9391304
Enhancer__chr1:1286847-1286913	12	68	115	0.5913044
protein_coding__p13@MXRA8__chr1:1297175..1297180,-	21	78	115	0.6782609
protein_coding__p2@AURKAIP1__chr1:1310870..1310920,-	58	105	115	0.9130435
protein_coding__p1@CCNL2__chr1:1334685..1334722,-	82	76	115	0.6608695
protein_coding__p1@LOC148413__chr1:1334914..1334972,+	52	71	115	0.6173913
protein_coding__p1@MRPL20__chr1:1342617..1342691,-	198	96	115	0.8347826
intergenic__NA__chr1:1343722..1343730,+	11	41	115	0.3565217
protein_coding__p1@ANKRD65__chr1:1356628..1356678,-	46	67	115	0.5826087
Enhancer__chr1:1343359-1343768	14	46	115	0.4000000
Enhancer__chr1:1348685-1348696	9	64	115	0.5565217
protein_coding__p2@TMEM88B__chr1:1361448..1361475,+	23	64	115	0.5565217
div_pc__NA__chr1:1369913..1369914,+	72	101	115	0.8782609
div_lnc__NA__chr1:1370041..1370045,-	50	83	115	0.7217391
Enhancer__chr1:1368471-1368786	76	85	115	0.7391304
protein_coding__NA__chr1:1384751..1384760,+	15	67	115	0.5826087
protein_coding__p1@ATAD3B__chr1:1407133..1407170,+	19	68	115	0.5913044
protein_coding__p1@ATAD3A__chr1:1447517..1447556,+	17	81	115	0.7043478
protein_coding__NA__chr1:1475691..1475740,-	29	85	115	0.7391304
protein_coding__p1@SSU72__chr1:1510204..1510267,-	30	67	115	0.5826087
protein_coding__p1@ENST00000366221__chr1:1510337..1510363,+	22	57	115	0.4956522
protein_coding__p1@LOC643988__chr1:1535455..1535568,-	53	109	115	0.9478261
div_pc__p3@MIB2__chr1:1550858..1550927,+	74	86	115	0.7478261
div_lnc__p2@MIB2__chr1:1551145..1551186,-	50	80	115	0.6956522
protein_coding__p1@MMP23B__chr1:1567546..1567574,+	16	60	115	0.5217391
div_pc__p1@uc001ahc.1__chr1:1590418..1590479,-	84	95	115	0.8260869
div_lnc__NA__chr1:1590484..1590520,+	80	86	115	0.7478261
protein_coding__NA__chr1:1624228..1624261,-	23	48	115	0.4173913
protein_coding__p1@CDK11A,p1@CDK11B__chr1:1655723..1655803,-	43	58	115	0.5043478
protein_coding__p1@SLC35E2__chr1:1677507..1677512,-	18	35	115	0.3043478
protein_coding__p6@NADK__chr1:1711945..1711970,-	29	79	115	0.6869565
Enhancer__chr1:1714020-1714715	28	82	115	0.7130435
div_pc__p1@GNB1__chr1:1822495..1822571,-	54	92	115	0.8000000
div_lnc__NA__chr1:1822956..1822995,+	68	102	115	0.8869565
protein_coding__p5@CALML6__chr1:1846519..1846531,+	23	76	115	0.6608695
protein_coding__p1@TMEM52__chr1:1850703..1850724,-	62	97	115	0.8434783
Enhancer__chr1:1840449-1840835	94	107	115	0.9304348
protein_coding__p6@C1orf222,p6@KIAA1751__chr1:1935268..1935281,-	27	82	115	0.7130435
intergenic__NA__chr1:1946968..1946991,-	22	68	115	0.5913044
protein_coding__p1@GABRD__chr1:1950763..1950815,+	16	77	115	0.6695652
div_lnc__NA__chr1:1981602..1981618,-	76	89	115	0.7739130
div_pc__p2@PRKCZ__chr1:1981890..1981945,+	80	88	115	0.7652174
Enhancer__chr1:1978731-1978937	37	106	115	0.9217391
antisense__NA__chr1:2077515..2077557,-	12	69	115	0.6000000
antisense__NA__chr1:2115988..2115989,-	12	76	115	0.6608695
protein_coding__p1@uc001aiz.1__chr1:2121228..2121256,+	26	76	115	0.6608695
div_lnc__NA__chr1:2144111..2144133,+	62	66	115	0.5739130
div_pc__NA__chr1:2144158..2144197,-	20	69	115	0.6000000
protein_coding__NA__chr1:2145635..2145650,-	30	65	115	0.5652174
protein_coding__NA__chr1:2160465..2160476,+	25	51	115	0.4434783
div_pc__NA__chr1:2258389..2258415,+	10	45	115	0.3913043
Enhancer__chr1:2245775-2246116	48	102	115	0.8869565
Enhancer__chr1:2246556-2246763	148	84	115	0.7304348
protein_coding__p1@MORN1__chr1:2322973..2323005,-	74	97	115	0.8434783
protein_coding__p1@RER1__chr1:2323260..2323307,+	170	89	115	0.7739130
protein_coding__p2@PEX10__chr1:2345260..2345297,-	40	72	115	0.6260870
protein_coding__NA__chr1:2356647..2356648,+	11	80	115	0.6956522
protein_coding__p1@PANK4__chr1:2458026..2458056,-	28	73	115	0.6347826
protein_coding__p1@HES5__chr1:2461692..2461710,-	14	63	115	0.5478261
intergenic__p@chr1:2477831..2477845,+__chr1:2477831..2477845,+	85	111	115	0.9652174
protein_coding__p4@TNFRSF14__chr1:2487227..2487248,+	47	59	115	0.5130435
Enhancer__chr1:2476299-2476723	56	71	115	0.6173913
Enhancer__chr1:2477415-2477971	311	105	115	0.9130435
Enhancer__chr1:2478276-2478817	123	90	115	0.7826087
intergenic__NA__chr1:2497562..2497563,+	14	68	115	0.5913044
Enhancer__chr1:2501788-2502413	20	40	115	0.3478261
Enhancer__chr1:2505035-2505361	23	52	115	0.4521739
intergenic__NA__chr1:2512926..2512927,+	18	66	115	0.5739130
protein_coding__NA__chr1:2517906..2517929,+	13	63	115	0.5478261
Enhancer__chr1:2509702-2510198	60	94	115	0.8173913
div_pc__NA__chr1:2564494..2564502,-	37	74	115	0.6434783
protein_coding__NA__chr1:2718254..2718261,-	16	69	115	0.6000000
Enhancer__chr1:2772559-2772713	7	49	115	0.4260870
Enhancer__chr1:2804922-2805288	12	30	115	0.2608696
protein_coding__p1@ACTRT2__chr1:2938044..2938088,+	28	86	115	0.7478261
div_lnc__p2@ENST00000445317__chr1:2984997..2985037,-	64	85	115	0.7391304
div_pc__p2@PRDM16__chr1:2985726..2985752,+	16	66	115	0.5739130
antisense__NA__chr1:3050366..3050367,-	7	57	115	0.4956522
protein_coding__NA__chr1:3370986..3371005,+	38	87	115	0.7565218
Enhancer__chr1:3398864-3399114	41	65	115	0.5652174
protein_coding__p2@MEGF6__chr1:3528034..3528077,-	28	70	115	0.6086956
div_lnc__p1@ENST00000435049__chr1:3541308..3541355,-	156	105	115	0.9130435
div_pc__p1@TPRG1L__chr1:3541543..3541658,+	70	106	115	0.9217391
protein_coding__p1@TP73__chr1:3569072..3569093,+	84	100	115	0.8695652
protein_coding__NA__chr1:3569568..3569572,-	38	88	115	0.7652174
antisense__p1@ENST00000443034__chr1:3585331..3585373,-	9	64	115	0.5565217
antisense__NA__chr1:3630885..3630901,-	34	64	115	0.5565217
intergenic__p1@TP73-AS1__chr1:3663901..3663958,-	36	63	115	0.5478261
protein_coding__p1@CCDC27__chr1:3669006..3669028,+	23	71	115	0.6173913
protein_coding__p2@LOC388588__chr1:3689325..3689369,+	46	106	115	0.9217391
antisense__NA__chr1:3700570..3700592,+	28	99	115	0.8608696
protein_coding__p1@LRRC47__chr1:3713042..3713081,-	43	97	115	0.8434783
protein_coding__p1@CEP104__chr1:3773747..3773793,-	82	103	115	0.8956522
protein_coding__p2@DFFB__chr1:3773825..3773855,+	84	102	115	0.8869565
div_pc__p1@C1orf174__chr1:3816779..3816870,-	202	67	115	0.5826087
div_lnc__NA__chr1:3816907..3816930,+	256	103	115	0.8956522
Enhancer__chr1:3817648-3818071	62	101	115	0.8782609
Enhancer__chr1:3844625-3844991	11	70	115	0.6086956
intergenic__NA__chr1:4000693..4000700,+	21	43	115	0.3739130
intergenic__NA__chr1:4009057..4009058,-	21	77	115	0.6695652
Enhancer__chr1:4004990-4005219	37	91	115	0.7913043
Enhancer__chr1:4067941-4068288	29	78	115	0.6782609
Enhancer__chr1:4079242-4079460	21	68	115	0.5913044
Enhancer__chr1:4281719-4281846	22	94	115	0.8173913
Enhancer__chr1:4327537-4327841	32	109	115	0.9478261
Enhancer__chr1:4342218-4342503	34	79	115	0.6869565
Enhancer__chr1:4394518-4394542	3	17	115	0.1478261
intergenic__NA__chr1:4472151..4472158,+	27	83	115	0.7217391
Enhancer__chr1:4526696-4526895	12	41	115	0.3565217
intergenic__p1@ENST00000420522__chr1:4631561..4631577,+	14	54	115	0.4695652
Enhancer__chr1:4697251-4697504	7	52	115	0.4521739
protein_coding__p1@AJAP1__chr1:4714656..4714675,+	27	78	115	0.6782609
Enhancer__chr1:4707853-4708108	8	37	115	0.3217391
Enhancer__chr1:5023187-5023658	36	79	115	0.6869565
Enhancer__chr1:5033327-5033455	24	60	115	0.5217391
Enhancer__chr1:5160051-5160190	18	61	115	0.5304348
Enhancer__chr1:5172646-5173061	9	49	115	0.4260870
Enhancer__chr1:5184476-5184496	9	68	115	0.5913044
Enhancer__chr1:5483188-5483543	27	55	115	0.4782609
intergenic__NA__chr1:5553037..5553045,+	15	59	115	0.5130435
intergenic__NA__chr1:5728311..5728320,-	10	60	115	0.5217391
protein_coding__NA__chr1:6051510..6051529,+	13	73	115	0.6347826
protein_coding__p1@NPHP4__chr1:6052463..6052542,-	23	54	115	0.4695652
protein_coding__p3@CHD5__chr1:6240191..6240219,-	51	91	115	0.7913043
div_pc__NA__chr1:6265430..6265480,+	5	63	115	0.5478261
protein_coding__p2@RPL22__chr1:6269335..6269436,-	4	33	115	0.2869565
div_pc__p1@ICMT__chr1:6296005..6296070,-	76	68	115	0.5913044
div_lnc__NA__chr1:6296241..6296282,+	76	68	115	0.5913044
protein_coding__p1@HES3__chr1:6304233..6304243,+	14	82	115	0.7130435
Enhancer__chr1:6301988-6302384	47	85	115	0.7391304
protein_coding__p1@GPR153__chr1:6321111..6321174,-	50	90	115	0.7826087
div_lnc__p@chr1:6453568..6453609,+__chr1:6453568..6453609,+	99	101	115	0.8782609
div_pc__p3@ACOT7__chr1:6453810..6453833,-	38	72	115	0.6260870
protein_coding__NA__chr1:6484716..6484756,-	132	104	115	0.9043478
protein_coding__p1@ESPN__chr1:6484829..6484843,+	90	81	115	0.7043478
antisense__NA__chr1:6507159..6507196,-	18	81	115	0.7043478
protein_coding__p1@TNFRSF25__chr1:6526192..6526250,-	38	96	115	0.8347826
protein_coding__NA__chr1:6580116..6580142,-	27	45	115	0.3913043
protein_coding__p1@NOL9__chr1:6614565..6614602,-	36	83	115	0.7217391
protein_coding__p3@TAS1R1__chr1:6615362..6615371,+	38	51	115	0.4434783
protein_coding__p1@ZBTB48__chr1:6640046..6640101,+	44	59	115	0.5130435
protein_coding__p1@PHF13__chr1:6673782..6673830,+	62	67	115	0.5826087
protein_coding__NA__chr1:6674630..6674637,-	90	97	115	0.8434783
protein_coding__p2@THAP3__chr1:6684918..6684936,+	20	33	115	0.2869565
protein_coding__p1@DNAJC11__chr1:6761855..6761892,-	12	72	115	0.6260870
Enhancer__chr1:6779783-6779914	4	28	115	0.2434783
intergenic__NA__chr1:6784685..6784733,+	9	41	115	0.3565217
Enhancer__chr1:6803995-6804151	17	75	115	0.6521739
div_lnc__p1@ENST00000442889__chr1:6845035..6845053,-	82	86	115	0.7478261
div_pc__p1@CAMTA1__chr1:6845497..6845561,+	74	94	115	0.8173913
antisense__NA__chr1:7074673..7074674,-	5	27	115	0.2347826
antisense__p1@ENST00000457311__chr1:7449947..7449988,-	8	55	115	0.4782609
antisense__NA__chr1:7501624..7501643,-	27	78	115	0.6782609
protein_coding__p1@VAMP3__chr1:7831323..7831414,+	69	89	115	0.7739130
protein_coding__p1@PER3__chr1:7844312..7844411,+	64	104	115	0.9043478
antisense__NA__chr1:7887387..7887408,-	47	91	115	0.7913043
protein_coding__NA__chr1:7913558..7913559,-	5	39	115	0.3391304
Enhancer__chr1:7947650-7947935	7	47	115	0.4086956
Enhancer__chr1:7950902-7950918	11	54	115	0.4695652
protein_coding__p1@TNFRSF9__chr1:8000872..8000922,-	45	87	115	0.7565218
protein_coding__NA__chr1:8014338..8014358,+	46	93	115	0.8086957
Enhancer__chr1:8054249-8054565	16	75	115	0.6521739
div_pc__p1@ERRFI1__chr1:8086360..8086378,-	72	83	115	0.7217391
div_lnc__NA__chr1:8086762..8086773,+	44	79	115	0.6869565
Enhancer__chr1:8107848-8108157	19	57	115	0.4956522
Enhancer__chr1:8121436-8121582	36	74	115	0.6434783
Enhancer__chr1:8137301-8137521	24	63	115	0.5478261
Enhancer__chr1:8143203-8143348	22	66	115	0.5739130
Enhancer__chr1:8154517-8154933	41	93	115	0.8086957
Enhancer__chr1:8156648-8157003	60	59	115	0.5130435
Enhancer__chr1:8157417-8157780	62	72	115	0.6260870
Enhancer__chr1:8173446-8173525	24	64	115	0.5565217
Enhancer__chr1:8181009-8181247	28	68	115	0.5913044
Enhancer__chr1:8187209-8187385	36	67	115	0.5826087
Enhancer__chr1:8187563-8187834	12	37	115	0.3217391
Enhancer__chr1:8194345-8194402	24	44	115	0.3826087
Enhancer__chr1:8195042-8195246	28	47	115	0.4086956
Enhancer__chr1:8198088-8198334	6	58	115	0.5043478
Enhancer__chr1:8214748-8215059	20	37	115	0.3217391
Enhancer__chr1:8215795-8215905	48	76	115	0.6608695
Enhancer__chr1:8226138-8226422	10	44	115	0.3826087
Enhancer__chr1:8229904-8230047	102	80	115	0.6956522
Enhancer__chr1:8230370-8230423	76	95	115	0.8260869
Enhancer__chr1:8250099-8250155	20	69	115	0.6000000
Enhancer__chr1:8254637-8254907	9	43	115	0.3739130
Enhancer__chr1:8257762-8258040	53	93	115	0.8086957
Enhancer__chr1:8262223-8262541	84	85	115	0.7391304
Enhancer__chr1:8263853-8264184	14	47	115	0.4086956
Enhancer__chr1:8264458-8264788	28	40	115	0.3478261
Enhancer__chr1:8272041-8272390	26	73	115	0.6347826
Enhancer__chr1:8300045-8300389	68	91	115	0.7913043
Enhancer__chr1:8319137-8319616	19	64	115	0.5565217
Enhancer__chr1:8343223-8343590	28	79	115	0.6869565
protein_coding__p1@SLC45A1__chr1:8378140..8378187,+	36	78	115	0.6782609
antisense__NA__chr1:8484576..8484577,+	24	37	115	0.3217391
protein_coding__p1@RERE__chr1:8877692..8877732,-	7	33	115	0.2869565
div_lnc__NA__chr1:8938853..8938900,+	64	80	115	0.6956522
div_pc__p5@ENO1__chr1:8939265..8939367,-	80	88	115	0.7652174
Enhancer__chr1:8953388-8953557	5	46	115	0.4000000
Enhancer__chr1:8964053-8964236	6	38	115	0.3304348
Enhancer__chr1:8971325-8971721	8	91	115	0.7913043
Enhancer__chr1:8981771-8982005	20	27	115	0.2347826
Enhancer__chr1:8983094-8983258	13	34	115	0.2956522
Enhancer__chr1:8985051-8985236	15	38	115	0.3304348
Enhancer__chr1:8986021-8986139	20	37	115	0.3217391
Enhancer__chr1:8986862-8987075	9	33	115	0.2869565
Enhancer__chr1:8987338-8987631	20	70	115	0.6086956
protein_coding__p1@CA6__chr1:9005917..9005935,+	4	33	115	0.2869565
Enhancer__chr1:8999811-9000211	10	56	115	0.4869565
protein_coding__p1@SLC2A7__chr1:9086445..9086485,-	24	71	115	0.6173913
protein_coding__p5@SLC2A5__chr1:9148495..9148517,-	15	92	115	0.8000000
Enhancer__chr1:9153048-9153242	17	43	115	0.3739130
protein_coding__p1@GPR157__chr1:9189144..9189195,-	40	97	115	0.8434783
Enhancer__chr1:9195486-9195787	7	53	115	0.4608696
Enhancer__chr1:9222919-9223181	81	81	115	0.7043478
Enhancer__chr1:9223692-9223875	100	66	115	0.5739130
Enhancer__chr1:9224991-9225286	49	92	115	0.8000000
Enhancer__chr1:9225492-9225752	44	89	115	0.7739130
intergenic__p1@ENST00000412639__chr1:9242221..9242293,+	26	44	115	0.3826087
Enhancer__chr1:9241165-9241560	31	77	115	0.6695652
Enhancer__chr1:9254228-9254398	16	67	115	0.5826087
Enhancer__chr1:9256119-9256636	14	60	115	0.5217391
intergenic__p1@ENST00000437157__chr1:9262685..9262699,-	27	71	115	0.6173913
Enhancer__chr1:9261625-9261944	18	57	115	0.4956522
Enhancer__chr1:9271499-9271772	22	86	115	0.7478261
protein_coding__p1@H6PD__chr1:9294822..9294889,+	92	83	115	0.7217391
Enhancer__chr1:9291783-9292106	62	78	115	0.6782609
Enhancer__chr1:9293549-9293739	18	70	115	0.6086956
Enhancer__chr1:9335683-9335930	77	75	115	0.6521739
protein_coding__p1@SPSB1__chr1:9352942..9352964,+	43	87	115	0.7565218
Enhancer__chr1:9473687-9473864	33	84	115	0.7304348
Enhancer__chr1:9486434-9486788	7	30	115	0.2608696
Enhancer__chr1:9488839-9489227	55	85	115	0.7391304
Enhancer__chr1:9504221-9504505	15	46	115	0.4000000
Enhancer__chr1:9535183-9535425	17	53	115	0.4608696
intergenic__NA__chr1:9563548..9563595,-	23	89	115	0.7739130
protein_coding__p1@SLC25A33__chr1:9599490..9599529,+	106	96	115	0.8347826
protein_coding__p1@TMEM201__chr1:9648921..9648982,+	26	99	115	0.8608696
Enhancer__chr1:9687482-9687636	18	39	115	0.3391304
Enhancer__chr1:9689223-9689588	33	82	115	0.7130435
protein_coding__p1@PIK3CD__chr1:9711781..9711813,+	27	92	115	0.8000000
protein_coding__NA__chr1:9714628..9714637,-	6	43	115	0.3739130
Enhancer__chr1:9700704-9700713	10	74	115	0.6434783
antisense__p1@ENST00000415330,p1@uc001aqd.2__chr1:9747612..9747646,-	57	109	115	0.9478261
protein_coding__p1@CLSTN1__chr1:9884011..9884037,-	77	64	115	0.5565217
Enhancer__chr1:9885367-9885695	28	52	115	0.4521739
Enhancer__chr1:9889535-9889880	9	70	115	0.6086956
antisense__NA__chr1:9908285..9908309,+	23	39	115	0.3391304
Enhancer__chr1:9902068-9902153	18	60	115	0.5217391
protein_coding__p2@CTNNBIP1__chr1:9970383..9970421,-	62	109	115	0.9478261
div_pc__p1@LZIC__chr1:10003372..10003465,-	120	72	115	0.6260870
protein_coding__p1@NMNAT1__chr1:10003486..10003551,+	70	84	115	0.7304348
protein_coding__p1@RBP7__chr1:10057278..10057296,+	58	100	115	0.8695652
protein_coding__p1@UBE4B__chr1:10092993..10093042,+	60	91	115	0.7913043
Enhancer__chr1:10245595-10245867	11	57	115	0.4956522
protein_coding__p1@KIF1B__chr1:10270620..10270637,+	11	67	115	0.5826087
Enhancer__chr1:10261395-10261566	31	51	115	0.4434783
Enhancer__chr1:10447707-10448369	21	65	115	0.5652174
protein_coding__NA__chr1:10458643..10458645,+	16	53	115	0.4608696
div_pc__p5@APITD1,p8@APITD1-CORT__chr1:10490127..10490140,+	52	56	115	0.4869565
div_lnc__NA__chr1:10490715..10490733,-	118	85	115	0.7391304
protein_coding__p4@CORT__chr1:10510081..10510095,+	24	73	115	0.6347826
antisense__NA__chr1:10518613..10518614,+	15	57	115	0.4956522
protein_coding__NA__chr1:10532355..10532384,+	42	72	115	0.6260870
protein_coding__p1@DFFA__chr1:10532531..10532594,-	38	72	115	0.6260870
Enhancer__chr1:10695291-10695734	34	83	115	0.7217391
antisense__NA__chr1:10699247..10699265,+	25	83	115	0.7217391
protein_coding__p3@CASZ1__chr1:10856694..10856715,-	13	39	115	0.3391304
Enhancer__chr1:10864514-10864918	17	56	115	0.4869565
Enhancer__chr1:10926873-10927035	52	86	115	0.7478261
Enhancer__chr1:10927237-10927380	62	81	115	0.7043478
Enhancer__chr1:10959985-10960148	32	67	115	0.5826087
Enhancer__chr1:10960432-10960567	78	74	115	0.6434783
Enhancer__chr1:10997518-10997835	27	101	115	0.8782609
protein_coding__NA__chr1:11042132..11042138,-	12	66	115	0.5739130
Enhancer__chr1:11050864-11051128	34	93	115	0.8086957
protein_coding__NA__chr1:11072401..11072426,+	62	85	115	0.7391304
antisense__p@chr1:11089713..11089717,+__chr1:11089713..11089717,+	10	85	115	0.7391304
protein_coding__p1@MASP2__chr1:11107289..11107304,-	27	50	115	0.4347826
protein_coding__p1@SRM__chr1:11120057..11120135,-	42	89	115	0.7739130
Enhancer__chr1:11122928-11123178	4	30	115	0.2608696
antisense__NA__chr1:11128527..11128556,+	36	86	115	0.7478261
div_lnc__NA__chr1:11159472..11159501,+	26	57	115	0.4956522
div_pc__p1@EXOSC10__chr1:11159887..11159935,-	36	88	115	0.7652174
antisense__NA__chr1:11204232..11204244,+	14	66	115	0.5739130
protein_coding__p1@ANGPTL7__chr1:11249404..11249419,+	12	51	115	0.4434783
protein_coding__p1@MTOR__chr1:11322586..11322629,-	6	55	115	0.4782609
protein_coding__p1@UBIAD1__chr1:11333245..11333290,+	47	105	115	0.9130435
Enhancer__chr1:11376903-11377179	13	48	115	0.4173913
Enhancer__chr1:11392847-11393171	10	77	115	0.6695652
Enhancer__chr1:11410602-11410834	12	81	115	0.7043478
Enhancer__chr1:11415566-11415939	58	87	115	0.7565218
Enhancer__chr1:11525445-11525525	1	9	115	0.0782609
protein_coding__p1@PTCHD2__chr1:11539204..11539219,+	12	45	115	0.3913043
protein_coding__p2@FBXO44__chr1:11714458..11714482,+	4	48	115	0.4173913
protein_coding__NA__chr1:11715912..11715924,-	48	59	115	0.5130435
protein_coding__p1@FBXO6__chr1:11724249..11724289,+	25	74	115	0.6434783
protein_coding__p3@MAD2L2__chr1:11751574..11751662,-	72	94	115	0.8173913
