SNP	unique_id	HepG2_ref_activ	HepG2_alt_activ	HepG2_effect_size	HepG2_padj	HepG2_sig_status	HepG2_downsampled_sig_status	K562_ref_activ	K562_alt_activ	K562_effect_size	K562_padj	K562_sig_status
rs10788826	WILDTYPE_SNP_INDIV__Antisense.noflip.NA__chr1:152161701..152161815,+__22.1.1.0	2.100019645951357	2.246136166970801	0.14611652101944392	1.0	not sig	not sig	1.0830739494759614	1.2454326055645357	0.16235865608857428	1.0	not sig
rs10788825,rs10788826	WILDTYPE_SNP_PLUS_HAPLO__Antisense.noflip.NA__chr1:152161701..152161815,+__22.1.1.1	2.100019645951357	2.2002061859340802	0.10018653998272324	1.0	not sig	not sig	1.0830739494759614	1.1244794657194184	0.04140551624345686	1.0	not sig
rs377014224	WILDTYPE_SNP_INDIV__Antisense.noflip.NA__chr1:155531741..155531855,+__23.1.1.0	-0.7685433817374466	-0.6999387573886732	0.06860462434877342	1.0	not sig	not sig	-1.9000395084119672	-2.193260791746691	-0.2932212833347233		
rs138939070	WILDTYPE_SNP_INDIV__Lincrna.noflip.NA__chr1:159930967..159931081,+__25.1.1.0	-0.9887128887146464	-1.1931034533392588	-0.20439056462461236				-1.2436480466681599	-1.7084464148912486	-0.46479836822308884	1.0	not sig
rs113018699	WILDTYPE_SNP_INDIV__Antisense.noflip.NA__chr1:17216082..17216196,-__30.1.1.0	0.5479136008149229	0.546844638011347	-0.0010689628035757727	1.0	not sig	not sig	0.5947939532616614	0.7605712502844075	0.16577729702274613	1.0	not sig
rs6684252	WILDTYPE_SNP_INDIV__Antisense.noflip.NA__chr1:17216082..17216196,-__30.1.2.0	0.5479136008149229	0.38037374552978775	-0.16753985528513507	1.0	not sig	not sig	0.5947939532616614	0.3727789879536101	-0.22201496530805132	1.0	not sig
rs116155333	WILDTYPE_SNP_INDIV__Antisense.noflip.NA__chr1:17216082..17216196,-__30.1.3.0	0.5479136008149229	0.5950871047763551	0.0471735039614323	1.0	not sig	not sig	0.5947939532616614	0.22464995008999622	-0.3701440031716652	1.0	not sig
rs113018699,rs6684252,rs116155333	WILDTYPE_SNP_PLUS_HAPLO__Antisense.noflip.NA__chr1:17216082..17216196,-__30.1.3.1	0.5479136008149229	0.5932696442851716	0.045356043470248776	1.0	not sig	not sig	0.5947939532616614	0.6664303258354792	0.07163637257381783	1.0	not sig
rs116155333	WILDTYPE_SNP_INDIV__Antisense.noflip.NA__chr1:17216132..17216246,-__31.1.1.0	-0.01625260321681999	-0.04231628987917746	-0.026063686662357487	1.0	not sig	not sig	0.10027787831544221	-0.1848887936620348	-0.28516667197747697		
rs6684252,rs116155333,rs71644016	WILDTYPE_SNP_PLUS_HAPLO__Antisense.noflip.NA__chr1:17216132..17216246,-__31.1.1.1	-0.01625260321681999	-0.07048516174788728	-0.05423255853106729	0.012470367443753572	not sig	not sig	0.10027787831544221	-1.5496978381090656	-1.6499757164245077		
rs113351229	WILDTYPE_SNP_INDIV__Antisense.noflip.NA__chr1:173834005..173834119,-__33.1.1.0	-1.4376382498792084	-1.313374549808709	0.12426370007049913				-2.357885479909245	-1.9685275331025056	0.38935794680673924		
rs13476	WILDTYPE_SNP_INDIV__Antisense.noflip.NA__chr1:173835815..173835929,-__34.1.1.0	-2.007851521613204	-2.033303498052133	-0.02545197643892942				-2.2476435116154008	-2.840567913978773	-0.5929244023633727		
rs75750439	WILDTYPE_SNP_INDIV__Antisense.noflip.NA__chr1:19536933..19537047,+__38.1.1.0	-0.7809688115201442	0.5009335787139524	1.2819023902340965	1.2719798489476175e-44	sig	sig	-0.2687196026125761	1.3573150447691322	1.6260346473817084	2.775983397264336e-10	sig
rs117708536	WILDTYPE_SNP_INDIV__Antisense.flip.sense__chr1:201476261..201476375,+__40.1.1.0	1.2240211193460067	1.2323934676478583	0.008372348301851648	1.0	not sig	not sig	1.951537466538021	1.6837752766907879	-0.26776218984723293	1.0	not sig
rs11585549	WILDTYPE_SNP_INDIV__Antisense.noflip.NA__chr1:201798621..201798735,-__41.1.1.0	0.26370872679067475	0.20800800642854747	-0.055700720362127275	1.0	not sig	not sig	0.2589862399334269	0.24209577317457703	-0.016890466758849886	1.0	not sig
rs17014467	WILDTYPE_SNP_INDIV__Lincrna.noflip.NA__chr1:209602085..209602199,+__48.1.1.0	-1.5722465576192979	-1.6174097112348018	-0.04516315361550385				-2.405646544225287	-2.570327572809582	-0.16468102858429512		
rs1815548	WILDTYPE_SNP_INDIV__Antisense.noflip.NA__chr1:209848537..209848651,-__49.1.1.0	-0.38551077926171023	-0.6502236869135194	-0.2647129076518091	1.0	not sig	not sig	-1.4096776292056206	-0.03544464407376115	1.3742329851318593		
rs41303051	WILDTYPE_SNP_INDIV__Lincrna.flip.sense__chr1:211556065..211556179,+__50.1.1.0	2.280594736501118	1.5179833722198133	-0.762611364281304	3.068482147287424e-47	sig	sig	2.2998036437068796	1.6478069650141012	-0.6519966786927784	1.3566259884392138e-08	sig
rs2201601	WILDTYPE_SNP_INDIV__Lincrna.flip.sense__chr1:213031405..213031519,-__51.1.1.0	-0.8196370678825772	-1.0280554321680866	-0.2084183642855094	1.0	not sig	not sig	-1.6260127505307256	-1.4757415926375277	0.15027115789319795		
rs12404942	WILDTYPE_SNP_INDIV__Lincrna.flip.sense__chr1:213031405..213031519,-__51.1.2.0	-0.8196370678825772	-1.1579547736620872	-0.3383177057795103	1.0	not sig	not sig	-1.6260127505307256	-2.633138071358297	-1.007125320827571		
rs2201602	WILDTYPE_SNP_INDIV__Lincrna.flip.sense__chr1:213031405..213031519,-__51.1.3.0	-0.8196370678825772	-0.8944095252270237	-0.07477245734444651	1.0	not sig	not sig	-1.6260127505307256	-1.571351667424393	0.05466108310633244		
rs3768554,rs2201601,rs12404942,rs2201602	WILDTYPE_SNP_PLUS_HAPLO__Lincrna.flip.sense__chr1:213031405..213031519,-__51.1.3.1	-0.8196370678825772	-0.9662132305940824	-0.1465761627115054	1.0	not sig	not sig	-1.6260127505307256	-0.9497406802256482	0.6762720703050774		
rs3008651	WILDTYPE_SNP_INDIV__Antisense.flip.sense__chr1:222763224..222763338,+__52.1.1.0	2.5539943408619856	2.708222172568771	0.1542278317067858	1.0	not sig	not sig	2.391198225698385	2.516452430092724	0.12525420439433865	1.0	not sig
rs3008652	WILDTYPE_SNP_INDIV__Antisense.flip.sense__chr1:222763224..222763338,+__52.1.2.0	2.5539943408619856	2.568587752485102	0.014593411623116781	1.0	not sig	not sig	2.391198225698385	2.100054262725922	-0.29114396297246337	1.0	not sig
rs3008651,rs3008652	WILDTYPE_SNP_PLUS_HAPLO__Antisense.flip.sense__chr1:222763224..222763338,+__52.1.2.1	2.5539943408619856	2.456929651703087	-0.0970646891588988	1.0	not sig	not sig	2.391198225698385	2.037894813179384	-0.35330341251900127	0.7870601052120475	not sig
rs61778042	WILDTYPE_SNP_INDIV__Lincrna.flip.sense__chr1:22351918..22352032,+__53.1.1.0	3.182585859526989	2.806186663458257	-0.3763991960687325	6.933308262394262e-13	sig	sig	3.339383484307172	3.1151917839695162	-0.22419170033765534	1.0	not sig
rs554008873	WILDTYPE_SNP_INDIV__Lincrna.flip.sense__chr1:231664267..231664381,-__56.1.1.0	-0.0038860299581247684	0.3187881070204766	0.32267413697860137				0.42934448311016626	1.0322034715465964	0.6028589884364304		
rs643342	WILDTYPE_SNP_INDIV__Lincrna.noflip.NA__chr1:234764949..234765063,+__58.1.1.0	-1.6049426276829044	-1.7622390378446224	-0.1572964101617181				-2.2166958469778604	-2.969812002234945	-0.7531161552570844		
rs16843708	WILDTYPE_SNP_INDIV__Lincrna.noflip.NA__chr1:234764949..234765063,+__58.1.2.0	-1.6049426276829044	-1.3746809355716865	0.23026169211121786				-2.2166958469778604	-2.3982085927886496	-0.18151274581078947		
rs643342,rs16843708	WILDTYPE_SNP_PLUS_HAPLO__Lincrna.noflip.NA__chr1:234764949..234765063,+__58.1.2.1	-1.6049426276829044	-1.725301264041022	-0.12035863635811776				-2.2166958469778604	-2.1442091476821488	0.07248669929571144		
rs12022014	WILDTYPE_SNP_INDIV__Antisense.noflip.NA__chr1:239882369..239882483,-__61.1.1.0	0.46859939584706645	-1.6300464134474355	-2.098645809294502	1.4681375371606375e-87	sig	sig	-0.6432700887377152	-3.2195298204332428	-2.576259731695527	0.14898459760778326	not sig
rs76909508	WILDTYPE_SNP_INDIV__Lincrna.noflip.NA__chr1:28975032..28975146,+__64.1.1.0	-1.6725849072489114	-1.3970792659846198	0.275505641264292				-3.1456564995301877	-2.7611822147218192	0.38447428480836876		
rs10914186	WILDTYPE_SNP_INDIV__Antisense.noflip.NA__chr1:31191505..31191619,+__65.1.1.0	0.7293406739668543	0.4598553437982287	-0.2694853301686256				1.5817334970214487	1.122724872083357	-0.45900862493809214		
rs75785507	WILDTYPE_SNP_INDIV__Lincrna.noflip.NA__chr1:37939973..37940087,-__71.1.1.0	0.2642258446173918	0.0907780819216467	-0.17344776269574513				0.7838059608601817	-0.10327753340648999	-1.8738457563594677		
rs12095854	WILDTYPE_SNP_INDIV__Lincrna.flip.sense__chr1:3816890..3817004,+__72.1.1.0	0.7880540589922428	0.8279979472127964	0.039943888220553364				-1.0464006207269718	-0.5315502025569743	0.5148504181699975		
rs12095856	WILDTYPE_SNP_INDIV__Lincrna.flip.sense__chr1:3816890..3817004,+__72.1.2.0	0.7880540589922428	0.6755883876764587	-0.11246567131578418	1.0	not sig	not sig	-1.0464006207269718	-0.08881162787878283	0.9575889928481891		
rs75689004	WILDTYPE_SNP_INDIV__Lincrna.flip.sense__chr1:3816890..3817004,+__72.1.3.0	0.7880540589922428	0.7597867544331748	-0.028267304559067934				-1.0464006207269718	-0.3864372972155874	0.6599633235113844		
rs12095854,rs12095856,rs75689004	WILDTYPE_SNP_PLUS_HAPLO__Lincrna.flip.sense__chr1:3816890..3817004,+__72.1.3.1	0.7880540589922428	0.6491572446074282	-0.13889681438481477	1.0	not sig	not sig	-1.0464006207269718	-0.767342425521251	0.27905819520572084		
rs9988434	WILDTYPE_SNP_INDIV__Antisense.noflip.NA__chr1:43312058..43312172,-__75.1.1.0	1.1115485850790991	0.9974528335433597	-0.11409575153573943	1.0	not sig	not sig	0.3373677036753072	0.6078572848165591	0.2704895811412519	1.0	not sig
rs114983708	WILDTYPE_SNP_INDIV__Lincrna.flip.sense__chr1:713977..714091,-__88.1.1.0	1.2967636762261805	1.3981804352146268	0.10141675898844608	1.0	not sig	not sig	2.0167564889295404	2.272342772364431	0.2555862834348904	1.0	not sig
rs534930819	WILDTYPE_SNP_INDIV__Lincrna.flip.sense__chr1:762867..762981,-__90.1.1.0	3.243900190935902	3.17802712009046	-0.06587307084544225	1.0	not sig	not sig	3.0216370463742424	2.943880458712472	-0.07775658766177046	1.0	not sig
rs7538464	WILDTYPE_SNP_INDIV__Lincrna.flip.sense__chr1:91317140..91317254,-__95.1.1.0	0.23649919674399542	0.6567941850223121	0.42029498827831685				0.9494979269299209	1.1209799794241497	0.17148205249422876		
rs6679630	WILDTYPE_SNP_INDIV__Antisense.noflip.NA__chr1:93811262..93811376,-__97.1.1.0	-0.770942279215225	-0.9979146355230423	-0.22697235630781729				-1.0988423933226532	-1.4553974891607728	-0.3565550958381196		
rs6679630	WILDTYPE_SNP_INDIV__Antisense.flip.sense__chr1:93811312..93811426,-__98.1.1.0	2.2901166433658275	2.024268266530343	-0.2658483768354845	1.0	not sig	not sig	1.9243915696882032	1.6184570797817113	-0.305934489906492		
rs6693904	WILDTYPE_SNP_INDIV__Antisense.flip.sense__chr1:93811312..93811426,-__98.1.2.0	2.2901166433658275	0.7378338861415156	-1.5522827572243123				1.9243915696882032	1.8786042628952018	-0.045787306793001414		
rs6679630,rs6693904	WILDTYPE_SNP_PLUS_HAPLO__Antisense.flip.sense__chr1:93811312..93811426,-__98.1.2.1	2.2901166433658275	0.8741895362288385	-1.415927107136989				1.9243915696882032	0.9864007314795269	-0.9379908382086763		
rs552418648	WILDTYPE_SNP_INDIV__Lincrna.noflip.NA__chr1:98511745..98511859,-__102.1.1.0	0.10726357939754565	-0.3518273832429312	-0.4590909626404769	1.0	not sig	not sig	-0.3740277591963127	-1.080314827398989	-0.7062870682026763	1.0	not sig
rs568148902	WILDTYPE_SNP_INDIV__Lincrna.noflip.NA__chr10:102133304..102133418,+__103.1.1.0	-1.2267727357398817	-1.0450680832787316	0.18170465246114997				-2.1448219821413175	-2.61721317071038	-0.47239118856906254		
rs4749989	WILDTYPE_SNP_INDIV__Lincrna.noflip.NA__chr10:10836906..10837020,-__106.1.1.0	-1.619941938602416	-1.8268025163698187	-0.2068605777674025				-2.8710830100637628	-2.6071272415181164	0.2639557685456465		
rs75405465	WILDTYPE_SNP_INDIV__Antisense.flip.sense__chr10:11936664..11936778,-__110.1.1.0	2.6889432241603646	2.3868493856649637	-0.30209383849540106	4.9283469543928544e-11	sig	sig	1.9816529409541381	1.6608206186964294	-0.3208323222577085	0.5343270599381895	not sig
rs436299	WILDTYPE_SNP_INDIV__Antisense.noflip.NA__chr10:17428870..17428984,+__116.1.1.0	3.7359391814932423	3.737906938637277	0.001967757144034373	1.0	not sig	not sig	2.9890994030975735	3.0072106597345636	0.018111256636990036	1.0	not sig
rs366032	WILDTYPE_SNP_INDIV__Antisense.noflip.NA__chr10:17428870..17428984,+__116.1.2.0	3.7359391814932423	3.624780513394969	-0.11115866809827375	1.0	not sig	not sig	2.9890994030975735	2.971148426719455	-0.01795097637811821	1.0	not sig
rs436299,rs366032	WILDTYPE_SNP_PLUS_HAPLO__Antisense.noflip.NA__chr10:17428870..17428984,+__116.1.2.1	3.7359391814932423	3.702497636770435	-0.033441544722807505	1.0	not sig	not sig	2.9890994030975735	3.02982604253596	0.04072663943838689	1.0	not sig
rs74536920	WILDTYPE_SNP_INDIV__Antisense.noflip.NA__chr10:20017419..20017533,-__117.1.1.0	-1.419789363537775	-1.3360338494831618	0.08375551405461322				-2.5051964920879364	-2.2723723981664645	0.23282409392147213		
rs149864425	WILDTYPE_SNP_INDIV__Antisense.flip.sense__chr10:28821597..28821711,-__118.1.1.0	-0.7018405526649715	-0.09538727937236036	0.6064532732926112				0.16644248151064625	1.0793335614493778	0.9128910799387313		
rs7921051	WILDTYPE_SNP_INDIV__Antisense.flip.sense__chr10:29698406..29698520,+__119.1.1.0	1.7040074767862936	2.2581271829806484	0.5541197061943545	7.85932794639547e-15	sig	sig	1.976385714370337	2.2846403067122276	0.3082545923418905	1.0	not sig
rs7921051	WILDTYPE_SNP_INDIV__Antisense.noflip.NA__chr10:29698426..29698540,+__120.1.1.0	1.9962821063626055	2.28461401653679	0.28833191017418486	1.0	not sig	not sig	1.7344808003491643	1.984685492565199	0.25020469221603475	1.0	not sig
rs7921051	WILDTYPE_SNP_INDIV__Antisense.noflip.NA__chr10:29698438..29698552,+__121.1.1.0	0.19673107716026683	0.6258262464362059	0.4290951692759391	1.0	not sig	not sig	-0.13247752556853815	-0.027147833315550506	0.10532969225298766		
rs34503423	WILDTYPE_SNP_INDIV__Antisense.noflip.NA__chr10:29698438..29698552,+__121.1.2.0	0.19673107716026683	0.23750491372344876	0.04077383656318192	1.0	not sig	not sig	-0.13247752556853815	-0.45634723729712745	-0.32386971172858936		
rs7921051,rs34503423	WILDTYPE_SNP_PLUS_HAPLO__Antisense.noflip.NA__chr10:29698438..29698552,+__121.1.2.1	0.19673107716026683	0.2647110746500853	0.06797999748981845	1.0	not sig	not sig	-0.13247752556853815	-0.37095924356766724	-0.23848171799912904		
rs10795144	WILDTYPE_SNP_INDIV__Lincrna.noflip.NA__chr10:4285846..4285960,-__124.1.1.0	-1.5984624984858053	-1.606828283515947	-0.0083657850301417				-1.2979150627385394	-1.9978563811141612	-0.6999413183756218		
rs2248933	WILDTYPE_SNP_INDIV__Lincrna.noflip.NA__chr10:43915994..43916108,+__127.1.1.0	-0.4697351463983639	0.6791302873252564	1.3969556678296453				-1.1157205255436515	1.266772655510314			
rs2248931	WILDTYPE_SNP_INDIV__Lincrna.noflip.NA__chr10:43915994..43916108,+__127.1.2.0	-0.4697351463983639	-0.2928791757850073	0.17685597061335664				-1.1157205255436515	-0.8366458052856884			
rs2248933,rs2248931	WILDTYPE_SNP_PLUS_HAPLO__Lincrna.noflip.NA__chr10:43915994..43916108,+__127.1.2.1	-0.4697351463983639						-1.1157205255436515				
rs2120130	WILDTYPE_SNP_INDIV__Lincrna.noflip.NA__chr10:54515153..54515267,-__130.1.1.0	-1.4395400148189867	-1.3776027174028547	0.06193729741613186				-2.274631117075289	-1.4557803131442948	0.8188508039309944		
rs3750661	WILDTYPE_SNP_INDIV__Antisense.noflip.NA__chr10:5987842..5987956,-__131.1.1.0	0.6671839613439489	-0.11883001661933194	-0.7860139779632808	3.3778103123844135e-12	sig	sig	-0.9103160520407633	-1.4709019532011132	-0.56058590116035		
rs3750660,rs3750661	WILDTYPE_SNP_PLUS_HAPLO__Antisense.noflip.NA__chr10:5987842..5987956,-__131.1.1.1	0.6671839613439489	-0.14788925728584237	-0.8150732186297914	2.2728844403931136e-21	sig	sig	-0.9103160520407633	-1.4735752041579016	-0.5632591521171382		
rs115644100	WILDTYPE_SNP_INDIV__Lincrna.noflip.NA__chr10:60759312..60759426,+__132.1.1.0	-1.2772658817197726	-1.1272974086227416	0.14996847309703135				-2.544509494017645	-1.6154118484059645	0.9290976456116806		
rs1212019	WILDTYPE_SNP_INDIV__Lincrna.noflip.NA__chr10:60759312..60759426,+__132.1.2.0	-1.2772658817197726	-1.3930741108810965	-0.11580822916132354				-2.544509494017645	-2.4018512157851544	0.1426582782324906		
rs115644100,rs1212019,rs12260856	WILDTYPE_SNP_PLUS_HAPLO__Lincrna.noflip.NA__chr10:60759312..60759426,+__132.1.2.1	-1.2772658817197726	-1.4011565215860273	-0.12389063986625466				-2.544509494017645	-2.6021017744404262	-0.057592280422781084		
rs74140983	WILDTYPE_SNP_INDIV__Lincrna.noflip.NA__chr10:80008510..80008624,+__139.1.1.0	-1.710731856608188	-1.7916772754317363	-0.08094541882354833				-2.997263109485663	-3.4399897628494873	-0.44272665336382444		
rs61858506	WILDTYPE_SNP_INDIV__Antisense.noflip.NA__chr10:89102065..89102179,-__141.1.1.0	0.24503009115667843	0.3824271848373235	0.13739709368064515				0.4200504235190198	0.10348821997083366	-0.316562203548186		
rs41291578	WILDTYPE_SNP_INDIV__Antisense.noflip.NA__chr10:97667530..97667644,-__146.1.1.0	-1.3127340814113588	-1.5511263982195114	-0.23839231680815262				-2.285748994854632	-3.266986619441109	-0.9812376245864769		
rs7906654	WILDTYPE_SNP_INDIV__Antisense.flip.sense__chr10:97667625..97667739,-__147.1.1.0	-0.022074928527077226	0.27613790746278133	0.2982128359898586				-0.7010019695789339	-1.062891886438166	0.05401436236632747		
rs4917721	WILDTYPE_SNP_INDIV__Antisense.noflip.NA__chr10:97889399..97889513,+__149.1.1.0	0.534233241404547	0.7418354215227684	0.20760218011822149	1.0	not sig	not sig	-1.164933111065176	-0.6559298662897026	0.5090032447754734	1.0	not sig
rs115366378	WILDTYPE_SNP_INDIV__Antisense.noflip.NA__chr10:97889733..97889847,+__150.1.1.0	2.5627016174995094	2.417611171864427	-0.14509044563508203	1.0	not sig	not sig	1.1042479717113514	0.9423024162619693	-0.161945555449382	1.0	not sig
rs76726894	WILDTYPE_SNP_INDIV__Lincrna.flip.sense__chr11:118868677..118868791,-__157.1.1.0	1.690708415540468	1.5275952788883458	-0.163113136652122	1.0	not sig	not sig	1.4274466383045814	0.9967019316354062	-0.43074470666917525	1.0	not sig
rs114037241	WILDTYPE_SNP_INDIV__Lincrna.flip.sense__chr11:118868677..118868791,-__157.1.2.0	1.690708415540468	2.0817896392243336	0.39108122368386566	0.5075358436156109	not sig	not sig	1.4274466383045814	1.7074090099587602	0.27996237165417875	1.0	not sig
rs4445645	WILDTYPE_SNP_INDIV__Lincrna.flip.sense__chr11:118868677..118868791,-__157.1.3.0	1.690708415540468	1.3812230288759864	-0.30948538666448144	1.0	not sig	not sig	1.4274466383045814	0.7942947513713008	-0.6331518869332808	1.0	not sig
rs76726894,rs114037241,rs4445645	WILDTYPE_SNP_PLUS_HAPLO__Lincrna.flip.sense__chr11:118868677..118868791,-__157.1.3.1	1.690708415540468	1.774394402712665	0.08368598717219701	0.00018315914553866333	not sig	not sig	1.4274466383045814	1.1618930114781398	-0.26555362682644174		
rs115833873	WILDTYPE_SNP_INDIV__Lincrna.noflip.NA__chr11:122073676..122073790,-__160.1.1.0	-0.9069573220723292	-1.528631117722908	-0.6216737956505788	0.346477479888816	not sig	not sig	-0.8155059920676352	-1.7001634078844559	-0.8846574158168207		
rs115767300	WILDTYPE_SNP_INDIV__Lincrna.noflip.NA__chr11:122238640..122238754,-__163.1.1.0	-1.4833222788147218	-1.5734362949776715	-0.09011401616294962				-2.136670718482867	-1.7663401400774745	0.3703305784053929		
rs11218616	WILDTYPE_SNP_INDIV__Lincrna.noflip.NA__chr11:122293488..122293602,-__164.1.1.0	-0.7983802180579143	-0.9200512545447328	-0.1216710364868185				-0.049878844073696485	-0.650964586824295	-0.6010857427505985		
rs564268774	WILDTYPE_SNP_INDIV__Lincrna.flip.sense__chr11:13011056..13011170,-__166.1.1.0	3.8257795098407246	3.6807203525614196	-0.145059157279305	0.8757452606885472	not sig	not sig	3.4219264441946637	3.0245942322079173	-0.39733221198674684	9.173569645961777e-07	sig
rs3024270	WILDTYPE_SNP_INDIV__Lincrna.noflip.NA__chr11:2017351..2017465,-__170.1.1.0	-0.8440748666128357	-1.1560008598638032	-0.31192599325096754				-2.6307358520146873	-2.798828005790439	-0.16809215377575193		
rs3024270,rs3825028	WILDTYPE_SNP_PLUS_HAPLO__Lincrna.noflip.NA__chr11:2017351..2017465,-__170.1.1.1	-0.8440748666128357	-1.0562429169980427	-0.21216805038520706				-2.6307358520146873	-2.821909375651112	-0.19117352363642492		
rs2075744	WILDTYPE_SNP_INDIV__Lincrna.noflip.NA__chr11:2018415..2018529,-__171.1.1.0	-1.3003395643399795	-1.2572678291789268	0.04307173516105279				-1.9849486020733065	-1.757371797515772	0.22757680455753454		
rs186652218	WILDTYPE_SNP_INDIV__Antisense.noflip.NA__chr11:2399192..2399306,-__174.1.1.0	1.0646903864555721	1.4275167170731595	0.36282633061758723				1.1564082602520749	1.8390814543378853	0.6826731940858103		
rs2242341	WILDTYPE_SNP_INDIV__Antisense.flip.sense__chr11:27528316..27528430,+__175.1.1.0	3.759629240542934	3.795108792430515	0.03547955188758001	1.0	not sig	not sig	3.237685413389179	3.2838458689920493	0.04616045560287041	1.0	not sig
rs10769263	WILDTYPE_SNP_INDIV__Antisense.noflip.NA__chr11:47417123..47417237,-__178.1.1.0	-1.4055627580280259	-1.7214471499053907	-0.315884391877365				-2.4808189055014873	-2.7592262745744165	-0.27840736907292896		
rs2282538	WILDTYPE_SNP_INDIV__Antisense.noflip.NA__chr11:62599683..62599797,+__181.1.1.0	-1.0215839740157657	-1.0230788210655026	-0.0014948470497369026				-2.125074076981631	-2.0058647666499523	0.11920931033167892		
rs11558674	WILDTYPE_SNP_INDIV__Lincrna.noflip.NA__chr11:62622910..62623024,-__186.1.1.0	-1.1438024901103019	-1.492263232305003	-0.3484607421947012				-1.4172054769658837	-2.3130022918061854	-0.8957968148403014	1.0	not sig
rs11558674,rs2071035,rs2071034	WILDTYPE_SNP_PLUS_HAPLO__Lincrna.noflip.NA__chr11:62622910..62623024,-__186.1.1.1	-1.1438024901103019	-1.2965221943275642	-0.1527197042172623				-1.4172054769658837	-1.28347128418838	0.13373419277750404	1.0	not sig
rs11605738	WILDTYPE_SNP_INDIV__Antisense.flip.sense__chr11:64013348..64013462,+__188.1.1.0	0.7383887162133601	0.918287334961291	0.179898618747931	0.01781107453845505	sig	not sig	-1.6331514990772782	-1.9929954513965547	-0.35984395231927624	1.0	not sig
