unique_id	tested_SNP	HepG2_effect_size	K562_effect_size	HepG2_sig_status	K562_sig_status	tagged_SNP	r_squared	d_prime	distance_between_SNPs	n_snps_in_ld	pubmed_id	trait
WILDTYPE_SNP_INDIV__mrna.noflip.NA__chr4:38784576..38784690,-__1635.1.2.0	rs10012017	0.22150521988867208	0.12102467639743494	sig	not sig	rs2101521	0.8120368640000001	0.945488957	26918.0	167.0	23817569	Self-reported allergy
WILDTYPE_SNP_INDIV__mrna.noflip.NA__chr5:177019193..177019307,+__1643.1.1.0	rs57960711	0.7458084153169177	0.5572450317530334	sig		rs57960711	1.0	1.0	0.0	78.0	23251661	Obesity-related traits
WILDTYPE_SNP_INDIV__mrna.noflip.NA__chr5:179125324..179125438,+__1644.1.1.0	rs4701195	-0.320178120953258	-0.3702794394357405	sig	not sig	rs17617068	0.778932812	0.9520342479999999	42699.0	91.0	24680774	Resting heart rate
WILDTYPE_SNP_INDIV__mrna.noflip.NA__chr5:179125324..179125438,+__1644.1.1.0	rs4701195	-0.320178120953258	-0.3702794394357405	sig	not sig	rs6893300	0.782744212	0.9521671279999999	10417.0	91.0	24680774	Resting heart rate
WILDTYPE_SNP_INDIV__mrna.noflip.NA__chr6:31620429..31620543,-__1664.1.1.0	rs3117582	-0.39605316768824156	-0.2915847260420668	sig	not sig	rs2734583	0.793497991	0.941142358	-115040.0	236.0	21912425	Stevens-Johnson syndrome and toxic epidermal necrolysis (SJS-TEN)
WILDTYPE_SNP_INDIV__mrna.noflip.NA__chr6:31620429..31620543,-__1664.1.1.0	rs3117582	-0.39605316768824156	-0.2915847260420668	sig	not sig	rs3117582	1.0	1.0	0.0	212.0	19836008	Lung adenocarcinoma
WILDTYPE_SNP_INDIV__mrna.noflip.NA__chr6:31620429..31620543,-__1664.1.1.0	rs3117582	-0.39605316768824156	-0.2915847260420668	sig	not sig	rs3117582	1.0	1.0	0.0	212.0	19654303	Lung cancer
WILDTYPE_SNP_INDIV__mrna.noflip.NA__chr6:31620429..31620543,-__1664.1.1.0	rs3117582	-0.39605316768824156	-0.2915847260420668	sig	not sig	rs3117582	1.0	1.0	0.0	212.0	18978787	Lung cancer
WILDTYPE_SNP_INDIV__mrna.noflip.NA__chr6:31620429..31620543,-__1664.1.1.0	rs3117582	-0.39605316768824156	-0.2915847260420668	sig	not sig	rs3131379	0.971363732	0.985577867	100513.0	436.0	26316170	Systemic lupus erythematosus
WILDTYPE_SNP_INDIV__mrna.noflip.NA__chr6:31620429..31620543,-__1664.1.1.0	rs3117582	-0.39605316768824156	-0.2915847260420668	sig	not sig	rs3131379	0.971363732	0.985577867	100513.0	436.0	18204446	Systemic lupus erythematosus
WILDTYPE_SNP_INDIV__mrna.noflip.NA__chr6:31620429..31620543,-__1664.1.1.0	rs3117582	-0.39605316768824156	-0.2915847260420668	sig	not sig	rs67682613	0.630335236	0.999999998	206185.0	70.0	26198764	Schizophrenia
WILDTYPE_SNP_INDIV__mrna.noflip.NA__chr6:31620429..31620543,-__1664.1.1.0	rs3117582	-0.39605316768824156	-0.2915847260420668	sig	not sig	rs7750641	0.646361913	0.8660389000000001	-491210.0	261.0	21323541	Idiopathic membranous nephropathy
WILDTYPE_SNP_INDIV__mrna.noflip.NA__chr6:42946923..42947037,-__1670.1.2.0	rs9462860	0.39053873860174254	0.9574230594520707	sig	sig	rs1129187	0.709298005	0.989700822	-14813.0	80.0	25778476	Alzheimer's disease in APOE e4+ carriers
WILDTYPE_SNP_INDIV__mrna.noflip.NA__chr6:42946923..42947037,-__1670.1.2.0	rs9462860	0.39053873860174254	0.9574230594520707	sig	sig	rs9296404	0.992018407	1.0	-21210.0	81.0	24651765	Plasma homocysteine levels (post-methionine load test)
WILDTYPE_SNP_INDIV__mrna.flip.sense__chr6:49430931..49431045,-__1671.1.1.0	rs3729619	0.3314144595945858	0.0541266068574352	sig	not sig	rs9473555	0.995531272	1.0	-21487.0	124.0	19744961	Folate pathway vitamin levels
WILDTYPE_SNP_INDIV__mrna.noflip.NA__chr7:22862398..22862512,-__1675.1.1.0	rs2270105	-0.3180541660464375	-0.25141697810852803	sig	sig	rs2286503	0.8209543090000001	0.994984348	-5861.0	36.0	23969696	Fibrinogen
WILDTYPE_SNP_INDIV__mrna.noflip.NA__chr7:2595316..2595430,-__1677.1.1.0	rs6960419	-0.33762180412348214	-0.2918658149300298	sig	not sig	rs6972204	0.738838075	0.9026826520000001	-12954.0	33.0	23251661	Obesity-related traits
WILDTYPE_SNP_INDIV__mrna.noflip.NA__chr8:144660465..144660579,-__1688.1.1.0	rs61544471	-1.3510387276245022	-0.8498847127672005	sig	not sig	rs2290416	0.7311051940000001	0.96805233	-2945.0	58.0	18821565	Attention deficit hyperactivity disorder
WILDTYPE_SNP_INDIV__mrna.noflip.NA__chr9:131903859..131903973,+__1708.1.1.0	rs3124512	-1.673746610148892	-2.3312624771051973	sig	sig	rs7849270	0.974775718	0.994859873	-29240.0	177.0	24816252	Blood metabolite ratios
WILDTYPE_SNP_INDIV__mrna.noflip.NA__chr9:131903859..131903973,+__1708.1.2.0	rs6478867	-0.6905179001851751	-0.625227163710796	sig	not sig	rs7849270	0.964802452	0.984730071	-29282.0	177.0	24816252	Blood metabolite ratios
WILDTYPE_SNP_INDIV__mrna.noflip.NA__chr9:35538551..35538665,+__1711.1.1.0	rs1322126	-0.9724683011163169	0.7866704790914841	sig	not sig	rs4879901	0.909764637	0.963346589	-19629.0	13.0	26198764	Schizophrenia
WILDTYPE_SNP_INDIV__Enhancer.noflip.NA__chr19:2169005..2169119,+__1776.1.1.0	rs7251881	-0.4462111352441889	-0.9314810523084335	sig	sig	rs3803915	0.9624002309999999	0.987243807	-8538.0	10.0	24916648	Myocardial infarction
WILDTYPE_SNP_INDIV__Enhancer.noflip.NA__chr19:2169005..2169119,+__1776.1.1.0	rs7251881	-0.4462111352441889	-0.9314810523084335	sig	sig	rs3803915	0.9624002309999999	0.987243807	-8538.0	10.0	19851299	Body mass index
WILDTYPE_SNP_INDIV__Enhancer.flip.sense__chr5:131832669..131832783,+__1907.1.1.0	rs2706386	-0.17380459250942193	-0.12891274146417678	sig	not sig	rs2549003	0.991239986	1.0	-3390.0	69.0	24824216	Asthma (sex interaction)
WILDTYPE_SNP_INDIV__Enhancer.noflip.NA__chr1:25051126..25051240,+__1933.1.2.0	rs1316829	-0.26656442999483293	-0.11975797818102227	sig	not sig	rs4601530	0.99494447	0.999999999	-7114.0	196.0	20881960	Height
WILDTYPE_SNP_INDIV__Enhancer.noflip.NA__chr13:21050090..21050204,-__2239.1.2.0	rs7324188	-0.46428889680347346	-0.78645357321688	sig	not sig	rs7989332	0.91811556	0.9950148320000001	405.0	32.0	23648065	Adverse response to chemotherapy (neutropenia/leucopenia) (carboplatin)
WILDTYPE_SNP_INDIV__Enhancer.noflip.NA__chr13:21050140..21050254,+__1946.1.2.0	rs35891640	0.7334103906019026	0.997663595211508	sig	sig	rs7989332	0.776256733	0.994525762	401.0	32.0	23648065	Adverse response to chemotherapy (neutropenia/leucopenia) (carboplatin)
WILDTYPE_SNP_INDIV__Enhancer.noflip.NA__chr13:21050090..21050204,-__2239.1.3.0	rs35891640	1.3482033173975492	1.620042133343143	sig	not sig	rs7989332	0.776256733	0.994525762	401.0	32.0	23648065	Adverse response to chemotherapy (neutropenia/leucopenia) (carboplatin)
WILDTYPE_SNP_INDIV__Enhancer.noflip.NA__chr14:101159639..101159753,-__2241.1.1.0	rs9671394	-0.5950830466718365	-1.0239045565466367	sig	not sig	rs7149242	0.966551403	1.0	-258.0	18.0	22139419	Platelet count
WILDTYPE_SNP_INDIV__Enhancer.noflip.NA__chr19:47793086..47793200,+__1955.1.2.0	rs10853783	0.8368395838306407	1.2289225747162238	sig	sig	rs7254232	0.990180478	0.9950781259999999	3676.0	130.0	25008200	Chronic periodontitis
WILDTYPE_SNP_INDIV__Enhancer.noflip.NA__chr21:45616235..45616349,-__2254.1.2.0	rs4456788	-0.7344244596435548	-0.8178860314113754	sig	sig	rs8127691	0.983280609	0.995774035	-1464.0	34.0	26192919	Inflammatory bowel disease
WILDTYPE_SNP_INDIV__Enhancer.noflip.NA__chr21:45616235..45616349,-__2254.1.2.0	rs4456788	-0.7344244596435548	-0.8178860314113754	sig	sig	rs7282490	0.955162075	1.0	-583.0	34.0	26192919	Ulcerative colitis
WILDTYPE_SNP_INDIV__Enhancer.noflip.NA__chr21:45616235..45616349,-__2254.1.2.0	rs4456788	-0.7344244596435548	-0.8178860314113754	sig	sig	rs7282490	0.955162075	1.0	-583.0	34.0	26192919	Crohn's disease
WILDTYPE_SNP_INDIV__Enhancer.noflip.NA__chr21:45616235..45616349,-__2254.1.2.0	rs4456788	-0.7344244596435548	-0.8178860314113754	sig	sig	rs7282490	0.955162075	1.0	-583.0	34.0	23128233	Inflammatory bowel disease
WILDTYPE_SNP_INDIV__Enhancer.noflip.NA__chr6:30650001..30650115,+__1974.1.1.0	rs9262142	-1.223479078366675	-1.2055268224463072	sig	not sig	rs3094067	0.945913978	0.999999999	-350781.0	276.0	25827949	Cutaneous lupus erythematosus
WILDTYPE_SNP_INDIV__Enhancer.noflip.NA__chr6:30650001..30650115,+__1974.1.1.0	rs9262142	-1.223479078366675	-1.2055268224463072	sig	not sig	rs3132581	0.6777652679999999	0.914964155	263432.0	156.0	23453885	Autism spectrum disorder, attention deficit-hyperactivity disorder, bipolar disorder, major depressive disorder, and schizophrenia (combined)
WILDTYPE_SNP_INDIV__Enhancer.noflip.NA__chr6:30650001..30650115,+__1974.1.1.0	rs9262142	-1.223479078366675	-1.2055268224463072	sig	not sig	rs7750641	0.641095523	0.832869933	479284.0	261.0	21323541	Idiopathic membranous nephropathy
WILDTYPE_SNP_INDIV__Enhancer.noflip.NA__chr6:30650001..30650115,+__1974.1.1.0	rs9262142	-1.223479078366675	-1.2055268224463072	sig	not sig	rs886424	0.76493058	0.944044198	131976.0	215.0	25936594	Type 1 diabetes and autoimmune thyroid diseases
WILDTYPE_SNP_INDIV__Enhancer.noflip.NA__chr6:30650001..30650115,+__1974.1.1.0	rs9262142	-1.223479078366675	-1.2055268224463072	sig	not sig	rs886424	0.76493058	0.944044198	131976.0	215.0	22688191	Bipolar disorder and schizophrenia
WILDTYPE_SNP_INDIV__Enhancer.noflip.NA__chr6:30737519..30737633,+__1977.1.1.0	rs13217914	-0.6884505882312751	-0.7114650641870295	sig	not sig	rs12526186	0.9927940059999999	0.999999999	-1401.0	70.0	19721433	Response to antipsychotic treatment
WILDTYPE_SNP_INDIV__Enhancer.noflip.NA__chr6:30737487..30737601,-__2270.1.1.0	rs13217914	-0.7716114993035035	-0.5997320494745444	sig	not sig	rs12526186	0.9927940059999999	0.999999999	-1401.0	70.0	19721433	Response to antipsychotic treatment
WILDTYPE_SNP_INDIV__Enhancer.noflip.NA__chr6:31705830..31705944,+__1978.1.1.0	rs3101018	-1.1083175196478983	-1.4325483799384904	sig	sig	rs2734583	0.7687502340000001	0.9263498490000001	-200384.0	236.0	21912425	Stevens-Johnson syndrome and toxic epidermal necrolysis (SJS-TEN)
WILDTYPE_SNP_INDIV__Enhancer.noflip.NA__chr6:31705830..31705944,+__1978.1.1.0	rs3101018	-1.1083175196478983	-1.4325483799384904	sig	sig	rs3117582	0.971363732	0.985577867	-85344.0	212.0	19836008	Lung adenocarcinoma
WILDTYPE_SNP_INDIV__Enhancer.noflip.NA__chr6:31705830..31705944,+__1978.1.1.0	rs3101018	-1.1083175196478983	-1.4325483799384904	sig	sig	rs3117582	0.971363732	0.985577867	-85344.0	212.0	19654303	Lung cancer
WILDTYPE_SNP_INDIV__Enhancer.noflip.NA__chr6:31705830..31705944,+__1978.1.1.0	rs3101018	-1.1083175196478983	-1.4325483799384904	sig	sig	rs3117582	0.971363732	0.985577867	-85344.0	212.0	18978787	Lung cancer
WILDTYPE_SNP_INDIV__Enhancer.noflip.NA__chr6:31705830..31705944,+__1978.1.1.0	rs3101018	-1.1083175196478983	-1.4325483799384904	sig	sig	rs3131379	1.0	0.999999999	15169.0	436.0	26316170	Systemic lupus erythematosus
WILDTYPE_SNP_INDIV__Enhancer.noflip.NA__chr6:31705830..31705944,+__1978.1.1.0	rs3101018	-1.1083175196478983	-1.4325483799384904	sig	sig	rs3131379	1.0	0.999999999	15169.0	436.0	18204446	Systemic lupus erythematosus
WILDTYPE_SNP_INDIV__Enhancer.noflip.NA__chr6:31705830..31705944,+__1978.1.1.0	rs3101018	-1.1083175196478983	-1.4325483799384904	sig	sig	rs67682613	0.630335236	0.999999998	120841.0	70.0	26198764	Schizophrenia
WILDTYPE_SNP_INDIV__Enhancer.noflip.NA__chrX:154029200..154029314,+__1987.1.1.0	rs139322603	-0.6678728980826873	-0.24621999140967196	sig		rs5987027	1.0	0.999999923	-15173.0	83.0	23263863	Mean corpuscular volume
WILDTYPE_SNP_INDIV__Enhancer.noflip.NA__chrX:154029200..154029314,+__1987.1.1.0	rs139322603	-0.6678728980826873	-0.24621999140967196	sig		rs5987027	1.0	0.999999923	-15173.0	83.0	23263863	Hematology traits
WILDTYPE_SNP_INDIV__Enhancer.noflip.NA__chrX:154029191..154029305,-__2280.1.1.0	rs139322603	-2.220798554621298	-1.4039923607109772	sig	not sig	rs5987027	1.0	0.999999923	-15173.0	83.0	23263863	Mean corpuscular volume
WILDTYPE_SNP_INDIV__Enhancer.noflip.NA__chrX:154029191..154029305,-__2280.1.1.0	rs139322603	-2.220798554621298	-1.4039923607109772	sig	not sig	rs5987027	1.0	0.999999923	-15173.0	83.0	23263863	Hematology traits
WILDTYPE_SNP_INDIV__Enhancer.noflip.NA__chr16:2918201..2918315,-__2059.1.2.0	rs17660212	-0.4231749182965834	-0.20093873532913004	sig	not sig	rs9925432	0.657331137	0.999999999	-965.0	10.0	26053186	3-hydroxypropylmercapturic acid levels in smokers
WILDTYPE_SNP_INDIV__Enhancer.noflip.NA__chr1:25051083..25051197,-__2226.1.1.0	rs1002707	-0.5255842466133029	-0.25190883958132415	sig	not sig	rs4601530	0.99494447	0.999999999	-6991.0	196.0	20881960	Height
WILDTYPE_SNP_INDIV__Enhancer.noflip.NA__chr13:21050090..21050204,-__2239.1.1.0	rs7329823	0.9836042220824646	1.1807551476864901	sig	not sig	rs7989332	1.0	1.0	448.0	32.0	23648065	Adverse response to chemotherapy (neutropenia/leucopenia) (carboplatin)
WILDTYPE_SNP_INDIV__Enhancer.noflip.NA__chr6:32571807..32571921,-__2272.1.1.0	rs9270891	-0.08968857067957958	-0.7884502334064597	not sig	sig	rs2858870	0.794714475	0.981190311	423.0	211.0	22086417	Nodular sclerosis Hodgkin lymphoma
CONTROL_SNP_INDIV__control.flip.sense__chr16:67993585..67993700,+__2318.1.1.0	rs3785098	0.28409143535245635	0.8547203523756588	sig	sig	rs16942887	0.619255006	0.961383868	-65601.0	326.0	24097068	HDL cholesterol
CONTROL_SNP_INDIV__control.flip.sense__chr16:67993585..67993700,+__2318.1.1.0	rs3785098	0.28409143535245635	0.8547203523756588	sig	sig	rs16942887	0.619255006	0.961383868	-65601.0	326.0	20686565	HDL cholesterol
CONTROL_SNP_INDIV__control.flip.sense__chr16:67993585..67993700,+__2318.1.1.0	rs3785098	0.28409143535245635	0.8547203523756588	sig	sig	rs255052	0.620510356	0.90507724	31352.0	318.0	18193043	HDL cholesterol
CONTROL_SNP_INDIV__control.flip.sense__chr17:76375037..76375152,+__2319.1.1.0	rs4490057	0.028782197111106838	1.8064131501036873		sig	rs12948394	0.8601441540000001	0.982558516	7696.0	28.0	25961943	HDL cholesterol
CONTROL_SNP_INDIV__control.flip.sense__chr17:76375037..76375152,+__2319.1.1.0	rs4490057	0.028782197111106838	1.8064131501036873		sig	rs4129767	0.878876311	0.9468502609999999	28889.0	72.0	24097068	HDL cholesterol
CONTROL_SNP_INDIV__control.flip.sense__chr17:76375037..76375152,+__2319.1.1.0	rs4490057	0.028782197111106838	1.8064131501036873		sig	rs4129767	0.878876311	0.9468502609999999	28889.0	72.0	20686565	HDL cholesterol
