unique_id	wt_id	SNP	rna_1_wt_med	rna_2_wt_med	rna_3_wt_med	rna_4_wt_med	combined_wt_med	rna_1_snp_med	rna_2_snp_med	rna_3_snp_med	rna_4_snp_med	combined_snp_med	rna_1_l2fc	rna_2_l2fc	rna_3_l2fc	rna_4_l2fc	combined_l2fc	rna_1_pval	rna_2_pval	rna_3_pval	rna_4_pval	combined_pval	rna_1_padj	rna_2_padj	rna_3_padj	rna_4_padj	combined_padj	rna_1_sig	rna_2_sig	rna_3_sig	rna_4_sig	combined_sig
WILDTYPE_SNP_INDIV__Lincrna.noflip.NA__chr1:145382340..145382454,-__15.1.1.0	WILDTYPE_BUT_HAS_SNP__Lincrna.noflip.NA__chr1:145382340..145382454,-__15.1.0.0	rs542065471	0.3908738368053029	1.7732908094589763	2.364806217770221	1.01751656673309	1.3866218576918976	-0.06300808360054888	1.4275349437406173	2.0815745600674216	0.8036569001756062	1.062439580095774	-0.4538819204058518	-0.34575586571835903	-0.28323165770279957	-0.2138596665574839	-0.32418227759612356	0.436112310787	0.840380101088	0.129198935732	0.519249062249	0.450909216591	1	1	1	1	1	not sig	not sig	not sig	not sig	not sig
WILDTYPE_SNP_INDIV__Lincrna.noflip.NA__chr1:146989664..146989778,-__17.1.1.0	WILDTYPE_BUT_HAS_SNP__Lincrna.noflip.NA__chr1:146989664..146989778,-__17.1.0.0	rs681814	1.621721340221766	2.704683821087611	3.6545114789135997	2.6908225571808977	2.6679347993509683	1.7593531071130255	3.076566862531781	3.732373575569222	2.694410803653616	2.815676087216911	0.13763176689125944	0.37188304144416984	0.07786209665562227	0.0035882464727183816	0.14774128786594248	0.468411351413	0.104229562843	0.510582765025	0.420456664513	0.22493360531	1	1	1	1	1	not sig	not sig	not sig	not sig	not sig
WILDTYPE_SNP_INDIV__Antisense.flip.sense__chr1:151584446..151584560,+__20.1.1.0	WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr1:151584446..151584560,+__20.1.0.0	rs73000031	-0.4137536041185229	0.447888332811986	1.0459460082747265	-0.15653308528657936	0.23088691292040253	-0.6373895680322665	0.5114243607368576	1.8096709316591109	0.6418623849098126	0.5813920273183786	-0.22363596391374363	0.06353602792487162	0.7637249233843844	0.798395470196392	0.3505051143979761	0.90381429355	0.87199428352	0.00460947122508	0.035608180216	0.162501583217	1	1	1	1	1	not sig	not sig	not sig	not sig	not sig
WILDTYPE_SNP_INDIV__Antisense.noflip.NA__chr1:151763230..151763344,+__21.1.1.0	WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr1:151763230..151763344,+__21.1.0.0	rs3811414	-3.7321114751689626	-2.320713488931598	-2.5912550178450724	-2.8893127222869395	-2.8833481760581434	-2.852899102193404	-1.4905070015268267	-2.1631762469442046	-2.430809245228444	-2.23434789897322	0.8792123729755588	0.8302064874047712	0.42807877090086777	0.45850347705849526	0.6490002770849232	NA__not_enough_barcodes	NA__no_active_tile	NA__no_active_tile	NA__no_active_tile	NA__too_many_rep_NAs	NA__not_enough_barcodes	NA__no_active_tile	NA__no_active_tile	NA__no_active_tile	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs
WILDTYPE_SNP_INDIV__Antisense.noflip.NA__chr1:152161701..152161815,+__22.1.1.0	WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr1:152161701..152161815,+__22.1.0.0	rs10788826	0.09182184819918894	1.34402074053216	2.024610830381386	0.8718423787911108	1.0830739494759614	0.6217013340017941	1.328549454286082	2.103303276132286	0.9281763578379808	1.2454326055645357	0.5298794858026051	-0.015471286246077964	0.07869244575089995	0.056333979046869986	0.16235865608857428	0.0531733827136	0.946473618223	0.122558611289	0.79863356553	0.434709821764	1	1	1	1	1	not sig	not sig	not sig	not sig	not sig
WILDTYPE_SNP_PLUS_HAPLO__Antisense.noflip.NA__chr1:152161701..152161815,+__22.1.1.1	WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr1:152161701..152161815,+__22.1.0.0	rs10788825,rs10788826	0.09182184819918894	1.34402074053216	2.024610830381386	0.8718423787911108	1.0830739494759614	0.10386571269236165	1.4104864680693654	2.0536275688473533	0.9299381132685928	1.1244794657194184	0.012043864493172712	0.06646572753720537	0.029016738465967418	0.05809573447748195	0.04140551624345686	0.727009731456	0.581967350665	0.88258056334	0.677233097055	0.890528267337	1	1	1	1	1	not sig	not sig	not sig	not sig	not sig
WILDTYPE_SNP_INDIV__Antisense.noflip.NA__chr1:155531741..155531855,+__23.1.1.0	WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr1:155531741..155531855,+__23.1.0.0	rs377014224	-2.2347759633886763	-2.6025396843667004	-1.4542668562064014	-1.3085755296860908	-1.9000395084119672	-2.3834656459145354	-2.437407194492712	-1.8493133023315322	-2.1028570242479825	-2.193260791746691	-0.148689682525859	0.16513248987398832	-0.39504644612513085	-0.7942814945618917	-0.2932212833347233	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__no_active_tile	NA__not_enough_barcodes	NA__too_many_rep_NAs	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__no_active_tile	NA__not_enough_barcodes	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs
WILDTYPE_SNP_INDIV__Lincrna.noflip.NA__chr1:159930967..159931081,+__25.1.1.0	WILDTYPE_BUT_HAS_SNP__Lincrna.noflip.NA__chr1:159930967..159931081,+__25.1.0.0	rs138939070	-1.3496269702207435	-1.0071704565541515	-1.064827677251925	-1.5529670826458193	-1.2436480466681599	-3.2481686151874003	-1.4621595902082802	-0.9397632976741142	-1.1836941564952	-1.7084464148912486	-1.8985416449666568	-0.45498913365412874	0.1250643795778108	0.36927292615061935	-0.46479836822308884	NA__not_enough_barcodes	NA__no_active_tile	0.554657938956	NA__no_active_tile	0.554657938956	NA__not_enough_barcodes	NA__no_active_tile	1	NA__no_active_tile	1	NA__too_many_rep_NAs	NA__too_many_rep_NAs	not sig	NA__too_many_rep_NAs	not sig
WILDTYPE_SNP_INDIV__Antisense.noflip.NA__chr1:17216082..17216196,-__30.1.1.0	WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr1:17216082..17216196,-__30.1.0.0	rs113018699	-0.4586378278049717	0.9791265539562786	1.4581011322892627	0.40058595460607593	0.5947939532616614	0.0428208682290489	1.269244877211892	1.5108354765627152	0.21938377913397392	0.7605712502844075	0.5014586960340206	0.2901183232556135	0.05273434427345247	-0.18120217547210202	0.16577729702274613	0.957167318493	0.0808926541269	0.432161939034	0.572794651112	0.565970455802	1	1	1	1	1	not sig	not sig	not sig	not sig	not sig
WILDTYPE_SNP_INDIV__Antisense.noflip.NA__chr1:17216082..17216196,-__30.1.2.0	WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr1:17216082..17216196,-__30.1.0.0	rs6684252	-0.4586378278049717	0.9791265539562786	1.4581011322892627	0.40058595460607593	0.5947939532616614	-0.8673743202764213	0.9915349887686395	1.3539754137701712	0.012979869552050828	0.3727789879536101	-0.40873649247144955	0.01240843481236098	-0.10412571851909158	-0.3876060850540251	-0.22201496530805132	0.510582765025	0.460214637573	0.581967350665	0.914457985151	0.773718068262	1	1	1	1	1	not sig	not sig	not sig	not sig	not sig
WILDTYPE_SNP_INDIV__Antisense.noflip.NA__chr1:17216082..17216196,-__30.1.3.0	WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr1:17216082..17216196,-__30.1.0.0	rs116155333	-0.4586378278049717	0.9791265539562786	1.4581011322892627	0.40058595460607593	0.5947939532616614	-0.958959574886468	-0.22508782471847644	1.4664561395176474	0.6161910604472818	0.22464995008999622	-0.5003217470814962	-1.204214378674755	0.00835500722838467	0.21560510584120585	-0.3701440031716652	0.361218104761	0.183752894264	0.677233097055	0.361218104761	0.282377007571	1	1	1	1	1	not sig	not sig	not sig	not sig	not sig
WILDTYPE_SNP_PLUS_HAPLO__Antisense.noflip.NA__chr1:17216082..17216196,-__30.1.3.1	WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr1:17216082..17216196,-__30.1.0.0	rs113018699,rs6684252,rs116155333	-0.4586378278049717	0.9791265539562786	1.4581011322892627	0.40058595460607593	0.5947939532616614	-0.4002677132843312	1.000872262993103	1.8375755025873024	0.2275412510458426	0.6664303258354792	0.058370114520640504	0.02174570903682449	0.37947437029803965	-0.17304470356023333	0.07163637257381783	0.706946403854	0.162586850726	0.340423946445	0.536806685117	0.352286337071	1	1	1	1	1	not sig	not sig	not sig	not sig	not sig
WILDTYPE_SNP_INDIV__Antisense.noflip.NA__chr1:17216132..17216246,-__31.1.1.0	WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr1:17216132..17216246,-__31.1.0.0	rs116155333	-1.7536482142562	0.4514656405297667	0.45758234163479816	1.245711745353404	0.10027787831544221	-0.12018118082436872	-0.31160983455207864	0.33539418757685485	-0.6431583468485467	-0.1848887936620348	1.6334670334318313	-0.7630754750818454	-0.12218815405794331	-1.8888700922019506	-0.28516667197747697	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__too_many_rep_NAs	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs
WILDTYPE_SNP_PLUS_HAPLO__Antisense.noflip.NA__chr1:17216132..17216246,-__31.1.1.1	WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr1:17216132..17216246,-__31.1.0.0	rs6684252,rs116155333,rs71644016	-1.7536482142562	0.4514656405297667	0.45758234163479816	1.245711745353404	0.10027787831544221	-2.131738914614001	-1.3518453121984662	-0.7109955953996048	-2.0042115302241905	-1.5496978381090656	-0.3780907003578009	-1.803310952728233	-1.168577937034403	-3.2499232755775944	-1.6499757164245077	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__too_many_rep_NAs	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs
WILDTYPE_SNP_INDIV__Antisense.noflip.NA__chr1:173834005..173834119,-__33.1.1.0	WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr1:173834005..173834119,-__33.1.0.0	rs113351229	-2.991793925714896	-1.7070760297410814	-2.1025884005819	-2.630083563599102	-2.357885479909245	-3.5412399282351306	-1.5285943052363136	-1.459133760221097	-1.3451421387174816	-1.9685275331025056	-0.5494460025202343	0.17848172450476785	0.643454640360803	1.2849414248816204	0.38935794680673924	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__too_many_rep_NAs	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs
WILDTYPE_SNP_INDIV__Antisense.noflip.NA__chr1:173835815..173835929,-__34.1.1.0	WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr1:173835815..173835929,-__34.1.0.0	rs13476	-3.764873823390797	-0.47796858578950785	-2.3986560526239433	-2.349075584657354	-2.2476435116154008	-3.352977292257015	-2.81509495654301	-2.1645592953404265	-3.0296401117746417	-2.840567913978773	0.4118965311337819	-2.337126370753502	0.23409675728351687	-0.6805645271172875	-0.5929244023633727	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__too_many_rep_NAs	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs
WILDTYPE_SNP_INDIV__Antisense.noflip.NA__chr1:19536933..19537047,+__38.1.1.0	WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr1:19536933..19537047,+__38.1.0.0	rs75750439	-0.7714601831643755	-0.3265917611608957	0.4265091234167304	-0.4033355895417636	-0.2687196026125761	0.12401655558174036	1.5154962605585007	2.3251908827498253	1.4645564801864626	1.3573150447691322	0.8954767387461159	1.8420880217193965	1.898681759333095	1.8678920697282262	1.6260346473817084	0.129198935732	5.31875791367e-06	1.25214566711e-06	2.34155615835e-05	4.14325880189e-13	1	0.00305828580036	0.000835181159965	0.0133937012258	2.77598339726e-10	not sig	sig	sig	sig	sig
WILDTYPE_SNP_INDIV__Antisense.flip.sense__chr1:201476261..201476375,+__40.1.1.0	WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr1:201476261..201476375,+__40.1.0.0	rs117708536	0.6847855093855005	2.413284733000425	2.8403388691042704	1.867740754661888	1.951537466538021	0.24041288289503554	2.1606480346477097	2.8152370019354724	1.5188031872849344	1.6837752766907879	-0.444372626490465	-0.2526366983527151	-0.02510186716879792	-0.3489375673769537	-0.26776218984723293	0.30750859871	0.563691144959	0.757455001208	0.375513989452	0.507632271433	1	1	1	1	1	not sig	not sig	not sig	not sig	not sig
WILDTYPE_SNP_INDIV__Antisense.noflip.NA__chr1:201798621..201798735,-__41.1.1.0	WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr1:201798621..201798735,-__41.1.0.0	rs11585549	-0.5595416615211957	0.7401077508808535	1.0654167153696052	-0.21003784499555542	0.2589862399334269	-0.8749251206818096	0.8226977774182338	1.2113932020067502	-0.19078276604486627	0.24209577317457703	-0.31538345916061394	0.08259002653738035	0.1459764866371449	0.019255078950689147	-0.016890466758849886	0.809021331888	0.767687747466	0.301187193336	0.727009731456	0.800714715807	1	1	1	1	1	not sig	not sig	not sig	not sig	not sig
WILDTYPE_SNP_INDIV__Lincrna.noflip.NA__chr1:209602085..209602199,+__48.1.1.0	WILDTYPE_BUT_HAS_SNP__Lincrna.noflip.NA__chr1:209602085..209602199,+__48.1.0.0	rs17014467	-2.6851788488601587	-1.9941609139511836	-2.3079002162173987	-2.6353461978724066	-2.405646544225287	-3.006099285523222	-2.8660769706300986	-1.9321275675081084	-2.4770064675768992	-2.570327572809582	-0.32092043666306314	-0.871916056678915	0.3757726487092903	0.1583397302955074	-0.16468102858429512	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__no_active_tile	NA__not_enough_barcodes	NA__too_many_rep_NAs	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__no_active_tile	NA__not_enough_barcodes	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs
WILDTYPE_SNP_INDIV__Antisense.noflip.NA__chr1:209848537..209848651,-__49.1.1.0	WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr1:209848537..209848651,-__49.1.0.0	rs1815548	-2.1111197571857505	-1.2298095756844765	-0.6964843750369758	-1.601296808915279	-1.4096776292056206	-0.06271718081660982	-0.13057923029822105	-0.012944381613772704	0.06446221643355897	-0.03544464407376115	2.0484025763691407	1.0992303453862555	0.6835399934232032	1.665759025348838	1.3742329851318593	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__too_many_rep_NAs	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs
WILDTYPE_SNP_INDIV__Lincrna.flip.sense__chr1:211556065..211556179,+__50.1.1.0	WILDTYPE_BUT_HAS_SNP__Lincrna.flip.sense__chr1:211556065..211556179,+__50.1.0.0	rs41303051	1.1906324317441546	2.489833479502736	3.371907283117848	2.1468413804627797	2.2998036437068796	0.8837977678196118	2.019437735281902	2.3023027410690515	1.3856896158858396	1.6478069650141012	-0.3068346639245427	-0.4703957442208342	-1.0696045420487965	-0.7611517645769401	-0.6519966786927784	0.0374147936077	0.00133155906714	4.38836124619e-06	3.54084840538e-05	2.02481490812e-11	1	0.765646463607	0.00292703695121	0.0202536528788	1.35662598844e-08	not sig	not sig	sig	sig	sig
WILDTYPE_SNP_INDIV__Lincrna.flip.sense__chr1:213031405..213031519,-__51.1.1.0	WILDTYPE_BUT_HAS_SNP__Lincrna.flip.sense__chr1:213031405..213031519,-__51.1.0.0	rs2201601	-0.835008960304539	-1.449939760611639	-1.419054639593018	-2.8000476416137063	-1.6260127505307256	-1.8849181917633913	-1.3166078148312972	-1.9696271718043228	-0.7318131921510991	-1.4757415926375277	-1.0499092314588523	0.1333319457803419	-0.5505725322113049	2.068234449462607	0.15027115789319795	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__too_many_rep_NAs	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs
WILDTYPE_SNP_INDIV__Lincrna.flip.sense__chr1:213031405..213031519,-__51.1.2.0	WILDTYPE_BUT_HAS_SNP__Lincrna.flip.sense__chr1:213031405..213031519,-__51.1.0.0	rs12404942	-0.835008960304539	-1.449939760611639	-1.419054639593018	-2.8000476416137063	-1.6260127505307256	-2.5403558348569013	-3.2776498363313102	-2.86749451382455	-1.8470521004204246	-2.633138071358297	-1.7053468745523623	-1.8277100757196711	-1.4484398742315319	0.9529955411932818	-1.007125320827571	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__too_many_rep_NAs	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs
