motif_id	motif_name	ensembl_id	HeLa-S3	HepG2	K562	tissue_sp
MA0092.1	Hand1::Tcf3					
MA0093.2	USF1	ENSG00000158773	20.833015	21.966944	28.525582	0.1665312794202294
MA0095.2	YY1	ENSG00000100811	50.826892	22.099641000000002	30.185377000000003	0.3237706396317393
MA0098.3	ETS1	ENSG00000134954	2.489518	0.132129	0.060655999999999995	0.6408537716939584
MA0100.2	Myb	ENSG00000118513	0.75661	0.01126	53.56166999999999	0.6618879383957471
MA0101.1	REL	ENSG00000162924	5.671501999999999	2.912656	3.334736	0.2994863324271653
MA0103.2	ZEB1	ENSG00000148516	8.195869	7.039961	2.642937	0.2728545319599423
MA0104.3	Mycn	ENSG00000134323	0.0	0.0	0.0	
MA0105.4	NFKB1	ENSG00000109320	13.072521	12.275472	5.296911	0.21859234343551637
MA0106.3	TP53	ENSG00000141510	3.848247	9.181935000000001	3.209139	0.4104611936372889
MA0107.1	RELA	ENSG00000173039	9.809584	38.334039000000004	18.129744	0.4237204607285621
MA0108.2	TBP	ENSG00000112592	10.174856	25.826313	25.038051	0.21218306822709587
MA0109.1	HLTF	ENSG00000071794	47.515094	7.147456	22.322723	0.4599240892448478
MA0111.1	Spz1	ENSG00000164299	0.0	0.0	0.0	
MA0112.3	ESR1	ENSG00000091831	0.24338400000000002	0.042742	0.0028899999999999998	0.60417009061127
MA0113.3	NR3C1	ENSG00000113580	40.662766999999995	8.638313	9.178866000000001	0.5206102099905465
MA0114.3	Hnf4a	ENSG00000101076	0.539604	74.969095	0.015130000000000001	0.6642001658594562
MA0115.1	NR1H2::RXRA					
MA0116.1	Znf423	ENSG00000102935	0.0	0.046408	0.0	0.6666666666666666
MA0117.2	Mafb	ENSG00000204103	0.071768	0.168482	0.0	0.524677215765878
MA0119.1	NFIC::TLX1					
MA0122.2	NKX3-2	ENSG00000109705	0.07067000000000001	0.056052	0.22151700000000002	0.47597851782632183
MA0124.2	Nkx3-1	ENSG00000167034	1.1654790000000002	1.0782180000000001	0.005014	0.3568564226954469
MA0131.2	HINFP	ENSG00000172273	10.632721	19.368619	23.139658999999998	0.23448887758746428
MA0136.2	ELF5	ENSG00000135374	0.038181	0.24789299999999997	0.007795999999999999	0.6048429497135189
MA0137.3	STAT1	ENSG00000115415	18.207586	26.543482	13.79713	0.2647510978401402
MA0138.2	REST	ENSG00000084093	12.766107	7.9382470000000005	8.797315	0.22968766698675902
MA0139.1	CTCF	ENSG00000102974	22.537882	12.679110000000001	13.701726999999998	0.27649635992119104
MA0140.2	GATA1::TAL1					
MA0141.3	ESRRB	ENSG00000119715	0.0	0.303002	7.272867	0.6527793418102288
MA0142.1	Pou5f1::Sox2					
MA0144.2	STAT3	ENSG00000168610	21.327802	50.645346999999994	60.147543999999996	0.2677966867608094
MA0145.3	TFCP2	ENSG00000135457	19.487775	6.740144	20.948458	0.24932617952118477
MA0146.2	Zfx	ENSG00000005889	31.591833	10.183833	7.321763000000001	0.48196074388381754
MA0147.2	Myc	ENSG00000136997	97.271202	60.01610600000001	64.96249399999999	0.23838437471623586
MA0148.3	FOXA1	ENSG00000129514	1.879271	35.821925	0.6887220000000001	0.6427707518975226
MA0149.1	EWSR1-FLI1					
MA0150.2	Nfe2l2	ENSG00000116044	145.385142	147.101003	71.395232	0.17543871313145745
MA0153.2	HNF1B	ENSG00000108753	0.004856	4.017366	0.0	0.6662637492658955
MA0154.3	EBF1	ENSG00000164330	0.0	0.0	0.00963	0.6666666666666666
MA0155.1	INSM1	ENSG00000173404	0.0	0.0	0.0	
MA0156.2	FEV	ENSG00000163497	0.0	0.0	0.564577	0.6666666666666666
MA0159.1	RARA::RXRA					
MA0162.2	EGR1	ENSG00000120738	0.019892	4.09588	6.290355	0.44856705225698706
MA0163.1	PLAG1	ENSG00000181690	1.796007	5.970295	2.7221610000000003	0.41440844492050505
MA0258.2	ESR2	ENSG00000140009	0.202373	0.10268800000000002	0.176975	0.20602715447877595
MA0259.1	ARNT::HIF1A					
MA0462.1	BATF::JUN					
MA0463.1	Bcl6	ENSG00000113916	2.858103	44.699923	2.4165509999999997	0.6273328628925529
MA0464.2	BHLHE40	ENSG00000134107	8.586277	41.387887	52.946011999999996	0.35204325996576785
MA0465.1	CDX2	ENSG00000165556	0.0	0.052263	0.0	0.6666666666666666
MA0466.2	CEBPB	ENSG00000172216	13.949142000000002	31.928112	6.215794	0.45614230702606734
MA0467.1	Crx	ENSG00000105392	0.0	0.0	0.0	
MA0469.2	E2F3	ENSG00000112242	16.12837	6.2756419999999995	17.322446	0.23554949072049833
MA0470.1	E2F4	ENSG00000205250	35.692505	72.91466199999999	54.749713	0.2532051601180934
MA0471.1	E2F6	ENSG00000169016	20.111974	17.381048	14.868413	0.13216814686282577
MA0472.2	EGR2	ENSG00000122877	0.011039	0.088681	0.047188	0.44780355055385784
MA0473.2	ELF1	ENSG00000120690	6.42933	12.420219	15.279304000000002	0.2554448597047789
MA0474.2	ERG	ENSG00000157554	0.0	0.0	0.013052000000000001	0.6666666666666666
MA0475.2	FLI1	ENSG00000151702	0.0	0.0	0.0	
MA0476.1	FOS	ENSG00000170345	10.209116	17.328224	2.4652700000000003	0.4228566066551309
MA0477.1	FOSL1	ENSG00000175592	0.874442	3.004073	3.944014	0.3388690641902725
MA0478.1	FOSL2	ENSG00000075426	15.172291	22.13425	0.377693	0.4324898592302277
MA0479.1	FOXH1	ENSG00000160973	1.327605	5.14671	4.5435989999999995	0.2864105418801525
MA0480.1	Foxo1	ENSG00000150907	1.601867	8.682882000000001	0.48234899999999997	0.5866542161154941
MA0481.1	FOXP1	ENSG00000114861	3.187782	32.979802	5.356301	0.5803099424308248
MA0482.1	Gata4	ENSG00000136574	0.0	15.57975	0.025268000000000002	0.6661260503752199
MA0483.1	Gfi1b	ENSG00000165702	0.011821	0.166553	25.469478	0.6643321861563084
MA0484.1	HNF4G	ENSG00000164749	0.5492739999999999	16.677861	0.0	0.6556885602216416
MA0485.1	Hoxc9	ENSG00000180806	1.049034	0.089192	1.4298950000000001	0.4013264377221171
MA0486.2	HSF1					
MA0486.2	HSF1	ENSG00000185122	12.777763	29.735559999999996	29.512340999999996	0.19259786374742338
MA0488.1	JUN	ENSG00000177606	1.658883	19.766122	4.050971	0.5703764248748439
MA0489.1	JUN(var.2)	ENSG00000177606	1.658883	19.766122	4.050971	0.5703764248748439
MA0490.1	JUNB	ENSG00000171223	16.148623999999998	10.231927	11.179411	0.22470252986673447
MA0491.1	JUND	ENSG00000130522	13.265829	74.11806	57.097637	0.3502189794678023
MA0492.1	JUND(var.2)	ENSG00000130522	13.265829	74.11806	57.097637	0.3502189794678023
MA0493.1	Klf1	ENSG00000105610	0.0	0.0	31.361296000000003	0.6666666666666666
MA0494.1	Nr1h3::Rxra					
MA0495.1	MAFF	ENSG00000185022	2.363424	11.467938	2.2048240000000003	0.5338834816395647
MA0496.1	MAFK	ENSG00000198517	3.9851550000000002	7.207797	1.6468310000000002	0.4062086284246536
MA0497.1	MEF2C	ENSG00000081189	0.097927	0.0	20.354595	0.6650629829120485
MA0499.1	Myod1	ENSG00000129152	0.0	0.0	0.0	
MA0500.1	Myog	ENSG00000122180	0.0	0.0	0.0	
MA0501.1	MAF::NFE2					
MA0502.1	NFYB	ENSG00000120837	29.458952000000004	11.982462	19.20869	0.31373317919343047
MA0503.1	Nkx2-5(var.2)	ENSG00000183072	0.0	0.5787909999999999	0.0	0.6666666666666666
MA0504.1	NR2C2	ENSG00000177463	7.1665779999999994	8.789636999999999	8.966985000000001	0.07351988061390398
MA0505.1	Nr5a2	ENSG00000116833	0.027326999999999997	0.178902	0.037765	0.5453861145580635
MA0506.1	NRF1	ENSG00000106459	13.298452	10.612853999999999	20.620925	0.28014494985069777
MA0507.1	POU2F2	ENSG00000028277	0.034079000000000005	0.16287000000000001	0.212023	0.3570320201110257
MA0508.1	PRDM1	ENSG00000057657	0.6970270000000001	0.061524	0.143568	0.568587252239392
MA0509.1	Rfx1	ENSG00000132005	0.1921	1.260216	0.8063560000000001	0.40257014141491093
MA0510.2	RFX5	ENSG00000143390	49.833218	14.442394	21.032876	0.4293733415597069
MA0511.2	RUNX2	ENSG00000124813	0.561814	0.07147300000000001	0.121867	0.551954917463787
MA0512.2	Rxra	ENSG00000186350	2.703687	17.290329999999997	2.797949	0.5606028340696794
MA0513.1	SMAD2::SMAD3::SMAD4					
MA0514.1	Sox3	ENSG00000134595	0.0	0.0	0.0	
MA0515.1	Sox6	ENSG00000110693	0.30957199999999996	1.7890099999999998	2.474542	0.3839770484127299
MA0516.1	SP2	ENSG00000167182	0.020069	0.081188	0.064398	0.31987075265638604
MA0517.1	STAT1::STAT2					
MA0518.1	Stat4	ENSG00000138378	0.090955	0.386565	0.006451	0.5826738927045473
MA0519.1	Stat5a::Stat5b					
MA0520.1	Stat6	ENSG00000166888	57.951953	57.758663	31.925246	0.1508145722025969
MA0521.1	Tcf12	ENSG00000140262	44.231746	31.955688000000002	44.734627	0.0989674806796385
MA0522.2	TCF3	ENSG00000071564	23.355328	49.287279	44.980665	0.20450554121006895
MA0523.1	TCF7L2	ENSG00000148737	2.012559	8.954098	0.23243000000000003	0.5830926800220414
MA0524.2	TFAP2C	ENSG00000087510	4.417541	0.0	0.021569	0.6650391397989667
MA0525.2	TP63	ENSG00000073282	0.287227	0.0	0.11643699999999998	0.5315389337817592
MA0526.1	USF2	ENSG00000105698	39.819346	80.850494	41.800084000000005	0.33016313625327587
MA0527.1	ZBTB33	ENSG00000177485	13.505167000000002	4.732803	9.485930999999999	0.3157211359671945
MA0527.1	ZBTB33					
MA0528.1	ZNF263	ENSG00000006194	7.772455	8.319385	5.862709	0.12034567459012901
MA0591.1	Bach1::Mafk					
MA0592.2	Esrra	ENSG00000173153	11.158205	13.243223	15.676820000000001	0.1478236019805037
MA0593.1	FOXP2	ENSG00000128573	1.755438	0.614149	0.0	0.5500482880435918
MA0594.1	Hoxa9	ENSG00000257184	0.112649	0.0	0.0	0.6666666666666666
MA0595.1	SREBF1	ENSG00000072310	15.919120000000001	43.509395	48.994764	0.26234785006822364
MA0596.1	SREBF2	ENSG00000198911	22.934555	69.80916500000001	44.5954	0.3442163838134052
MA0597.1	THAP1	ENSG00000131931	11.368034	6.288371	6.295221	0.29769075872456635
MA0598.2	EHF	ENSG00000135373	0.08075299999999999	0.037606	0.016803	0.44207645536388734
MA0599.1	KLF5	ENSG00000102554	141.995134	6.577519000000001	0.828677	0.6492806342692466
MA0600.2	RFX2	ENSG00000087903	0.79566	1.9189049999999999	6.009352	0.5160921954092
MA0601.1	Arid3b	ENSG00000179361	1.487797	8.511273	7.348319	0.3206112646134132
MA0602.1	Arid5a	ENSG00000196843	0.400292	5.216266	2.207521	0.5000204488549217
MA0603.1	Arntl	ENSG00000133794	13.547652	2.931409	0.24826900000000002	0.5884322488748112
MA0606.1	NFAT5	ENSG00000102908	17.568588000000002	38.067671999999995	13.227170999999998	0.397008648177908
MA0608.1	Creb3l2	ENSG00000182158	8.003991000000001	34.3774	15.781533	0.4360352634773621
MA0609.1	Crem	ENSG00000095794	85.774872	18.92967	35.507432	0.4551163577758919
MA0615.1	Gmeb1	ENSG00000162419	4.806453	2.103478	4.317938	0.22133369451443718
MA0616.1	Hes2	ENSG00000069812	0.8543120000000001	0.176556	0.087535	0.5636242965099402
MA0619.1	LIN54	ENSG00000189308	18.0157	21.386617	11.751333	0.20271557363809967
MA0620.1	Mitf	ENSG00000187098	13.942148999999999	0.154496	7.075321000000001	0.4938139020031991
MA0621.1	mix-a	ENSG00000185155	0.0	12.541055	0.032385000000000004	0.6658058937891057
MA0624.1	NFATC1	ENSG00000131196	0.026475	0.022132	1.189378	0.6530441401584133
MA0625.1	NFATC3	ENSG00000072736	21.258201	44.445675	54.11028100000001	0.2619137880039224
MA0626.1	Npas2	ENSG00000170485	1.453443	24.895935	0.002148	0.647177661734737
MA0627.1	Pou2f3	ENSG00000137709	0.036588	0.021059	0.053416	0.30693050771304475
MA0629.1	Rhox11					
MA0631.1	Six3	ENSG00000138083	0.0	0.0	0.0	
MA0632.1	Tcfl5	ENSG00000101190	11.43022	12.144067	6.094581	0.18564162511070903
MA0634.1	ALX3	ENSG00000156150	0.8747659999999999	0.803326	1.2055719999999999	0.20268442421246233
MA0635.1	BARHL2	ENSG00000143032	0.0	0.0	0.0	
MA0636.1	BHLHE41	ENSG00000123095	0.15135	0.019977	0.0	0.6226693095474066
MA0637.1	CENPB	ENSG00000125817	8.785975	10.338142	8.17924	0.11965622062455705
MA0638.1	CREB3	ENSG00000107175	8.830627999999999	9.336898	5.374668	0.1595283572766887
MA0639.1	DBP	ENSG00000105516	1.2193200000000002	1.877029	0.543296	0.353651435326785
MA0640.1	ELF3	ENSG00000163435	12.881503	53.319469999999995	0.433357	0.5834271545959978
MA0641.1	ELF4	ENSG00000102034	9.891249	2.144357	18.435664000000003	0.44905211984770393
MA0642.1	EN2	ENSG00000164778	0.0	0.0	0.0	
MA0643.1	Esrrg	ENSG00000196482	0.008331	0.0	0.0	0.6666666666666666
MA0644.1	ESX1	ENSG00000123576	0.0	0.0	0.0	
MA0644.1	ESX1					
MA0645.1	ETV6	ENSG00000139083	2.6088270000000002	3.091525	2.624344	0.10241752317491633
MA0646.1	GCM1	ENSG00000137270	0.01217	0.006904	0.023742	0.3988711987195687
MA0647.1	GRHL1	ENSG00000134317	3.4453160000000005	8.057298	3.8357589999999995	0.36544595967531546
MA0648.1	GSC	ENSG00000133937	0.0	0.0	0.0	
MA0649.1	HEY2	ENSG00000135547	0.233381	0.016276	0.040013	0.5862702333666122
MA0650.1	HOXA13	ENSG00000106031	0.5546979999999999	0.031606	0.00399	0.6452760481078593
MA0651.1	HOXC11	ENSG00000123388	5.5372650000000005	0.0	0.02808	0.6649763014773539
MA0652.1	IRF8	ENSG00000140968	0.0	0.0	0.0	
MA0653.1	IRF9	ENSG00000213928	14.898742000000002	43.654030999999996	10.380475	0.4736396890052757
MA0655.1	JDP2	ENSG00000140044	7.299319000000001	6.667459	1.423382	0.2971874042861624
MA0656.1	JDP2(var.2)	ENSG00000140044	7.299319000000001	6.667459	1.423382	0.2971874042861624
MA0657.1	KLF13	ENSG00000169926	26.128657999999998	10.351728999999999	1.909356	0.510247292455663
MA0659.1	MAFG	ENSG00000197063	7.109567	14.742083	14.89497	0.17765035221062328
MA0662.1	MIXL1	ENSG00000185155	0.0	12.541055	0.032385000000000004	0.6658058937891057
MA0663.1	MLX	ENSG00000108788	26.198389000000002	53.061935	27.371987	0.33013932366645377
MA0664.1	MLXIPL	ENSG00000009950	2.592482	47.88043	1.350036	0.639219697901627
MA0664.1	MLXIPL					
MA0665.1	MSC	ENSG00000178860	0.0	0.0	0.0	
MA0667.1	MYF6	ENSG00000111046	0.0	0.0	0.0	
MA0670.1	NFIA	ENSG00000162599	15.408903	12.889953	8.197008	0.21050265551025923
MA0671.1	NFIX	ENSG00000008441	0.133026	2.7520029999999998	3.099662	0.35641466714757936
MA0672.1	NKX2-3	ENSG00000119919	0.0	0.0	0.0	
MA0673.1	NKX2-8	ENSG00000136327	0.0	0.0	0.0	
MA0676.1	Nr2e1	ENSG00000112333	0.0	0.0	0.0	
MA0677.1	Nr2f6	ENSG00000160113	13.026367	28.279434000000002	12.922452999999999	0.3608045809309102
MA0679.1	ONECUT1	ENSG00000169856	0.0	2.7446669999999997	0.0	0.6666666666666666
MA0683.1	POU4F2	ENSG00000151615	0.0	0.0	0.0	
MA0684.1	RUNX3	ENSG00000020633	0.012802000000000001	0.301223	0.021783	0.6283949100832275
MA0685.1	SP4	ENSG00000105866	3.183282	1.9289349999999998	3.4929379999999997	0.17880449066087056
MA0686.1	SPDEF	ENSG00000124664	0.0	0.012478	0.038165	0.5576837416481069
MA0687.1	SPIC	ENSG00000166211	0.0	0.0	0.0	
MA0688.1	TBX2	ENSG00000121068	0.385223	2.494565	0.0	0.615191693408136
MA0689.1	TBX20	ENSG00000164532	2.9758310000000003	0.0	0.0	0.6666666666666666
MA0690.1	TBX21	ENSG00000073861	0.0	0.007790999999999999	0.0	0.6666666666666666
MA0691.1	TFAP4	ENSG00000090447	7.596236	12.069286	7.684439	0.2446401828023077
MA0692.1	TFEB	ENSG00000112561	3.629689	15.129164999999999	3.5163480000000003	0.5092216038800995
MA0693.1	Vdr	ENSG00000111424	2.026565	0.084103	0.876337	0.5086916366692736
MA0694.1	ZBTB7B	ENSG00000160685	10.052719999999999	17.658328	12.752708	0.23617237902327637
MA0695.1	ZBTB7C	ENSG00000184828	1.183208	0.009937999999999999	0.0	0.6638669335118311
MA0696.1	ZIC1	ENSG00000152977	0.0	0.0	0.298246	0.6666666666666666
MA0697.1	ZIC3	ENSG00000156925	0.0	0.0	0.0	
MA0698.1	ZBTB18	ENSG00000179456	1.763284	3.0140580000000003	1.355077	0.32179816491034124
MA0699.1	LBX2	ENSG00000179528	0.090316	3.447975	0.398921	0.6193696300002175
MA0700.1	LHX2	ENSG00000106689	5.069997	0.01652	0.013471	0.6646948706281286
MA0707.1	MNX1	ENSG00000130675	0.309109	1.7133009999999997	0.6221369999999999	0.48548698292555326
MA0714.1	PITX3	ENSG00000107859	0.043172	0.0	0.085636	0.4986220748283432
MA0718.1	RAX	ENSG00000134438	0.0	0.0	0.0	
MA0727.1	NR3C2	ENSG00000151623	0.058888	0.189907	0.067307	0.44516350985833414
MA0728.1	Nr2f6(var.2)	ENSG00000160113	13.026367	28.279434000000002	12.922452999999999	0.3608045809309102
MA0729.1	RARA	ENSG00000131759	1.073952	4.9885470000000005	1.9505599999999998	0.46456960981490875
MA0730.1	RARA(var.2)	ENSG00000131759	1.073952	4.9885470000000005	1.9505599999999998	0.46456960981490875
MA0731.1	BCL6B	ENSG00000161940	0.004019	0.011	1.524944	0.6633837045819387
MA0732.1	EGR3	ENSG00000179388	0.024995	0.017344	0.070434	0.4662946872249198
MA0733.1	EGR4	ENSG00000135625	0.0	0.0	0.0	
MA0734.1	GLI2	ENSG00000074047	0.265843	0.0	0.0032840000000000005	0.6625489480633306
MA0735.1	GLIS1	ENSG00000174332	0.0	0.0	0.0	
MA0736.1	GLIS2	ENSG00000126603	0.144843	0.031318	0.096079	0.373482552372799
MA0737.1	GLIS3	ENSG00000107249	0.8057840000000001	0.18426199999999998	0.024529	0.5802948846506425
MA0738.1	HIC2	ENSG00000169635	0.297354	4.224894	12.206681	0.5431756046818405
MA0739.1	Hic1	ENSG00000177374	0.30999499999999997	0.076596	0.355182	0.30385642665825785
MA0740.1	KLF14					
MA0740.1	KLF14	ENSG00000174595	0.0	0.0	0.011754	0.6666666666666666
MA0741.1	KLF16	ENSG00000129911	0.7248829999999999	3.168892	2.861064	0.28946363587020324
MA0742.1	Klf12	ENSG00000118922	5.556801	0.8550139999999999	0.044594	0.6127022844018828
MA0743.1	SCRT1					
MA0743.1	SCRT1	ENSG00000170616	0.003768	0.0	0.004311	0.37531895151936906
MA0744.1	SCRT2	ENSG00000215397	0.0	0.0	0.06687699999999999	0.6666666666666666
MA0745.1	SNAI2	ENSG00000019549	13.583027	0.06747	0.008091	0.66481236717952
MA0746.1	SP3	ENSG00000172845	32.791384	34.470737	39.208738000000004	0.09483732087134937
MA0747.1	SP8	ENSG00000164651	0.0	0.0	0.099996	0.6666666666666666
MA0748.1	YY2	ENSG00000230797	2.3632009999999997	0.17757699999999998	0.509518	0.5697508026895158
MA0750.1	ZBTB7A	ENSG00000178951	0.687383	3.993642	1.362319	0.4955862343194508
MA0751.1	ZIC4	ENSG00000174963	0.0	0.035812000000000004	0.00556	0.614914926095536
MA0752.1	ZNF410	ENSG00000119725	38.791517999999996	13.591629000000001	26.858679	0.31907944411971706
MA0753.1	ZNF740	ENSG00000139651	35.842202	19.040528	21.072401	0.29361547038878916
MA0756.1	ONECUT2	ENSG00000119547	5.5751610000000005	2.5211669999999997	0.475551	0.4874958768006879
MA0757.1	ONECUT3	ENSG00000205922	0.0019379999999999998	0.008952	0.007795000000000001	0.3042523086088769
MA0758.1	E2F7	ENSG00000165891	10.820375	1.0137610000000001	4.23974	0.5048268967880811
MA0759.1	ELK3	ENSG00000111145	1.509842	2.368783	0.899142	0.32767627933837756
MA0760.1	ERF	ENSG00000105722	20.639853	60.049877	20.024698	0.4409401371463259
MA0761.1	ETV1	ENSG00000006468	0.0	0.024415	8.82655	0.6657446378634159
MA0762.1	ETV2	ENSG00000105672	0.07484	0.15054700000000001	0.154373	0.17999477456118188
MA0763.1	ETV3	ENSG00000117036	5.726952	3.272066	4.754766	0.1994703872729042
MA0764.1	ETV4	ENSG00000175832	0.9001979999999999	247.950867	18.304154999999998	0.6408492493797168
MA0765.1	ETV5	ENSG00000244405	0.936524	34.539783	8.400067	0.57656196045007
MA0767.1	GCM2	ENSG00000124827	0.0	0.007898	0.014275	0.48224168126094574
MA0768.1	LEF1	ENSG00000138795	0.0	0.157229	47.372084	0.6655603259224708
MA0769.1	Tcf7	ENSG00000081059	0.246748	6.788949000000001	2.1643470000000002	0.5482833449870763
MA0770.1	HSF2	ENSG00000025156	16.846939000000003	18.058954	42.232051	0.3911579619943157
MA0771.1	HSF4	ENSG00000102878	8.753383	16.710221	11.66318	0.2593997011370067
MA0772.1	IRF7	ENSG00000185507	0.503451	0.187394	1.582652	0.5211630015105447
MA0776.1	MYBL1	ENSG00000185697	4.7382029999999995	1.263992	0.620633	0.5340829986952156
MA0777.1	MYBL2	ENSG00000101057	16.797908	7.685571	18.699578	0.23023116707054384
MA0778.1	NFKB2	ENSG00000077150	15.00934	10.286824000000001	5.020074	0.3267250480922767
MA0779.1	PAX1	ENSG00000125813	0.0	0.0	0.0	
MA0781.1	PAX9	ENSG00000198807	0.444028	0.025407	0.754526	0.4592803959041836
MA0782.1	PKNOX1	ENSG00000160199	30.883309000000004	13.004103	13.7029	0.3784095264316831
MA0783.1	PKNOX2	ENSG00000165495	0.0	0.0	0.004771	0.6666666666666666
MA0784.1	POU1F1	ENSG00000064835	0.0	0.0	0.0	
MA0785.1	POU2F1	ENSG00000143190	8.857783	10.417848	9.541836	0.07794562434263452
MA0786.1	POU3F1	ENSG00000185668	0.0	0.0	0.017832	0.6666666666666666
MA0787.1	POU3F2	ENSG00000184486	0.367166	0.00477	0.415488	0.3682737728486343
MA0788.1	POU3F3	ENSG00000198914	0.0	0.0	0.0	
MA0789.1	POU3F4	ENSG00000196767	0.0	0.0	0.0	
MA0790.1	POU4F1	ENSG00000152192	0.0	0.865765	1.163856	0.41870786993121717
MA0791.1	POU4F3	ENSG00000091010	0.0	0.0	0.030485	0.6666666666666666
MA0792.1	POU5F1B	ENSG00000212993	0.022241	0.013321000000000001	0.014238999999999998	0.2536156947379465
MA0793.1	POU6F2	ENSG00000106536	0.0	0.0	0.9673299999999999	0.6666666666666666
MA0794.1	PROX1	ENSG00000117707	0.0	8.113412	0.043708	0.6648709568797936
MA0796.1	TGIF1	ENSG00000177426	49.682085	60.042912	35.07959	0.19610501791341053
MA0797.1	TGIF2	ENSG00000118707	3.942589	34.424195000000005	9.943236	0.532208668931837
MA0798.1	RFX3	ENSG00000080298	2.474782	4.726726	2.957961	0.2835443250430284
MA0799.1	RFX4	ENSG00000111783	0.006784	0.0	0.010102	0.4428166039728107
MA0800.1	EOMES	ENSG00000163508	0.376136	0.068006	0.008109	0.5992132278395758
MA0802.1	TBR1	ENSG00000136535	0.006059	0.0	0.004618	0.41260934147549105
MA0804.1	TBX19	ENSG00000143178	0.307556	1.1365889999999998	1.901254	0.4134750012360264
MA0809.1	TEAD4	ENSG00000197905	14.249533999999999	52.340633000000004	11.354046	0.503609283186672
MA0810.1	TFAP2A(var.2)	ENSG00000137203	21.243269	0.0	1.048992	0.6502066764457642
MA0811.1	TFAP2B	ENSG00000008196	0.0	0.0	0.0027719999999999997	0.6666666666666666
