enhancer_id	TSS_id_Neg	TSS_id_Pos	distTSSs	sum_1828_samples	avExpALL	K562_rep1	K562_rep2	K562_rep3	HeLa_rep1	HeLa_rep2	HeLa_rep3	HepG2_rep1	HepG2_rep2	HepG2_rep3	avExpCS	oligo_reg_Neg	oligo_reg_Pos
chr1:145113904-145114998	chr1:145114617..145114618,-	chr1:145114724..145114725,+	1534	11778.4	6.44332603938731	0	0	0	0.092833815160624	0	0	0.0749442715676286	0	0	0.0186420096364725	chr1:145114583..145114697,-	chr1:145114645..145114759,+
chr1:145396760-145397198	chr1:145396970..145396971,-	chr1:145397117..145397118,+	568	1339.12	0.732560175054704	0.219831292528693	0.190996201361503	0.326995684031581	0.092833815160624	0	0.865130400573577	0.299777086270515	0.0788870790622009	0.258362910402928	0.25920160771018	chr1:145396936..145397050,-	chr1:145397038..145397152,+
chr1:145455122-145455741	chr1:145455410..145455411,-	chr1:145455519..145455520,+	686	1662.22	0.909310722100656	0.439662585057386	0.381992402723005	0.653991368063161	0.371335260642496	0.21138058795524	0.314592872935846	0.0749442715676286	0	0.064590727600732	0.27916556406061	chr1:145455376..145455490,-	chr1:145455440..145455554,+
chr1:147806841-147807184	chr1:147807110..147807111,-	chr1:147807168..147807169,+	597	4765.53	2.60696389496718	1.31898775517216	1.33697340953052	3.4334546823316	1.76384248805186	2.39564666349272	2.75268763818865	0.149888543135257	0.157774158124402	0.452135093205124	1.52904338124803	chr1:147807076..147807190,-	chr1:147807089..147807203,+
chr1:148529535-148529919	chr1:148529547..148529548,-	chr1:148529899..148529900,+	377	1820.31	0.995793216630197	0	0	0	0	0	0	0	0	0	0	chr1:148529513..148529627,-	chr1:148529820..148529934,+
chr1:150135231-150135764	chr1:150135477..150135478,-	chr1:150135594..150135595,+	610	1670.5	0.913840262582057	0.219831292528693	0.190996201361503	0.16349784201579	0	0	0	0.524609900973401	1.10441910687081	0.710498003608052	0.323761371928694	chr1:150135443..150135557,-	chr1:150135515..150135629,+
chr1:150185878-150186128	chr1:150185961..150185962,-	chr1:150186061..150186062,+	267	1461.77	0.799655361050328	0	0	0	1.67100867289123	0.986442743791121	1.17972327350942	0.149888543135257	0.236661237186603	0	0.469302718945959	chr1:150185927..150186041,-	chr1:150185982..150186096,+
chr1:150577042-150577503	chr1:150577349..150577350,-	chr1:150577431..150577432,+	697	3851.94	2.10718818380744	0	0	0.16349784201579	0.185667630321248	0.3523009799254	0.235944654701885	0.524609900973401	0.315548316248803	0.839679458809516	0.290805420332894	chr1:150577315..150577429,-	chr1:150577352..150577466,+
chr1:150585815-150586394	chr1:150586079..150586080,-	chr1:150586184..150586185,+	634	4883.97	2.67175601750547	0.219831292528693	0	0	0.185667630321248	0.0704601959850801	0.157296436467923	0.0749442715676286	0.157774158124402	0.258362910402928	0.124926321710878	chr1:150586045..150586159,-	chr1:150586105..150586219,+
chr1:151892722-151892912	chr1:151892722..151892723,-	chr1:151892899..151892900,+	178	3822.34	2.09099562363239	0	0	0	0	0	0	0	0	0	0	chr1:151892688..151892802,-	chr1:151892820..151892934,+
chr1:151918166-151918684	chr1:151918382..151918383,-	chr1:151918485..151918486,+	536	6664.35	3.6457056892779	0	0	0	0.185667630321248	0.845522351820961	0.235944654701885	0	0	0	0.140792737427122	chr1:151918348..151918462,-	chr1:151918406..151918520,+
chr1:151961675-151962369	chr1:151962061..151962062,-	chr1:151962076..151962077,+	788	1149.81	0.628998905908096	0	0	0	0.278501445481872	0.0704601959850801	0.157296436467923	0	0	0	0.0562508975483195	chr1:151962027..151962141,-	chr1:151961997..151962111,+
chr1:152007615-152008057	chr1:152007698..152007699,-	chr1:152007742..152007743,+	211	1172.02	0.641148796498906	0.219831292528693	0.381992402723005	0.16349784201579	0.278501445481872	0.845522351820961	0.471889309403769	0.0749442715676286	0	0	0.270686546171302	chr1:152007664..152007778,-	chr1:152007663..152007777,+
chr1:153358841-153359368	chr1:153359075..153359076,-	chr1:153359095..153359096,+	489	1728.47	0.945552516411379	0	0	0	0	0	0	0	0	0	0	chr1:153359041..153359155,-	chr1:153359016..153359130,+
chr1:153936554-153936861	chr1:153936600..153936601,-	chr1:153936682..153936683,+	175	1347.72	0.7372647702407	0.219831292528693	0.190996201361503	0	1.29967341224874	1.12736313576128	1.17972327350942	0.0749442715676286	0.157774158124402	0.064590727600732	0.479432941411378	chr1:153936566..153936680,-	chr1:153936603..153936717,+
chr1:154154606-154155027	chr1:154154759..154154760,-	chr1:154154899..154154900,+	447	1319.79	0.721985776805252	0.219831292528693	0.381992402723005	0.326995684031581	0.185667630321248	0.14092039197016	0.314592872935846	0.374721357838143	0.0788870790622009	0.129181455201464	0.239198907401371	chr1:154154725..154154839,-	chr1:154154820..154154934,+
chr1:154404273-154404562	chr1:154404304..154404305,-	chr1:154404475..154404476,+	234	926.314	0.506736323851203	0	0	0	0	0	0	0	0	0	0	chr1:154404270..154404384,-	chr1:154404396..154404510,+
chr1:154973036-154973200	chr1:154973044..154973045,-	chr1:154973194..154973195,+	167	1052.68	0.575864332603939	0	0	0	0.185667630321248	0.0704601959850801	0.393241091169808	0.224832814702886	0.0788870790622009	0.193772182802196	0.127428999338158	chr1:154973010..154973124,-	chr1:154973115..154973229,+
chr1:154973335-154973935	chr1:154973623..154973624,-	chr1:154973688..154973689,+	642	1042.6	0.57035010940919	0.439662585057386	0.190996201361503	0	0.742670521284992	0.3523009799254	1.0224268370415	0.299777086270515	0.394435395311004	0.193772182802196	0.404004643228277	chr1:154973589..154973703,-	chr1:154973609..154973723,+
chr1:155164183-155164959	chr1:155164499..155164500,-	chr1:155164573..155164574,+	707	3116.45	1.70484135667396	1.53881904770085	1.52796961089202	1.79847626217369	2.50651300933685	2.1138058795524	2.51674298348677	0.299777086270515	0.157774158124402	0	1.38443089305972	chr1:155164465..155164579,-	chr1:155164494..155164608,+
chr1:15587806-15588435	chr1:15587807..15587808,-	chr1:15587894..15587895,+	90	1011.03	0.553079868708972	0	0	0	0	0	0	0	0	0.064590727600732	0.00717674751119244	chr1:15587773..15587887,-	chr1:15587815..15587929,+
chr1:156066868-156067143	chr1:156066940..156066941,-	chr1:156067077..156067078,+	282	1580.95	0.864852297592998	0	0	0	0	0	0	0	0	0	0	chr1:156066906..156067020,-	chr1:156066998..156067112,+
chr1:156426931-156427503	chr1:156427176..156427177,-	chr1:156427217..156427218,+	532	2485.92	1.3599124726477	0.219831292528693	0.190996201361503	0.326995684031581	1.20683959708811	1.4092039197016	0.943778618807538	0.299777086270515	0.315548316248803	0.32295363800366	0.581769372671334	chr1:156427142..156427256,-	chr1:156427138..156427252,+
chr1:156472693-156472952	chr1:156472745..156472746,-	chr1:156472814..156472815,+	174	1334.51	0.73003829321663	0.219831292528693	0	0.326995684031581	1.67100867289123	1.62058450765684	2.20215011055092	0	0	0	0.671174474184363	chr1:156472711..156472825,-	chr1:156472735..156472849,+
chr1:156474686-156475018	chr1:156474891..156474892,-	chr1:156474953..156474954,+	473	1558.54	0.852592997811816	0.219831292528693	0.381992402723005	0.653991368063161	1.29967341224874	2.04334568356732	1.41566792821131	0.149888543135257	0.157774158124402	0.064590727600732	0.709639501800291	chr1:156474857..156474971,-	chr1:156474874..156474988,+
chr1:156718467-156719136	chr1:156718789..156718790,-	chr1:156718945..156718946,+	801	2417.44	1.32245076586433	0.219831292528693	0	0	0.185667630321248	0.14092039197016	0.0786482182339615	0.149888543135257	0.0788870790622009	0.129181455201464	0.109224956716998	chr1:156718755..156718869,-	chr1:156718866..156718980,+
chr1:157082632-157083078	chr1:157082919..157082920,-	chr1:157083028..157083029,+	684	1608.42	0.879879649890591	0	0	0	0	0	0	0	0	0	0	chr1:157082885..157082999,-	chr1:157082949..157083063,+
chr1:15743639-15744318	chr1:15744132..15744133,-	chr1:15744276..15744277,+	1131	991.008	0.542126914660832	0	0	0	0	0.0704601959850801	0	0	0	0	0.0078289106650089	chr1:15744098..15744212,-	chr1:15744197..15744311,+
chr1:158255393-158256068	chr1:158255636..158255637,-	chr1:158255752..158255753,+	603	1009.72	0.552363238512035	0	0	0	0	0	0	0	0	0	0	chr1:158255602..158255716,-	chr1:158255673..158255787,+
chr1:159859603-159860031	chr1:159859916..159859917,-	chr1:159859973..159859974,+	684	2008.58	1.09878555798687	0	0.190996201361503	0.817489210078951	0.092833815160624	0.28184078394032	0.629185745871692	0	0	0	0.223593972934788	chr1:159859882..159859996,-	chr1:159859894..159860008,+
chr1:159880076-159880706	chr1:159880400..159880401,-	chr1:159880473..159880474,+	722	1515.57	0.829086433260394	0	0	0	0	0	0.0786482182339615	0	0.0788870790622009	0	0.0175039219217958	chr1:159880366..159880480,-	chr1:159880394..159880508,+
chr1:160546747-160547109	chr1:160546905..160546906,-	chr1:160546914..160546915,+	326	1076.95	0.58914113785558	0	0	0	0	0	0	0	0	0	0	chr1:160546871..160546985,-	chr1:160546835..160546949,+
chr1:160712184-160712818	chr1:160712427..160712428,-	chr1:160712506..160712507,+	566	2620.57	1.43357221006565	0	0	0	0	0	0	0	0	0	0	chr1:160712393..160712507,-	chr1:160712427..160712541,+
chr1:160759511-160759977	chr1:160759687..160759688,-	chr1:160759751..160759752,+	417	1056.54	0.577975929978118	0	0	0	0	0	0	0	0	0	0	chr1:160759653..160759767,-	chr1:160759672..160759786,+
chr1:161037907-161038726	chr1:161038225..161038226,-	chr1:161038286..161038287,+	698	1798.65	0.98394420131291	0	0	0	0	0	0	0	0	0	0	chr1:161038191..161038305,-	chr1:161038207..161038321,+
chr1:161359666-161360218	chr1:161359835..161359836,-	chr1:161359961..161359962,+	465	3293.13	1.80149343544858	1.09915646264346	0.763984805446011	0.980987052094742	0.92833815160624	0.634141763865721	0.865130400573577	0.374721357838143	0.631096632497607	0.64590727600732	0.769273766952536	chr1:161359801..161359915,-	chr1:161359882..161359996,+
chr1:161369073-161369991	chr1:161369431..161369432,-	chr1:161369540..161369541,+	826	2529.65	1.38383479212254	1.97848163275824	2.10095821497653	1.6349784201579	0.742670521284992	1.62058450765684	1.10107505527546	0.224832814702886	0.157774158124402	0.258362910402928	1.09107980392669	chr1:161369397..161369511,-	chr1:161369461..161369575,+
chr1:161469487-161469783	chr1:161469602..161469603,-	chr1:161469611..161469612,+	240	1237.79	0.677128008752735	0	0	0	0	0	0	0	0	0	0	chr1:161469568..161469682,-	chr1:161469532..161469646,+
chr1:16212759-16213091	chr1:16212854..16212855,-	chr1:16213027..16213028,+	364	1618.7	0.885503282275711	0.439662585057386	0.381992402723005	0	0.185667630321248	0	0	0.0749442715676286	0.394435395311004	0.193772182802196	0.185608274198052	chr1:16212820..16212934,-	chr1:16212948..16213062,+
chr1:16276028-16276482	chr1:16276253..16276254,-	chr1:16276404..16276405,+	602	1199.32	0.656083150984683	0	0	0	0	0.14092039197016	0	0	0	0	0.0156578213300178	chr1:16276219..16276333,-	chr1:16276325..16276439,+
chr1:167191021-167191933	chr1:167191564..167191565,-	chr1:167191671..167191672,+	1194	1496.39	0.81859409190372	0.439662585057386	0.572988604084508	1.30798273612632	0.835504336445616	1.62058450765684	0.786482182339615	0.224832814702886	0.315548316248803	0.193772182802196	0.699706473940463	chr1:167191530..167191644,-	chr1:167191592..167191706,+
chr1:167586596-167587245	chr1:167587073..167587074,-	chr1:167587171..167587172,+	1053	959.028	0.52463238512035	2.41814421781562	4.39291263131456	6.04942015458424	0	0	0	0	0	0	1.4289418893016	chr1:167587039..167587153,-	chr1:167587092..167587206,+
chr1:16825333-16826291	chr1:16825780..16825781,-	chr1:16825802..16825803,+	917	3958.53	2.16549781181619	1.53881904770085	1.14597720816902	0.817489210078951	0.185667630321248	0.14092039197016	0.471889309403769	0.974275530379172	1.10441910687081	0.839679458809516	0.802126321522611	chr1:16825746..16825860,-	chr1:16825723..16825837,+
chr1:171712214-171712716	chr1:171712354..171712355,-	chr1:171712442..171712443,+	369	1918.38	1.0494420131291	0	0	0	0.092833815160624	0.0704601959850801	0.0786482182339615	0	0	0	0.026882469931074	chr1:171712320..171712434,-	chr1:171712363..171712477,+
chr1:17231253-17231704	chr1:17231340..17231341,-	chr1:17231442..17231443,+	277	3911.99	2.14003829321663	0.659493877586079	0.763984805446011	0.490493526047371	1.9495101183731	1.83196509561208	1.41566792821131	0.524609900973401	0.473322474373205	0.710498003608052	0.979949525581179	chr1:17231306..17231420,-	chr1:17231363..17231477,+
chr1:17240188-17240783	chr1:17240489..17240490,-	chr1:17240540..17240541,+	654	5670.92	3.10225382932166	0	0.381992402723005	0.490493526047371	1.85667630321248	1.55012431167176	1.41566792821131	0.299777086270515	0.631096632497607	0.452135093205124	0.786440364871019	chr1:17240455..17240569,-	chr1:17240461..17240575,+
chr1:17767804-17768710	chr1:17768108..17768109,-	chr1:17768143..17768144,+	644	1069.29	0.584950765864333	0.439662585057386	0.381992402723005	1.47148057814211	1.29967341224874	6.41187783464229	1.41566792821131	0	0.0788870790622009	0	1.27769353556523	chr1:17768074..17768188,-	chr1:17768064..17768178,+
chr1:17962245-17962730	chr1:17962373..17962374,-	chr1:17962596..17962597,+	480	2858.2	1.56356673960613	0	0	0	0	0	0	0.0749442715676286	0.0788870790622009	0.064590727600732	0.0242691198033957	chr1:17962339..17962453,-	chr1:17962517..17962631,+
chr1:181074349-181074924	chr1:181074569..181074570,-	chr1:181074720..181074721,+	592	950.963	0.5202204595186	0.439662585057386	0.190996201361503	0.16349784201579	0	0.14092039197016	0.0786482182339615	0.299777086270515	0	0.064590727600732	0.153121450278894	chr1:181074535..181074649,-	chr1:181074641..181074755,+
chr1:181104473-181105818	chr1:181105368..181105369,-	chr1:181105485..181105486,+	1908	1201.66	0.657363238512035	0	0	0	0	0.14092039197016	0.0786482182339615	0	0	0.129181455201464	0.0387500072672873	chr1:181105334..181105448,-	chr1:181105406..181105520,+
chr1:181998739-181999134	chr1:181998812..181998813,-	chr1:181998969..181998970,+	304	1426.51	0.780366520787746	1.09915646264346	2.86494302042254	1.47148057814211	0	0.14092039197016	0	0.149888543135257	0.394435395311004	0.710498003608052	0.759035821692509	chr1:181998778..181998892,-	chr1:181998890..181999004,+
chr1:182116340-182116866	chr1:182116477..182116478,-	chr1:182116568..182116569,+	366	1697.64	0.928687089715536	0	0	0.16349784201579	0	0	0	0	0	0	0.0181664268906433	chr1:182116443..182116557,-	chr1:182116489..182116603,+
chr1:182118170-182119053	chr1:182118650..182118651,-	chr1:182118740..182118741,+	1051	6932.9	3.79261487964989	0	0	0.16349784201579	0	0	0	0	0	0	0.0181664268906433	chr1:182118616..182118730,-	chr1:182118661..182118775,+
chr1:183865521-183866190	chr1:183865765..183865766,-	chr1:183865927..183865928,+	651	1463.89	0.800815098468271	0	0	0	0	0	0	0	0	0	0	chr1:183865731..183865845,-	chr1:183865848..183865962,+
chr1:1840449-1840835	chr1:1840590..1840591,-	chr1:1840744..1840745,+	437	2506.53	1.37118708971554	1.09915646264346	0.381992402723005	0.16349784201579	0.46416907580312	0.634141763865721	0.235944654701885	0.299777086270515	0.236661237186603	0.452135093205124	0.440830624268358	chr1:1840556..1840670,-	chr1:1840665..1840779,+
chr1:184129300-184129941	chr1:184129446..184129447,-	chr1:184129568..184129569,+	415	2271.14	1.24241794310722	0	0	0	0	0	0	0	0	0	0	chr1:184129412..184129526,-	chr1:184129489..184129603,+
chr1:184130086-184130836	chr1:184130485..184130486,-	chr1:184130542..184130543,+	856	1009.62	0.552308533916849	0	0	0	0	0	0	0	0	0	0	chr1:184130451..184130565,-	chr1:184130463..184130577,+
chr1:185344563-185345243	chr1:185344880..185344881,-	chr1:185344947..185344948,+	702	7745.19	4.23697483588621	0	0	0	0	0	0	0	0	0	0	chr1:185344846..185344960,-	chr1:185344868..185344982,+
chr1:185346055-185346679	chr1:185346554..185346555,-	chr1:185346594..185346595,+	1039	952.643	0.521139496717724	0	0	0	0	0	0	0	0	0	0	chr1:185346520..185346634,-	chr1:185346515..185346629,+
chr1:185389788-185390210	chr1:185389944..185389945,-	chr1:185390161..185390162,+	530	1385.13	0.757729759299781	0	0	0	0	0	0	0	0	0	0	chr1:185389910..185390024,-	chr1:185390082..185390196,+
chr1:185408687-185409225	chr1:185408975..185408976,-	chr1:185409043..185409044,+	645	1894.06	1.03613785557987	0	0	0	0	0	0	0	0	0	0	chr1:185408941..185409055,-	chr1:185408964..185409078,+
chr1:186587444-186588060	chr1:186587713..186587714,-	chr1:186587772..186587773,+	598	2887.03	1.57933807439825	0	0	0	0.092833815160624	0	0.157296436467923	0	0	0	0.0277922501809497	chr1:186587679..186587793,-	chr1:186587693..186587807,+
chr1:186625019-186625399	chr1:186625156..186625157,-	chr1:186625337..186625338,+	456	945.227	0.517082603938731	0	0	0	0	0	0	0	0	0	0	chr1:186625122..186625236,-	chr1:186625258..186625372,+
chr1:192446152-192446393	chr1:192446171..192446172,-	chr1:192446322..192446323,+	190	1138.33	0.622718818380744	0	0	0	0.092833815160624	0	0	0	0	0	0.0103148683511804	chr1:192446137..192446251,-	chr1:192446243..192446357,+
chr1:192485848-192486563	chr1:192486142..192486143,-	chr1:192486166..192486167,+	613	2328.35	1.27371444201313	0	0	0	0.092833815160624	0	0	0	0	0.129181455201464	0.0246683633735653	chr1:192486108..192486222,-	chr1:192486087..192486201,+
chr1:192487767-192488105	chr1:192487915..192487916,-	chr1:192487955..192487956,+	337	1050.35	0.574589715536105	0	0	0	0	0	0	0	0	0	0	chr1:192487881..192487995,-	chr1:192487876..192487990,+
chr1:192578246-192578789	chr1:192578437..192578438,-	chr1:192578448..192578449,+	394	2023.68	1.10704595185996	0	0	0	0.092833815160624	0	0	0	0	0	0.0103148683511804	chr1:192578403..192578517,-	chr1:192578369..192578483,+
chr1:19278388-19278892	chr1:19278636..19278637,-	chr1:19278800..19278801,+	661	1647.02	0.900995623632385	0	0	0	0	0	0	0	0	0	0	chr1:19278602..19278716,-	chr1:19278721..19278835,+
chr1:198128112-198128944	chr1:198128245..198128246,-	chr1:198128339..198128340,+	361	1224.39	0.669797592997812	0	0.381992402723005	0.817489210078951	1.39250722740936	0.775062155835881	1.17972327350942	0.374721357838143	0.394435395311004	0.32295363800366	0.626542740078825	chr1:198128211..198128325,-	chr1:198128260..198128374,+
chr1:198625518-198626374	chr1:198625695..198625696,-	chr1:198625794..198625795,+	454	3255.94	1.78114879649891	0.219831292528693	0	0	0.092833815160624	0.0704601959850801	0.157296436467923	0	0	0	0.0600468600158133	chr1:198625661..198625775,-	chr1:198625715..198625829,+
chr1:198650930-198651643	chr1:198651050..198651051,-	chr1:198651180..198651181,+	371	4225.51	2.31154814004376	0.439662585057386	0	0	0.649836706124368	0.775062155835881	0.393241091169808	0	0	0	0.250866948687494	chr1:198651016..198651130,-	chr1:198651101..198651215,+
chr1:201472589-201472996	chr1:201472740..201472741,-	chr1:201472874..201472875,+	437	1080.76	0.591225382932166	0	0	0	0.185667630321248	0.14092039197016	0.0786482182339615	0.524609900973401	0.315548316248803	0.193772182802196	0.15990740450553	chr1:201472706..201472820,-	chr1:201472795..201472909,+
chr1:201619383-201619798	chr1:201619664..201619665,-	chr1:201619744..201619745,+	643	1208.8	0.661269146608315	0.439662585057386	0	0	0	0.0704601959850801	0	0	0	0	0.0566803090047185	chr1:201619630..201619744,-	chr1:201619665..201619779,+
chr1:201683757-201684240	chr1:201683897..201683898,-	chr1:201683999..201684000,+	383	1631.64	0.892582056892779	0	0	0	0.278501445481872	0.21138058795524	0.707833964105654	0	0	0	0.13307955528253	chr1:201683863..201683977,-	chr1:201683920..201684034,+
chr1:202075010-202075191	chr1:202075015..202075016,-	chr1:202075178..202075179,+	174	1333.97	0.729742888402626	0	0	0	0.92833815160624	0.634141763865721	1.33701970997735	0	0	0	0.322166625049923	chr1:202074981..202075095,-	chr1:202075099..202075213,+
chr1:203258547-203259334	chr1:203258784..203258785,-	chr1:203258874..203258875,+	565	9127.45	4.99313457330416	0	0	0	0	0	0	0.0749442715676286	0	0	0.00832714128529207	chr1:203258750..203258864,-	chr1:203258795..203258909,+
chr1:203259429-203259985	chr1:203259650..203259651,-	chr1:203259807..203259808,+	600	4993.58	2.73171772428884	0	0	0.16349784201579	0	0	0	0.0749442715676286	0.0788870790622009	0.064590727600732	0.0424355466940391	chr1:203259616..203259730,-	chr1:203259728..203259842,+
chr1:203296328-203297068	chr1:203296674..203296675,-	chr1:203296696..203296697,+	715	1552.02	0.849026258205689	0.219831292528693	0	0	0.46416907580312	0.14092039197016	0.629185745871692	0	0.157774158124402	0.064590727600732	0.186274599099867	chr1:203296640..203296754,-	chr1:203296617..203296731,+
chr1:203481982-203482534	chr1:203482090..203482091,-	chr1:203482094..203482095,+	221	1656.36	0.906105032822757	0	0	0	4.17752168222808	5.21405450289593	5.03348596697354	0	0.0788870790622009	0.064590727600732	1.6187266620845	chr1:203482056..203482170,-	chr1:203482015..203482129,+
chr1:204386444-204387188	chr1:204386886..204386887,-	chr1:204386908..204386909,+	907	1609.85	0.88066192560175	0	0.190996201361503	0	2.3208453790156	3.10024862334352	1.88755723761508	0	0	0	0.833294160148411	chr1:204386852..204386966,-	chr1:204386829..204386943,+
chr1:206748926-206749451	chr1:206749054..206749055,-	chr1:206749112..206749113,+	315	933.458	0.510644420131291	0	0.190996201361503	0	0	0	0	0	0	0	0.0212218001512781	chr1:206749020..206749134,-	chr1:206749033..206749147,+
chr1:206754982-206755508	chr1:206755208..206755209,-	chr1:206755338..206755339,+	583	2085.2	1.14070021881838	0	0	0	0	0	0	0	0	0	0	chr1:206755174..206755288,-	chr1:206755259..206755373,+
chr1:206859136-206859493	chr1:206859309..206859310,-	chr1:206859345..206859346,+	383	1397.18	0.764321663019694	0	0	0	0	0.0704601959850801	0.0786482182339615	0.449665629405772	0.315548316248803	0.064590727600732	0.108768120830483	chr1:206859275..206859389,-	chr1:206859266..206859380,+
chr1:207064076-207064429	chr1:207064158..207064159,-	chr1:207064267..207064268,+	274	951.145	0.520320021881838	0	0	0	0.185667630321248	0.422761175910481	0.0786482182339615	0	0	0	0.0763418916072989	chr1:207064124..207064238,-	chr1:207064188..207064302,+
chr1:207999163-207999611	chr1:207999275..207999276,-	chr1:207999307..207999308,+	257	987.584	0.540253829321663	0	0	0	0	0	0	0	0	0	0	chr1:207999241..207999355,-	chr1:207999228..207999342,+
chr1:208136912-208137268	chr1:208136994..208136995,-	chr1:208137219..208137220,+	390	1222.01	0.668495623632385	0.219831292528693	0	0.653991368063161	0.185667630321248	0	0.0786482182339615	0.0749442715676286	0.394435395311004	0.129181455201464	0.192966625691907	chr1:208136960..208137074,-	chr1:208137140..208137254,+
chr1:209601291-209601611	chr1:209601343..209601344,-	chr1:209601465..209601466,+	227	4663.72	2.55126914660832	0	0	0	0	0	0	0	0	0	0	chr1:209601309..209601423,-	chr1:209601386..209601500,+
chr1:209822403-209823008	chr1:209822731..209822732,-	chr1:209822783..209822784,+	709	1060.12	0.579934354485777	0	0	0	0.185667630321248	0	0	0	0	0	0.0206297367023609	chr1:209822697..209822811,-	chr1:209822704..209822818,+
