oligo_reg	TSS_id	selected	PromType2
chr9:123691397..123691511,-	chr9:123691373..123691438,-	mRNA.gwas	protein_coding
chr1:24104828..24104942,+	chr1:24104869..24104918,+	mRNA.bidirec70-160	div_pc
chr1:24104828..24104942,-	chr1:24104869..24104918,+	mRNA.bidirec70-160	div_pc
chr15:79383078..79383192,-	chr15:79383102..79383127,-	mRNA.expmatch	protein_coding
chr16:1464670..1464784,-	chr16:1464688..1464728,-	mRNA.random	protein_coding
chr1:27114363..27114477,+	chr1:27114418..27114518,+	mRNA.gwas	protein_coding
chr12:56693772..56693886,-	chr12:56693785..56693829,-	mRNA.bidirec70-160	div_pc
chr12:56693772..56693886,+	chr12:56693785..56693829,-	mRNA.bidirec70-160	div_pc
chr17:58603568..58603682,+	chr17:58603568..58603610,-	mRNA.random	div_pc
chr17:58603568..58603682,-	chr17:58603568..58603610,-	mRNA.random	div_pc
chr19:50887484..50887598,+	chr19:50887558..50887569,+	mRNA.random	protein_coding
chr2:202122754..202122868,+	chr2:202122826..202122844,+	mRNA.expmatch	protein_coding
chr6:34759793..34759907,+	chr6:34759837..34759902,+	mRNA.gwas	protein_coding
chr10:6622203..6622317,-	chr10:6622204..6622254,-	mRNA.bidirec70-160	div_pc
chr10:6622203..6622317,+	chr10:6622204..6622254,-	mRNA.bidirec70-160	div_pc
chr10:14574678..14574792,-	chr10:14574705..14574718,-	mRNA.expmatch	protein_coding
chrX:46618518..46618632,-	chrX:46618519..46618622,-	mRNA.random	protein_coding
chr19:10541399..10541513,-	chr19:10541462..10541526,+	mRNA.expmatch	protein_coding
chr19:10541399..10541513,+	chr19:10541462..10541526,+	mRNA.expmatch	protein_coding
chr6:30028962..30029076,-	chr6:30029008..30029055,+	mRNA.bidirec70-160	protein_coding
chr6:30028962..30029076,+	chr6:30029008..30029055,+	mRNA.bidirec70-160	protein_coding
chr17:41158722..41158836,+	chr17:41158760..41158822,+	mRNA.random	protein_coding
chr3:160117281..160117395,-	chr3:160117301..160117342,-	mRNA.random	protein_coding
chr3:160117281..160117395,+	chr3:160117301..160117342,-	mRNA.random	protein_coding
chr1:229644039..229644153,+	chr1:229644034..229644123,-	mRNA.bidirec70-160	div_pc
chr1:229644039..229644153,-	chr1:229644034..229644123,-	mRNA.bidirec70-160	div_pc
chr22:17640132..17640246,+	chr22:17640110..17640185,-	mRNA.bidirec70-160	protein_coding
chr22:17640132..17640246,-	chr22:17640110..17640185,-	mRNA.bidirec70-160	protein_coding
chr19:663149..663263,-	chr19:663171..663249,-	mRNA.random	div_pc
chr1:45956777..45956891,-	chr1:45956800..45956821,-	mRNA.random	protein_coding
chr2:220325375..220325489,+	chr2:220325441..220325471,+	mRNA.random	protein_coding
chr17:17726909..17727023,-	chr17:17726907..17726958,-	mRNA.gwas	protein_coding
chr5:131563449..131563563,-	chr5:131563474..131563497,-	mRNA.gwas	protein_coding
chr16:68118640..68118754,+	chr16:68118689..68118733,+	mRNA.expmatch	protein_coding
chr16:68118640..68118754,-	chr16:68118689..68118733,+	mRNA.expmatch	protein_coding
chr5:171433639..171433753,+	chr5:171433662..171433686,-	mRNA.expmatch	protein_coding
chr5:171433639..171433753,-	chr5:171433662..171433686,-	mRNA.expmatch	protein_coding
chr11:85780867..85780981,-	chr11:85780889..85780936,-	mRNA.expmatch	protein_coding
chr11:85780867..85780981,+	chr11:85780889..85780936,-	mRNA.expmatch	protein_coding
chr2:122407077..122407191,-	chr2:122407097..122407119,-	mRNA.bidirec70-160	div_pc
chr2:122407077..122407191,+	chr2:122407097..122407119,-	mRNA.bidirec70-160	div_pc
chr3:45017656..45017770,+	chr3:45017728..45017772,+	mRNA.random	protein_coding
chr3:45017656..45017770,-	chr3:45017728..45017772,+	mRNA.random	protein_coding
chr1:208417614..208417728,-	chr1:208417620..208417680,-	mRNA.expmatch	protein_coding
chr2:172543863..172543977,+	chr2:172543940..172543949,+	mRNA.gwas	protein_coding
chr2:172543899..172544013,+	chr2:172543967..172544004,+	mRNA.gwas	protein_coding
chr10:26727261..26727375,+	chr10:26727333..26727346,+	mRNA.expmatch	protein_coding
chr4:40058390..40058504,+	chr4:40058411..40058557,+	mRNA.expmatch	protein_coding
chr4:40058390..40058504,-	chr4:40058411..40058557,+	mRNA.expmatch	protein_coding
chr12:4430299..4430413,+	chr12:4430372..4430429,+	mRNA.random	protein_coding
chr14:102290113..102290227,+	chr14:102290158..102290200,+	mRNA.expmatch	protein_coding
chr20:32077843..32077957,+	chr20:32077880..32077951,+	mRNA.gwas	protein_coding
chr8:11665897..11666011,+	chr8:11665952..11665983,+	mRNA.gwas	protein_coding
chr8:11665858..11665972,+	chr8:11665932..11665943,+	mRNA.gwas	protein_coding
chr14:102706915..102707029,-	chr14:102706939..102706979,-	mRNA.gwas	protein_coding
chr12:1192239..1192353,+	chr12:1192302..1192347,+	mRNA.expmatch	div_pc
chr16:23652545..23652659,+	chr16:23652570..23652663,-	mRNA.random	protein_coding
chr16:23652545..23652659,-	chr16:23652570..23652663,-	mRNA.random	protein_coding
chr6:80816276..80816390,+	chr6:80816342..80816369,+	mRNA.gwas	protein_coding
chr8:102504587..102504701,+	chr8:102504651..102504683,+	mRNA.random	div_pc
chr13:33160607..33160721,+	chr13:33160668..33160714,+	mRNA.gwas	protein_coding
chr2:96874530..96874644,-	chr2:96874553..96874572,-	mRNA.gwas	div_pc
chr12:96390087..96390201,-	chr12:96390108..96390143,-	mRNA.bidirec70-160	div_pc
chr12:96390087..96390201,+	chr12:96390108..96390143,-	mRNA.bidirec70-160	div_pc
chr11:33744186..33744300,-	chr11:33744198..33744239,-	mRNA.random	protein_coding
chr11:70244567..70244681,-	chr11:70244624..70244696,+	mRNA.bidirec70-160	div_pc
chr11:70244567..70244681,+	chr11:70244624..70244696,+	mRNA.bidirec70-160	div_pc
chr2:234160301..234160415,+	chr2:234160374..234160386,+	mRNA.gwas	protein_coding
chr2:234160269..234160383,+	chr2:234160340..234160357,+	mRNA.gwas	protein_coding
chr20:21106583..21106697,+	chr20:21106652..21106676,+	lncRNA	intergenic
chr20:21106611..21106725,+	chr20:21106678..21106706,+	lncRNA	intergenic
chr20:21106547..21106661,+	chr20:21106622..21106637,+	lncRNA	intergenic
chr20:21106611..21106725,-	chr20:21106678..21106706,+	lncRNA	intergenic
chr12:112279772..112279886,-	chr12:112279818..112279871,+	mRNA.bidirec70-160	div_pc
chr12:112279772..112279886,+	chr12:112279818..112279871,+	mRNA.bidirec70-160	div_pc
chr19:8274174..8274288,+	chr19:8274204..8274265,+	mRNA.gwas	protein_coding
chr19:8274209..8274323,+	chr19:8274288..8274291,+	mRNA.gwas	protein_coding
chr2:173292205..173292319,+	chr2:173292280..173292289,+	mRNA.expmatch	protein_coding
chr14:31091445..31091559,+	chr14:31091511..31091547,+	mRNA.random	protein_coding
chr14:21737581..21737695,-	chr14:21737610..21737621,-	mRNA.random	protein_coding
chr14:24711789..24711903,-	chr14:24711806..24711861,-	mRNA.random	protein_coding
chr3:42623748..42623862,-	chr3:42623776..42623801,-	mRNA.random	protein_coding
chr9:130540944..130541058,-	chr9:130540962..130540988,-	mRNA.expmatch	protein_coding
chr10:26223078..26223192,+	chr10:26223137..26223175,+	mRNA.random	div_pc
chr10:28821628..28821742,+	chr10:28821674..28821715,+	mRNA.bidirec70-160	div_pc
chr10:28822565..28822679,+	chr10:28822636..28822657,+	mRNA.expmatch	div_pc
chr10:28821628..28821742,-	chr10:28821674..28821715,+	mRNA.bidirec70-160	div_pc
chr9:4985192..4985306,+	chr9:4985246..4985329,+	mRNA.random	protein_coding
chr10:116286634..116286748,-	chr10:116286656..116286693,-	mRNA.random	protein_coding
chr19:59084843..59084957,+	chr19:59084872..59084920,-	mRNA.expmatch	protein_coding
chr19:59084843..59084957,-	chr19:59084872..59084920,-	mRNA.expmatch	protein_coding
chr16:30968541..30968655,+	chr16:30968615..30968628,+	mRNA.gwas	protein_coding
chr22:20004220..20004334,-	chr22:20004247..20004282,-	mRNA.gwas	protein_coding
chr22:24999088..24999202,+	chr22:24999148..24999189,+	mRNA.gwas	protein_coding
chr22:38004967..38005081,+	chr22:38005033..38005064,+	mRNA.gwas	protein_coding
chr22:42343064..42343178,-	chr22:42343092..42343107,-	mRNA.gwas	protein_coding
chr22:29138591..29138705,+	chr22:29138651..29138695,+	mRNA.random	protein_coding
chr22:39077900..39078014,+	chr22:39077947..39077986,+	mRNA.bidirec70-160	div_pc
chr22:39077900..39078014,-	chr22:39077947..39077986,+	mRNA.bidirec70-160	div_pc
chr22:29196522..29196636,-	chr22:29196547..29196563,-	mRNA.bidirec70-160	div_pc
chr22:29196522..29196636,+	chr22:29196547..29196563,-	mRNA.bidirec70-160	div_pc
chr22:32870634..32870748,+	chr22:32870661..32870775,+	mRNA.gwas	protein_coding
chr22:35653411..35653525,+	chr22:35653468..35653501,+	mRNA.gwas	protein_coding
chr22:41940439..41940553,-	chr22:41940404..41940500,-	mRNA.gwas	protein_coding
chr22:41940330..41940444,-	chr22:41940317..41940370,-	mRNA.gwas	protein_coding
chr14:25103361..25103475,-	chr14:25103388..25103402,-	mRNA.gwas	protein_coding
chr14:78083089..78083203,-	chr14:78083112..78083140,-	mRNA.random	protein_coding
chr14:62203529..62203643,+	chr14:62203595..62203676,+	mRNA.expmatch	div_pc
chr14:95623831..95623945,+	chr14:95623841..95623883,-	mRNA.bidirec70-160	div_pc
chr14:95623831..95623945,-	chr14:95623841..95623883,-	mRNA.bidirec70-160	div_pc
chr14:91976814..91976928,-	chr14:91976794..91976871,-	mRNA.random	protein_coding
chr14:35451808..35451922,+	chr14:35451880..35451920,+	mRNA.bidirec70-160	div_pc
chr14:35451808..35451922,-	chr14:35451880..35451920,+	mRNA.bidirec70-160	div_pc
chr14:24610717..24610831,-	chr14:24610746..24610758,-	mRNA.gwas	protein_coding
chr14:24610684..24610798,-	chr14:24610694..24610724,-	mRNA.gwas	protein_coding
chr20:25228655..25228769,+	chr20:25228669..25228751,+	mRNA.gwas	protein_coding
chr20:62258393..62258507,-	chr20:62258402..62258464,-	mRNA.bidirec70-160	div_pc
chr20:62258393..62258507,+	chr20:62258402..62258464,-	mRNA.bidirec70-160	div_pc
chr20:3776356..3776470,+	chr20:3776371..3776506,+	mRNA.gwas	protein_coding
chr20:3776877..3776991,+	chr20:3776936..3776964,+	mRNA.gwas	protein_coding
chr20:4804219..4804333,-	chr20:4804244..4804293,-	mRNA.random	protein_coding
chr20:524399..524513,+	chr20:524415..524442,-	mRNA.expmatch	protein_coding
chr20:524399..524513,-	chr20:524415..524442,-	mRNA.expmatch	protein_coding
chr20:23618557..23618671,-	chr20:23618584..23618603,-	mRNA.gwas	protein_coding
chrX:114827744..114827858,+	chrX:114827818..114827842,+	mRNA.random	protein_coding
chrX:47077559..47077673,+	chrX:47077633..47077679,+	mRNA.random	protein_coding
chrX:47092738..47092852,+	chrX:47092806..47092860,+	mRNA.random	protein_coding
chrX:100662878..100662992,-	chrX:100662881..100662926,-	mRNA.random	protein_coding
chr13:46961312..46961426,-	chr13:46961337..46961359,-	mRNA.expmatch	protein_coding
chr13:73632820..73632934,+	chr13:73632897..73632923,+	mRNA.expmatch	protein_coding
chr19:11688472..11688586,-	chr19:11688500..11688523,-	mRNA.gwas	protein_coding
chr13:111855327..111855441,+	chr13:111855399..111855413,+	mRNA.expmatch	protein_coding
chr13:23755067..23755181,+	chr13:23755127..23755166,+	mRNA.gwas	protein_coding
chr13:30880958..30881072,-	chr13:30880979..30881008,-	mRNA.gwas	protein_coding
chr16:4475789..4475903,+	chr16:4475853..4475887,+	mRNA.gwas	protein_coding
chr16:31044799..31044913,+	chr16:31044835..31044931,+	mRNA.gwas	protein_coding
chr15:49913077..49913191,+	chr15:49913150..49913163,+	mRNA.gwas	protein_coding
chr15:49913077..49913191,-	chr15:49913150..49913163,+	mRNA.gwas	protein_coding
chr15:50647280..50647394,-	chr15:50647274..50647336,-	mRNA.bidirec70-160	div_pc
chr15:50647280..50647394,+	chr15:50647274..50647336,-	mRNA.bidirec70-160	div_pc
chr15:51973620..51973734,+	chr15:51973680..51973707,+	mRNA.random	protein_coding
chr8:90769909..90770023,-	chr8:90769967..90769997,+	mRNA.bidirec70-160	div_pc
chr8:90769909..90770023,+	chr8:90769967..90769997,+	mRNA.bidirec70-160	div_pc
chr8:99129460..99129574,+	chr8:99129513..99129570,+	mRNA.gwas	protein_coding
chr8:42065048..42065162,-	chr8:42065075..42065090,-	mRNA.expmatch	protein_coding
chr8:42234712..42234826,-	chr8:42234745..42234750,-	mRNA.expmatch	protein_coding
chr8:103424999..103425113,-	chr8:103425028..103425039,-	mRNA.expmatch	protein_coding
chr8:144679754..144679868,-	chr8:144679778..144679798,-	mRNA.gwas	protein_coding
chr8:23082577..23082691,+	chr8:23082580..23082657,-	mRNA.bidirec70-160	div_pc
chr8:23082577..23082691,-	chr8:23082580..23082657,-	mRNA.bidirec70-160	div_pc
chr8:30601601..30601715,-	chr8:30601667..30601710,+	lncRNA	intergenic
chr8:30601601..30601715,+	chr8:30601667..30601710,+	lncRNA	intergenic
chr8:30601660..30601774,+	chr8:30601734..30601745,+	lncRNA	intergenic
chr19:12777521..12777635,+	chr19:12777509..12777574,-	mRNA.random	protein_coding
chr19:12777521..12777635,-	chr19:12777509..12777574,-	mRNA.random	protein_coding
chr19:44285398..44285512,-	chr19:44285401..44285446,-	mRNA.expmatch	protein_coding
chr19:13213633..13213747,-	chr19:13213662..13213686,-	mRNA.random	protein_coding
chr19:4007669..4007783,+	chr19:4007713..4007759,+	mRNA.random	protein_coding
chr19:41196520..41196634,-	chr19:41196534..41196568,-	mRNA.gwas	protein_coding
chr19:48867670..48867784,+	chr19:48867699..48867772,+	mRNA.expmatch	protein_coding
chr19:12992259..12992373,+	chr19:12992274..12992332,-	mRNA.expmatch	div_pc
chr19:12992259..12992373,-	chr19:12992274..12992332,-	mRNA.expmatch	div_pc
chr19:36036448..36036562,-	chr19:36036477..36036564,+	mRNA.bidirec70-160	div_pc
chr19:36036448..36036562,+	chr19:36036477..36036564,+	mRNA.bidirec70-160	div_pc
chr7:27135572..27135686,+	chr7:27135591..27135658,-	mRNA.bidirec70-160	div_pc
chr7:27135572..27135686,-	chr7:27135591..27135658,-	mRNA.bidirec70-160	div_pc
chr7:2595316..2595430,-	chr7:2595337..2595360,-	mRNA.gwas	protein_coding
chr7:100202440..100202554,+	chr7:100202467..100202526,+	mRNA.expmatch	protein_coding
chr7:100202440..100202554,-	chr7:100202467..100202526,+	mRNA.expmatch	protein_coding
chr7:7222095..7222209,+	chr7:7222157..7222193,+	mRNA.random	protein_coding
chr9:23826271..23826385,-	chr9:23826298..23826344,-	mRNA.random	protein_coding
chr9:32526158..32526272,-	chr9:32526184..32526261,-	mRNA.random	protein_coding
chr9:32526143..32526257,-	chr9:32526172..32526181,-	mRNA.random	protein_coding
chr9:139871876..139871990,+	chr9:139871948..139871964,+	mRNA.random	protein_coding
chr10:123687943..123688057,+	chr10:123687943..123687997,-	mRNA.expmatch	div_pc
chr10:123687943..123688057,-	chr10:123687943..123687997,-	mRNA.expmatch	div_pc
chr10:91102409..91102523,-	chr10:91102410..91102481,-	mRNA.expmatch	protein_coding
chr10:1034322..1034436,+	chr10:1034365..1034411,+	mRNA.gwas	protein_coding
chr10:1034322..1034436,-	chr10:1034365..1034411,+	mRNA.gwas	protein_coding
chr10:54074938..54075052,+	chr10:54074962..54075047,+	mRNA.random	div_pc
chr17:38137009..38137123,+	chr17:38137073..38137124,+	mRNA.gwas	protein_coding
chr17:38136980..38137094,+	chr17:38137052..38137067,+	mRNA.gwas	protein_coding
chr17:73663226..73663340,-	chr17:73663245..73663282,-	mRNA.gwas	protein_coding
chr17:73663226..73663340,+	chr17:73663245..73663282,-	mRNA.gwas	protein_coding
chr17:62084213..62084327,-	chr17:62084241..62084253,-	mRNA.expmatch	protein_coding
chr17:42200971..42201085,-	chr17:42200997..42201033,-	mRNA.gwas	protein_coding
chr17:27045150..27045264,-	chr17:27045165..27045230,-	mRNA.random	protein_coding
chr4:53525425..53525539,-	chr4:53525406..53525478,-	mRNA.bidirec70-160	div_pc
chr4:53525425..53525539,+	chr4:53525406..53525478,-	mRNA.bidirec70-160	div_pc
chr4:103422408..103422522,+	chr4:103422471..103422495,+	mRNA.gwas	div_pc
chr4:103422436..103422550,+	chr4:103422499..103422632,+	mRNA.gwas	div_pc
chr4:2936517..2936631,-	chr4:2936514..2936584,-	mRNA.bidirec70-160	div_pc
chr4:2936517..2936631,+	chr4:2936514..2936584,-	mRNA.bidirec70-160	div_pc
chr11:73053942..73054056,+	chr11:73054011..73054028,+	mRNA.expmatch	protein_coding
chr11:116662560..116662674,-	chr11:116662593..116662620,-	mRNA.gwas	protein_coding
chr11:10562699..10562813,+	chr11:10562710..10562782,-	mRNA.bidirec70-160	div_pc
chr11:10562699..10562813,-	chr11:10562710..10562782,-	mRNA.bidirec70-160	div_pc
chr11:44087929..44088043,+	chr11:44088002..44088026,+	mRNA.gwas	protein_coding
chr11:44087955..44088069,+	chr11:44088027..44088086,+	mRNA.gwas	protein_coding
chr11:2920854..2920968,+	chr11:2920913..2920942,+	mRNA.random	protein_coding
chr11:18344034..18344148,+	chr11:18344106..18344128,+	mRNA.gwas	protein_coding
chr11:18344014..18344128,+	chr11:18344088..18344105,+	mRNA.gwas	protein_coding
chr12:50017127..50017241,+	chr12:50017184..50017214,+	mRNA.random	protein_coding
chr12:15114643..15114757,-	chr12:15114658..15114684,-	mRNA.expmatch	protein_coding
chr12:124086630..124086744,+	chr12:124086704..124086715,+	mRNA.expmatch	protein_coding
chr12:75905346..75905460,-	chr12:75905374..75905420,-	mRNA.random	protein_coding
chr6:126220956..126221070,+	chr6:126221034..126221056,+	mRNA.random	protein_coding
chr6:153304679..153304793,+	chr6:153304697..153304734,-	mRNA.bidirec70-160	div_pc
chr6:153304679..153304793,-	chr6:153304697..153304734,-	mRNA.bidirec70-160	div_pc
chr6:160210819..160210933,+	chr6:160210892..160210910,+	mRNA.gwas	protein_coding
chr6:56954832..56954946,+	chr6:56954905..56954915,+	mRNA.expmatch	protein_coding
chr6:24495029..24495143,+	chr6:24495098..24495109,+	mRNA.gwas	protein_coding
chr6:24495001..24495115,+	chr6:24495067..24495096,+	mRNA.gwas	protein_coding
chr6:163148952..163149066,+	chr6:163148973..163149044,+	mRNA.expmatch	protein_coding
chr6:292029..292143,+	chr6:292051..292124,+	mRNA.gwas	protein_coding
chr6:2245871..2245985,-	chr6:2245892..2245945,-	mRNA.bidirec70-160	div_pc
chr6:2245871..2245985,+	chr6:2245892..2245945,-	mRNA.bidirec70-160	div_pc
chr6:76311664..76311778,+	chr6:76311736..76311754,+	mRNA.gwas	protein_coding
chr6:43739637..43739751,+	chr6:43739697..43739752,+	mRNA.random	div_pc
chr6:80714245..80714359,+	chr6:80714318..80714328,+	mRNA.expmatch	protein_coding
chr5:9546152..9546266,+	chr5:9546180..9546195,-	mRNA.bidirec70-160	div_pc
chr5:9546152..9546266,-	chr5:9546180..9546195,-	mRNA.bidirec70-160	div_pc
chr5:137514778..137514892,-	chr5:137514834..137514865,+	mRNA.expmatch	protein_coding
chr5:137514778..137514892,+	chr5:137514834..137514865,+	mRNA.expmatch	protein_coding
chr5:43603208..43603322,+	chr5:43603259..43603356,+	mRNA.bidirec70-160	div_pc
chr5:43603208..43603322,-	chr5:43603259..43603356,+	mRNA.bidirec70-160	div_pc
chr5:179921370..179921484,+	chr5:179921430..179921461,+	mRNA.random	protein_coding
chr5:33440795..33440909,+	chr5:33440865..33440880,+	mRNA.bidirec70-160	div_pc
chr5:33440795..33440909,-	chr5:33440865..33440880,+	mRNA.bidirec70-160	div_pc
chr5:58571872..58571986,-	chr5:58571894..58571922,-	mRNA.gwas	protein_coding
chr5:38556713..38556827,-	chr5:38556728..38556771,-	mRNA.bidirec70-160	protein_coding
chr5:38556713..38556827,+	chr5:38556728..38556771,-	mRNA.bidirec70-160	protein_coding
chr3:186435038..186435152,+	chr3:186435111..186435126,+	mRNA.expmatch	protein_coding
chr3:100428198..100428312,+	chr3:100428268..100428287,+	mRNA.gwas	protein_coding
chr3:62304617..62304731,+	chr3:62304658..62304707,+	mRNA.bidirec70-160	protein_coding
chr3:62304617..62304731,-	chr3:62304658..62304707,+	mRNA.bidirec70-160	protein_coding
chr3:105587821..105587935,-	chr3:105587808..105587874,-	mRNA.gwas	protein_coding
chr3:197686827..197686941,-	chr3:197686847..197686894,-	mRNA.random	protein_coding
chr3:153839139..153839253,-	chr3:153839171..153839251,+	mRNA.bidirec70-160	div_pc
chr3:153839139..153839253,+	chr3:153839171..153839251,+	mRNA.bidirec70-160	div_pc
chr2:97304076..97304190,-	chr2:97304105..97304116,-	mRNA.gwas	protein_coding
chr2:122042743..122042857,-	chr2:122042770..122042785,-	mRNA.random	protein_coding
chr2:27579833..27579947,-	chr2:27579842..27579907,-	mRNA.bidirec70-160	div_pc
chr2:27579833..27579947,+	chr2:27579842..27579907,-	mRNA.bidirec70-160	div_pc
chr2:217559525..217559639,-	chr2:217559547..217559566,-	mRNA.random	protein_coding
chr2:63277906..63278020,-	chr2:63277978..63277995,+	mRNA.expmatch	protein_coding
chr2:63277906..63278020,+	chr2:63277978..63277995,+	mRNA.expmatch	protein_coding
chr2:103039540..103039654,+	chr2:103039609..103039641,+	mRNA.gwas	protein_coding
chr2:128180784..128180898,+	chr2:128180842..128180878,+	mRNA.expmatch	protein_coding
chr2:175499240..175499354,-	chr2:175499269..175499280,-	mRNA.expmatch	protein_coding
chr2:46524825..46524939,+	chr2:46524897..46524911,+	mRNA.expmatch	protein_coding
chr2:46524825..46524939,-	chr2:46524897..46524911,+	mRNA.expmatch	protein_coding
chr2:178129532..178129646,-	chr2:178129555..178129572,-	mRNA.expmatch	protein_coding
chr1:8021691..8021805,+	chr1:8021713..8021788,+	mRNA.gwas	protein_coding
chr1:8021718..8021832,+	chr1:8021793..8021802,+	mRNA.gwas	protein_coding
chr1:193029170..193029284,-	chr1:193029192..193029224,-	mRNA.expmatch	protein_coding
chr1:117113581..117113695,-	chr1:117113596..117113682,-	mRNA.random	protein_coding
chr1:231664341..231664455,-	chr1:231664390..231664479,+	mRNA.bidirec70-160	div_pc
chr1:231664341..231664455,+	chr1:231664390..231664479,+	mRNA.bidirec70-160	div_pc
chr1:38156154..38156268,-	chr1:38156153..38156221,-	mRNA.gwas	protein_coding
chr1:93811384..93811498,-	chr1:93811438..93811548,+	mRNA.bidirec70-160	div_pc
chr1:93811384..93811498,+	chr1:93811438..93811548,+	mRNA.bidirec70-160	div_pc
chr1:212606145..212606259,+	chr1:212606219..212606230,+	mRNA.expmatch	protein_coding
chr1:214161796..214161910,+	chr1:214161854..214161892,+	mRNA.gwas	protein_coding
chr11:118436602..118436716,-	chr11:118436606..118436664,-	mRNA.random	protein_coding
chr2:207630250..207630364,+	chr2:207630302..207630347,+	mRNA.gwas	protein_coding
chr2:207630286..207630400,+	chr2:207630360..207630371,+	mRNA.gwas	protein_coding
chr12:64173609..64173723,+	chr12:64173675..64173701,+	mRNA.random	protein_coding
chr1:220445709..220445823,-	chr1:220445737..220445749,-	mRNA.expmatch	protein_coding
chr16:4987114..4987228,-	chr16:4987129..4987156,-	mRNA.random	protein_coding
chr2:201936445..201936559,+	chr2:201936507..201936540,+	mRNA.random	protein_coding
chr9:131903859..131903973,+	chr9:131903916..131903951,+	mRNA.gwas	protein_coding
chr9:131904224..131904338,+	chr9:131904295..131904314,+	mRNA.gwas	protein_coding
chr9:131873149..131873263,+	chr9:131873227..131873233,+	mRNA.gwas	protein_coding
chr14:74960031..74960145,-	chr14:74960056..74960071,-	mRNA.random	protein_coding
chr2:60778007..60778121,-	chr2:60778035..60778060,-	mRNA.random	protein_coding
chr5:172198163..172198277,-	chr5:172198190..172198206,-	mRNA.gwas	protein_coding
chr9:27529773..27529887,-	chr9:27529726..27529827,-	mRNA.gwas	protein_coding
chr1:173793248..173793362,-	chr1:173793246..173793306,-	mRNA.expmatch	protein_coding
chr1:173793436..173793550,-	chr1:173793458..173793479,-	mRNA.expmatch	protein_coding
chr11:124670529..124670643,-	chr11:124670550..124670574,-	mRNA.expmatch	div_pc
chr5:135382964..135383078,+	chr5:135383008..135383051,+	mRNA.gwas	protein_coding
chr3:109056358..109056472,-	chr3:109056387..109056400,-	mRNA.expmatch	protein_coding
chr13:20805051..20805165,-	chr13:20805079..20805095,-	mRNA.expmatch	protein_coding
chr4:39033976..39034090,+	chr4:39033963..39034047,-	mRNA.expmatch	protein_coding
chr4:39033976..39034090,-	chr4:39033963..39034047,-	mRNA.expmatch	protein_coding
chr1:91486995..91487109,-	chr1:91487013..91487070,-	mRNA.expmatch	protein_coding
chr7:26241289..26241403,+	chr7:26241325..26241392,+	mRNA.random	protein_coding
chr7:24323729..24323843,+	chr7:24323800..24323815,+	mRNA.random	protein_coding
chr10:60028845..60028959,+	chr10:60028892..60028975,+	mRNA.gwas	protein_coding
