unique_id	cage_id	n_motifs	n_bp_cov	max_cov	avg_tf_tissue_sp	log_n_motifs	log_bp_cov	log_max_cov	log_avg_tf_tissue_sp
WILDTYPE__Antisense.noflip.NA__chr10:118609196..118609310,-__108.1.0.0	chr10:118609147..118609257,-	9	52	4	0.3256379676964058	2.302585092994046	3.970291913552122	1.6094379124341003	0.28189382861534196
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr10:11936664..11936778,-__110.1.0.0	chr10:11936692..11936705,-	10	56	3	0.33154832315722826	2.3978952727983707	4.04305126783455	1.3862943611198906	0.28634241788309356
WILDTYPE__Antisense.noflip.NA__chr10:119806425..119806539,+__111.1.0.0	chr10:119806476..119806520,+	17	74	7	0.4099221262698552	2.8903717578961645	4.31748811353631	2.0794415416798357	0.3435344732690192
WILDTYPE_BUT_HAS_SNP__Enhancer.noflip.NA__chr10:121030597..121030711,-__2037.1.0.0	chr10:121030438-121030814	11	52	4	0.46650877153076165	2.4849066497880004	3.970291913552122	1.6094379124341003	0.38288459068632624
WILDTYPE_BUT_HAS_SNP__Enhancer.noflip.NA__chr10:121030665..121030779,+__1744.1.0.0	chr10:121030438-121030814	14	55	4	0.46650877153076165	2.70805020110221	4.02535169073515	1.6094379124341003	0.38288459068632624
WILDTYPE_BUT_HAS_SNP__mrna.noflip.NA__chr10:121302190..121302304,-__1298.1.0.0	chr10:121302195..121302245,-	44	74	3	0.45014957316446547	3.8066624897703196	4.31748811353631	1.3862943611198906	0.3716667050190125
WILDTYPE__mrna.flip.sense__chr10:123687943..123688057,-__973.1.0.0	chr10:123687943..123687997,-	12	66	4	0.3848975431699318	2.5649493574615367	4.204692619390966	1.6094379124341003	0.325626160852348
WILDTYPE__Antisense.flip.sense__chr10:127408027..127408141,-__112.1.0.0	chr10:127408011..127408106,-	15	70	7	0.4117716201099607	2.772588722239781	4.2626798770413155	2.0794415416798357	0.3448453838576252
WILDTYPE__Enhancer.noflip.NA__chr10:129862576..129862690,-__2038.1.0.0	chr10:129862087-129863410	2	2	1	0.1978160442223411	1.0986122886681098	1.0986122886681098	0.6931471805599453	0.18049993550082805
WILDTYPE_BUT_HAS_SNP__Enhancer.noflip.NA__chr10:129862613..129862727,+__1745.1.0.0	chr10:129862087-129863410	2	11	1	0.1978160442223411	1.0986122886681098	2.4849066497880004	0.6931471805599453	0.18049993550082805
WILDTYPE__Lincrna.noflip.NA__chr10:131909050..131909164,-__113.1.0.0	chr10:131909071..131909102,-	26	88	10	0.3907363435154165	3.295836866004329	4.48863636973214	2.3978952727983707	0.3298333504142981
WILDTYPE_BUT_HAS_SNP__mrna.noflip.NA__chr10:135192695..135192809,+__1442.1.0.0	chr10:135192740..135192780,+	16	56	4	0.5189854965028765	2.833213344056216	4.04305126783455	1.6094379124341003	0.4180426755120136
WILDTYPE_BUT_HAS_SNP__mrna.noflip.NA__chr10:135192712..135192826,+__1443.1.0.0	chr10:135192782..135192805,+	14	45	4	0.5189854965028765	2.70805020110221	3.828641396489095	1.6094379124341003	0.4180426755120136
WILDTYPE__mrna.noflip.NA__chr10:14574678..14574792,-__974.1.0.0	chr10:14574705..14574718,-	1	15	1	0.21397187696728825	0.6931471805599453	2.772588722239781	0.6931471805599453	0.1938975267736655
WILDTYPE__mrna.noflip.NA__chr10:15085869..15085983,+__1393.1.0.0	chr10:15085936..15085963,+	1	13	1	0.4426504264089017	0.6931471805599453	2.6390573296152584	0.6931471805599453	0.3664819957024283
WILDTYPE_BUT_HAS_SNP__Enhancer.noflip.NA__chr10:17255060..17255174,-__2228.1.0.0	chr10:17254796-17255338	1	21	1		0.6931471805599453	3.091042453358316	0.6931471805599453	
WILDTYPE_BUT_HAS_SNP__mrna.noflip.NA__chr10:26223078..26223192,+__1345.1.0.0	chr10:26223137..26223175,+	8	69	4	0.3444654529572019	2.1972245773362196	4.248495242049359	1.6094379124341003	0.2959965013109026
WILDTYPE__mrna.noflip.NA__chr10:26727261..26727375,+__975.1.0.0	chr10:26727333..26727346,+	2	32	1	0.35442307866470657	1.0986122886681098	3.4965075614664802	0.6931471805599453	0.30337559146177456
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr10:28821597..28821711,-__118.1.0.0	chr10:28821614..28821697,-	19	95	7	0.4140753216125748	2.995732273553991	4.564348191467836	2.0794415416798357	0.34647583452283404
WILDTYPE_BUT_HAS_SNP__mrna.flip.sense__chr10:28821628..28821742,+__1144.1.0.0	chr10:28821674..28821715,+	15	93	3	0.34246743141329933	2.772588722239781	4.543294782270004	1.3862943611198906	0.29450928745171445
WILDTYPE__mrna.noflip.NA__chr10:28822565..28822679,+__976.1.0.0	chr10:28822636..28822657,+	7	51	3	0.3904276722548239	2.0794415416798357	3.9512437185814275	1.3862943611198906	0.329611377700636
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr10:29698406..29698520,+__119.1.0.0	chr10:29698456..29698498,+	9	75	3	0.21499449389990205	2.302585092994046	4.330733340286331	1.3862943611198906	0.19473954501261528
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr10:29698426..29698540,+__120.1.0.0	chr10:29698502..29698509,+	10	87	3	0.21499449389990205	2.3978952727983707	4.477336814478207	1.3862943611198906	0.19473954501261528
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr10:29698438..29698552,+__121.1.0.0	chr10:29698510..29698527,+	10	81	3	0.29529376998613194	2.3978952727983707	4.406719247264253	1.3862943611198906	0.2587375188352048
WILDTYPE_BUT_HAS_SNP__Enhancer.flip.sense__chr10:30782546..30782660,+__1844.1.0.0	chr10:30782405-30782910	1	11	1	0.3817287181867685	0.6931471805599453	2.4849066497880004	0.6931471805599453	0.32333540954044454
WILDTYPE_BUT_HAS_SNP__Enhancer.flip.sense__chr10:30782567..30782681,-__2137.1.0.0	chr10:30782405-30782910	1	11	1	0.3817287181867685	0.6931471805599453	2.4849066497880004	0.6931471805599453	0.32333540954044454
WILDTYPE__Enhancer.noflip.NA__chr10:30831506..30831620,-__2138.1.0.0	chr10:30831188-30831972	5	13	4	0.518593138305419	1.791759469228055	2.6390573296152584	1.6094379124341003	0.4177843393523215
WILDTYPE_BUT_HAS_SNP__Enhancer.noflip.NA__chr10:30831727..30831841,+__1845.1.0.0	chr10:30831188-30831972	3	36	1	0.518593138305419	1.3862943611198906	3.6109179126442243	0.6931471805599453	0.4177843393523215
WILDTYPE__mrna.flip.sense__chr10:31608065..31608179,+__1145.1.0.0	chr10:31608127..31608156,+	46	69	6	0.4682719950808663	3.8501476017100584	4.248495242049359	1.9459101490553132	0.38408619578222825
WILDTYPE_BUT_HAS_SNP__mrna.flip.sense__chr10:38146503..38146617,-__1146.1.0.0	chr10:38146510..38146576,-	18	56	6	0.413605233040099	2.9444389791664403	4.04305126783455	1.9459101490553132	0.34614334394073276
WILDTYPE__Antisense.flip.sense__chr10:38146597..38146711,+__123.1.0.0	chr10:38146669..38146685,+	10	54	3	0.4568755184491281	2.3978952727983707	4.007333185232471	1.3862943611198906	0.3762940866716587
WILDTYPE_BUT_HAS_SNP__Enhancer.noflip.NA__chr10:3893812..3893926,+__1746.1.0.0	chr10:3893365-3894190	2	13	2	0.5104079843317267	1.0986122886681098	2.6390573296152584	1.0986122886681098	0.4123798026317046
WILDTYPE_BUT_HAS_SNP__Enhancer.noflip.NA__chr10:3893845..3893959,-__2039.1.0.0	chr10:3893365-3894190	3	25	2	0.5104079843317267	1.3862943611198906	3.258096538021482	1.0986122886681098	0.4123798026317046
WILDTYPE__Lincrna.noflip.NA__chr10:42970994..42971108,+__126.1.0.0	chr10:42971050..42971098,+	7	23	4	0.347545250850156	2.0794415416798357	3.1780538303479458	1.6094379124341003	0.2982846045730975
WILDTYPE_BUT_HAS_SNP__Enhancer.noflip.NA__chr10:43633193..43633307,+__1936.1.0.0	chr10:43633157-43633403	8	49	5	0.399612802114316	2.1972245773362196	3.912023005428146	1.791759469228055	0.33619562845035417
WILDTYPE_BUT_HAS_SNP__Enhancer.noflip.NA__chr10:43633199..43633313,-__2229.1.0.0	chr10:43633157-43633403	8	49	5	0.399612802114316	2.1972245773362196	3.912023005428146	1.791759469228055	0.33619562845035417
WILDTYPE_BUT_HAS_SNP__Lincrna.noflip.NA__chr10:43915994..43916108,+__127.1.0.0	chr10:43916052..43916083,+	12	40	4	0.5004197206179434	2.5649493574615367	3.713572066704308	1.6094379124341003	0.4057448827128952
WILDTYPE__Lincrna.noflip.NA__chr10:4720371..4720485,-__128.1.0.0	chr10:4720389..4720416,-	10	27	8	0.3938364702128754	2.3978952727983707	3.332204510175204	2.1972245773362196	0.33205999571014433
WILDTYPE__mrna.noflip.NA__chr10:54074938..54075052,+__1300.1.0.0	chr10:54074962..54075047,+	2	20	1	0.5224909903823207	1.0986122886681098	3.044522437723423	0.6931471805599453	0.4203478029373257
WILDTYPE__Lincrna.noflip.NA__chr10:54215018..54215132,-__129.1.0.0	chr10:54215046..54215061,-	4	32	2	0.426682581556245	1.6094379124341003	3.4965075614664802	1.0986122886681098	0.35535187615980923
WILDTYPE_BUT_HAS_SNP__Lincrna.noflip.NA__chr10:54515153..54515267,-__130.1.0.0	chr10:54515145..54515202,-	5	38	3	0.416875430516597	1.791759469228055	3.6635616461296463	1.3862943611198906	0.3484540461289949
WILDTYPE_BUT_HAS_SNP__mrna.noflip.NA__chr10:5932135..5932249,+__1408.1.0.0	chr10:5932174..5932236,+	12	56	5	0.4409389597726512	2.5649493574615367	4.04305126783455	1.791759469228055	0.3652949564898305
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr10:5987842..5987956,-__131.1.0.0	chr10:5987859..5987890,-	3	34	1	0.39842576182915784	1.3862943611198906	3.5553480614894135	0.6931471805599453	0.3353471481101121
WILDTYPE_BUT_HAS_SNP__mrna.noflip.NA__chr10:60028845..60028959,+__1447.1.0.0	chr10:60028892..60028975,+	18	41	6	0.291500764893382	2.9444389791664403	3.7376696182833684	1.9459101490553132	0.25580492580552394
WILDTYPE_BUT_HAS_SNP__Lincrna.noflip.NA__chr10:60759312..60759426,+__132.1.0.0	chr10:60759378..60759409,+	1	8	1		0.6931471805599453	2.1972245773362196	0.6931471805599453	
WILDTYPE_BUT_HAS_SNP__mrna.noflip.NA__chr10:64564400..64564514,+__1448.1.0.0	chr10:64564469..64564535,+	6	29	4	0.2464627354300071	1.9459101490553132	3.4011973816621555	1.6094379124341003	0.22030972817158948
WILDTYPE__mrna.flip.sense__chr10:6622203..6622317,-__1147.1.0.0	chr10:6622204..6622254,-	3	24	2	0.1627712721189835	1.3862943611198906	3.2188758248682006	1.0986122886681098	0.15080618361736312
WILDTYPE__Lincrna.flip.sense__chr10:6622301..6622415,+__134.1.0.0	chr10:6622345..6622400,+	8	73	2	0.19956132589772205	2.1972245773362196	4.30406509320417	1.0986122886681098	0.18195592820807063
WILDTYPE__Lincrna.noflip.NA__chr10:6622333..6622447,+__135.1.0.0	chr10:6622404..6622421,+	6	53	2	0.23905703258932678	1.9459101490553132	3.9889840465642745	1.0986122886681098	0.214350632733147
WILDTYPE__Lincrna.noflip.NA__chr10:6625539..6625653,+__136.1.0.0	chr10:6625605..6625634,+	5	30	3	0.36609669406015	1.791759469228055	3.4339872044851463	1.3862943611198906	0.31195754492459027
WILDTYPE_BUT_HAS_SNP__Enhancer.noflip.NA__chr10:70805370..70805484,+__1747.1.0.0	chr10:70805220-70805884	6	65	2	0.543821819861526	1.9459101490553132	4.189654742026425	1.0986122886681098	0.43426104329921306
WILDTYPE__Enhancer.noflip.NA__chr10:70805394..70805508,-__2040.1.0.0	chr10:70805220-70805884	6	60	2	0.543821819861526	1.9459101490553132	4.110873864173311	1.0986122886681098	0.43426104329921306
WILDTYPE__mrna.noflip.NA__chr10:72201402..72201516,-__1251.1.0.0	chr10:72201429..72201443,-	4	28	2	0.309556411672125	1.6094379124341003	3.367295829986474	1.0986122886681098	0.2696884628251841
WILDTYPE_BUT_HAS_SNP__Enhancer.noflip.NA__chr10:73397977..73398091,-__2041.1.0.0	chr10:73398011-73398245	11	30	5	0.4910497957049335	2.4849066497880004	3.4339872044851463	1.791759469228055	0.39948043274666944
WILDTYPE_BUT_HAS_SNP__Enhancer.noflip.NA__chr10:73397988..73398102,+__1748.1.0.0	chr10:73398011-73398245	11	30	5	0.4910497957049335	2.4849066497880004	3.4339872044851463	1.791759469228055	0.39948043274666944
WILDTYPE_BUT_HAS_SNP__Enhancer.noflip.NA__chr10:73790766..73790880,-__2230.1.0.0	chr10:73790594-73790943	5	11	3	0.49322271408837914	1.791759469228055	2.4849066497880004	1.3862943611198906	0.400936679627821
WILDTYPE_BUT_HAS_SNP__Enhancer.noflip.NA__chr10:73790800..73790914,+__1937.1.0.0	chr10:73790594-73790943	5	11	3	0.49322271408837914	1.791759469228055	2.4849066497880004	1.3862943611198906	0.400936679627821
WILDTYPE__Enhancer.noflip.NA__chr10:74032412..74032526,-__2139.1.0.0	chr10:74032298-74032943	7	37	5	0.4720028954988437	2.0794415416798357	3.6375861597263857	1.791759469228055	0.38662398735559483
WILDTYPE__Enhancer.noflip.NA__chr10:74032424..74032538,+__1846.1.0.0	chr10:74032298-74032943	7	42	5	0.4720028954988437	2.0794415416798357	3.7612001156935624	1.791759469228055	0.38662398735559483
WILDTYPE__Enhancer.noflip.NA__chr10:74057103..74057217,-__2292.1.0.0	chr10:74056833-74058104	3	25	2	0.46735033282460864	1.3862943611198906	3.258096538021482	1.0986122886681098	0.3834582796652407
WILDTYPE__Enhancer.noflip.NA__chr10:74057141..74057255,+__1999.1.0.0	chr10:74056833-74058104	3	28	2	0.46735033282460864	1.3862943611198906	3.367295829986474	1.0986122886681098	0.3834582796652407
WILDTYPE_BUT_HAS_SNP__Enhancer.noflip.NA__chr10:74091836..74091950,-__2231.1.0.0	chr10:74091661-74092150	12	64	4	0.282211512583024	2.5649493574615367	4.174387269895637	1.6094379124341003	0.24858633130393198
WILDTYPE_BUT_HAS_SNP__Enhancer.noflip.NA__chr10:74091890..74092004,+__1938.1.0.0	chr10:74091661-74092150	6	39	4	0.282211512583024	1.9459101490553132	3.6888794541139363	1.6094379124341003	0.24858633130393198
WILDTYPE__Antisense.noflip.NA__chr10:75012461..75012575,+__138.1.0.0	chr10:75012527..75012552,+	7	29	6	0.4227893430338172	2.0794415416798357	3.4011973816621555	1.9459101490553132	0.35261927092763257
WILDTYPE__mrna.noflip.NA__chr10:76585246..76585360,+__977.1.0.0	chr10:76585303..76585354,+	22	63	3	0.3808490309439842	3.1354942159291497	4.1588830833596715	1.3862943611198906	0.3226985498011711
WILDTYPE__Lincrna.noflip.NA__chr10:8095404..8095518,-__140.1.0.0	chr10:8095431..8095449,-	5	51	3	0.2803471416645912	1.791759469228055	3.9512437185814275	1.3862943611198906	0.2471312455877152
WILDTYPE__Enhancer.noflip.NA__chr10:81008302..81008416,-__2042.1.0.0	chr10:81008258-81008603	6	35	3	0.452991017806695	1.9459101490553132	3.58351893845611	1.3862943611198906	0.37362420274295083
WILDTYPE__Enhancer.noflip.NA__chr10:81008343..81008457,+__1749.1.0.0	chr10:81008258-81008603	5	40	3	0.452991017806695	1.791759469228055	3.713572066704308	1.3862943611198906	0.37362420274295083
WILDTYPE_BUT_HAS_SNP__Enhancer.noflip.NA__chr10:81046390..81046504,-__2232.1.0.0	chr10:81045880-81046806	1	11	1	0.3817287181867685	0.6931471805599453	2.4849066497880004	0.6931471805599453	0.32333540954044454
WILDTYPE_BUT_HAS_SNP__Enhancer.noflip.NA__chr10:81046410..81046524,+__1939.1.0.0	chr10:81045880-81046806	1	11	1	0.3817287181867685	0.6931471805599453	2.4849066497880004	0.6931471805599453	0.32333540954044454
WILDTYPE__Enhancer.noflip.NA__chr10:81081021..81081135,-__2043.1.0.0	chr10:81080868-81081434	7	36	4	0.36714247321473376	2.0794415416798357	3.6109179126442243	1.6094379124341003	0.3127227755843415
WILDTYPE__Enhancer.flip.sense__chr10:81091665..81091779,-__2140.1.0.0	chr10:81091409-81091966	3	32	2	0.3957889258445914	1.3862943611198906	3.4965075614664802	1.0986122886681098	0.3334597936566962
WILDTYPE__Enhancer.flip.sense__chr10:81091685..81091799,+__1847.1.0.0	chr10:81091409-81091966	5	48	2	0.3957889258445914	1.791759469228055	3.8918202981106265	1.0986122886681098	0.3334597936566962
WILDTYPE__Enhancer.flip.sense__chr10:81961443..81961557,+__1848.1.0.0	chr10:81960969-81961796	2	17	1	0.43577831622764607	1.0986122886681098	2.8903717578961645	0.6931471805599453	0.3617070828228085
WILDTYPE__Enhancer.flip.sense__chr10:81961484..81961598,-__2141.1.0.0	chr10:81960969-81961796	1	11	1	0.43577831622764607	0.6931471805599453	2.4849066497880004	0.6931471805599453	0.3617070828228085
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr10:89102065..89102179,-__141.1.0.0	chr10:89102091..89102112,-	15	64	5	0.4521765677102619	2.772588722239781	4.174387269895637	1.791759469228055	0.37306351211578687
WILDTYPE__Antisense.noflip.NA__chr10:89102178..89102292,-__142.1.0.0	chr10:89102208..89102219,-	5	23	3	0.5349318604431077	1.791759469228055	3.1780538303479458	1.3862943611198906	0.4284859894630597
WILDTYPE__Antisense.noflip.NA__chr10:89102312..89102426,-__143.1.0.0	chr10:89102332..89102354,-	7	12	5	0.2314535993176471	2.0794415416798357	2.5649493574615367	1.791759469228055	0.2081952596856245
WILDTYPE_BUT_HAS_SNP__mrna.noflip.NA__chr10:90967036..90967150,-__1449.1.0.0	chr10:90967063..90967082,-	9	44	4	0.45178219872423375	2.302585092994046	3.8066624897703196	1.6094379124341003	0.3727919042727204
WILDTYPE_BUT_HAS_SNP__mrna.noflip.NA__chr10:91102409..91102523,-__978.1.0.0	chr10:91102410..91102481,-	5	47	2	0.24699631367784414	1.791759469228055	3.871201010907891	1.0986122886681098	0.2207377105410393
WILDTYPE__Enhancer.noflip.NA__chr10:93373483..93373597,-__2044.1.0.0	chr10:93373465-93373915	22	70	7	0.31115109823135256	3.1354942159291497	4.2626798770413155	2.0794415416798357	0.27090545232135693
WILDTYPE__Enhancer.noflip.NA__chr10:93373526..93373640,+__1751.1.0.0	chr10:93373465-93373915	18	28	7	0.31115109823135256	2.9444389791664403	3.367295829986474	2.0794415416798357	0.27090545232135693
WILDTYPE__Enhancer.flip.sense__chr10:94351415..94351529,+__1849.1.0.0	chr10:94351391-94351691	6	67	2	0.21660882524907724	1.9459101490553132	4.219507705176107	1.0986122886681098	0.19606733690501704
WILDTYPE__Enhancer.flip.sense__chr10:94351440..94351554,-__2142.1.0.0	chr10:94351391-94351691	5	66	2	0.21660882524907724	1.791759469228055	4.204692619390966	1.0986122886681098	0.19606733690501704
WILDTYPE__Enhancer.noflip.NA__chr10:95197193..95197307,-__2045.1.0.0	chr10:95196959-95197603	6	38	2	0.2659628152334169	1.9459101490553132	3.6635616461296463	1.0986122886681098	0.23583295143708188
WILDTYPE__Antisense.noflip.NA__chr10:96990853..96990967,-__145.1.0.0	chr10:96990865..96990895,-	7	46	2	0.24478952150881392	2.0794415416798357	3.8501476017100584	1.0986122886681098	0.21896645659551725
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr10:97667530..97667644,-__146.1.0.0	chr10:97667550..97667574,-	11	66	5	0.3413345211555367	2.4849066497880004	4.204692619390966	1.791759469228055	0.2936650296822689
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr10:97667625..97667739,-__147.1.0.0	chr10:97667581..97667677,-	11	81	2	0.38803178899106117	2.4849066497880004	4.406719247264253	1.0986122886681098	0.3278867645536613
WILDTYPE__Antisense.noflip.NA__chr10:97849937..97850051,-__148.1.0.0	chr10:97849949..97849982,-	17	49	9	0.4411194992941053	2.8903717578961645	3.912023005428146	2.302585092994046	0.36542024161104114
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr10:97889399..97889513,+__149.1.0.0	chr10:97889464..97889494,+	7	33	5	0.5073276508416414	2.0794415416798357	3.5263605246161616	1.791759469228055	0.4103383152833763
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr10:97889733..97889847,+__150.1.0.0	chr10:97889784..97889827,+	3	35	2	0.44724732936314227	1.3862943611198906	3.58351893845611	1.0986122886681098	0.3696633586570102
WILDTYPE__Enhancer.noflip.NA__chr10:98476306..98476420,-__2046.1.0.0	chr10:98476098-98476599	5	52	3	0.3150026844538453	1.791759469228055	3.970291913552122	1.3862943611198906	0.27383870703741253
WILDTYPE__Enhancer.noflip.NA__chr10:98476368..98476482,+__1753.1.0.0	chr10:98476098-98476599	4	31	3	0.3150026844538453	1.6094379124341003	3.4657359027997265	1.3862943611198906	0.27383870703741253
WILDTYPE__Antisense.noflip.NA__chr1:100435456..100435570,-__1.1.0.0	chr1:100435438..100435524,-	5	25	4	0.36239371436872136	1.791759469228055	3.258096538021482	1.6094379124341003	0.309243236709722
WILDTYPE__Lincrna.flip.sense__chr1:100731637..100731751,-__2.1.0.0	chr1:100731664..100731715,-	4	38	1	0.461942920560734	1.6094379124341003	3.6635616461296463	0.6931471805599453	0.3797663185413053
WILDTYPE__mrna.flip.sense__chr1:100731714..100731828,+__1131.1.0.0	chr1:100731749..100731816,+	9	67	3	0.46262011562858285	2.302585092994046	4.219507705176107	1.3862943611198906	0.3802294270956927
WILDTYPE_BUT_HAS_SNP__Lincrna.flip.sense__chr1:109642741..109642855,+__3.1.0.0	chr1:109642799..109642834,+	20	71	6	0.40560957524224883	3.044522437723423	4.276666119016055	1.9459101490553132	0.3404710700774569
WILDTYPE_BUT_HAS_SNP__mrna.noflip.NA__chr1:110009111..110009225,+__1412.1.0.0	chr1:110009150..110009197,+	16	41	5	0.31994551854788117	2.833213344056216	3.7376696182833684	1.791759469228055	0.27759046191912895
WILDTYPE_BUT_HAS_SNP__mrna.noflip.NA__chr1:110009143..110009257,+__1413.1.0.0	chr1:110009215..110009235,+	13	24	5	0.3422175566912831	2.6390573296152584	3.2188758248682006	1.791759469228055	0.29432313918937086
WILDTYPE_BUT_HAS_SNP__mrna.noflip.NA__chr11:101454532..101454646,-__1450.1.0.0	chr11:101454548..101454609,-	10	65	4	0.46768007775672005	2.3978952727983707	4.189654742026425	1.6094379124341003	0.38368297575854854
WILDTYPE__mrna.flip.sense__chr11:10562699..10562813,-__1148.1.0.0	chr11:10562710..10562782,-	16	94	8	0.3863541413802481	2.833213344056216	4.553876891600541	2.1972245773362196	0.32667738139111985
WILDTYPE__Antisense.flip.sense__chr11:10562731..10562845,+__151.1.0.0	chr11:10562802..10562851,+	15	92	8	0.3701793336757735	2.772588722239781	4.532599493153256	2.1972245773362196	0.3149416317665769
WILDTYPE__Antisense.noflip.NA__chr1:110881743..110881857,-__4.1.0.0	chr1:110881750..110881784,-	19	54	8	0.4068329461896082	2.995732273553991	4.007333185232471	2.1972245773362196	0.3413410405854375
WILDTYPE__Lincrna.noflip.NA__chr11:10920834..10920948,-__152.1.0.0	chr11:10920838..10920887,-	8	60	4	0.5160152078063881	2.1972245773362196	4.110873864173311	1.6094379124341003	0.4160853187044211
WILDTYPE_BUT_HAS_SNP__Enhancer.flip.sense__chr11:109957771..109957885,-__2143.1.0.0	chr11:109957593-109958086	2	21	1	0.2991470605236845	1.0986122886681098	3.091042453358316	0.6931471805599453	0.26170794184543733
WILDTYPE_BUT_HAS_SNP__Enhancer.flip.sense__chr11:109957839..109957953,+__1850.1.0.0	chr11:109957593-109958086	4	30	2	0.2991470605236845	1.6094379124341003	3.4339872044851463	1.0986122886681098	0.26170794184543733
WILDTYPE__Enhancer.noflip.NA__chr11:109958831..109958945,+__2003.1.0.0	chr11:109958650-109959379	2	11	2	0.49654475881483695	1.0986122886681098	2.4849066497880004	1.0986122886681098	0.4031589568609036
WILDTYPE__Enhancer.noflip.NA__chr11:109958871..109958985,-__2296.1.0.0	chr11:109958650-109959379	2	11	2	0.49654475881483695	1.0986122886681098	2.4849066497880004	1.0986122886681098	0.4031589568609036
WILDTYPE__mrna.noflip.NA__chr11:110001649..110001763,+__979.1.0.0	chr11:110001723..110001732,+	1	14	1	0.5410886684603927	0.6931471805599453	2.70805020110221	0.6931471805599453	0.4324890942416246
WILDTYPE_BUT_HAS_SNP__mrna.noflip.NA__chr11:111169954..111170068,+__1451.1.0.0	chr11:111170019..111170049,+	1	14	1	0.5410886684603927	0.6931471805599453	2.70805020110221	0.6931471805599453	0.4324890942416246
WILDTYPE__Lincrna.noflip.NA__chr11:111649056..111649170,-__153.1.0.0	chr11:111649083..111649123,-	1	13	1	0.6666666666666666	0.6931471805599453	2.6390573296152584	0.6931471805599453	0.5108256237659906
WILDTYPE__Lincrna.noflip.NA__chr11:112160953..112161067,+__154.1.0.0	chr11:112160943..112161077,+	5	56	1	0.3512392648771102	1.791759469228055	4.04305126783455	0.6931471805599453	0.30102214535294003
WILDTYPE__Lincrna.noflip.NA__chr11:115630880..115630994,-__155.1.0.0	chr11:115630900..115630923,-	2	22	1	0.3659862795005095	1.0986122886681098	3.1354942159291497	0.6931471805599453	0.3118767168086296
WILDTYPE_BUT_HAS_SNP__mrna.noflip.NA__chr1:11159873..11159987,-__1414.1.0.0	chr1:11159887..11159935,-	10	68	3	0.28039265298679256	2.3978952727983707	4.23410650459726	1.3862943611198906	0.24716679103618397
