unique_id	MPRA_mean_activ	MPRA_tissue_sp	avg_tf_tissue_sp	log_avg_tf_tissue_sp	num_motifs	log_num_motifs	num_bp_covered	log_num_bp_covered	max_coverage	log_max_coverage
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr10:97667625..97667739,-__147.1.0.0	0.13058115938548578	0.2712101279304155	0.467935143468195	0.3838567490175728	18	2.9444389791664403	54	4.007333185232471	13	2.6390573296152584
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr11:27528316..27528430,+__175.1.0.0	3.0463164987113687	0.07208019271595019	0.42586748340284214	0.35478038878393486	37	3.6375861597263857	80	4.394449154672439	23	3.1780538303479458
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr11:64013348..64013462,+__188.1.0.0	-0.9785752443817385	0.23731822953577678	0.4413468105253903	0.36557796156841377	52	3.970291913552122	56	4.04305126783455	31	3.4657359027997265
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr11:70244500..70244614,-__195.1.0.0	0.9339473112597142	0.2598134311658454	0.4050284098781995	0.34005752313515514	51	3.9512437185814275	86	4.465908118654584	21	3.091042453358316
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr11:77850722..77850836,+__199.1.0.0	-1.0876684903562188	0.2473187864440154	0.47590425842968237	0.3892708585118734	32	3.4965075614664802	71	4.276666119016055	15	2.772588722239781
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr13:79980346..79980460,+__274.1.0.0	3.10504267446073	0.040335662387031866	0.2514317745176625	0.2242883154357886	8	2.1972245773362196	70	4.2626798770413155	2	1.0986122886681098
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr14:20811533..20811647,-__282.1.0.0	-1.621420628623863	0.37431363421557773	0.33319439591766303	0.287577863960512	9	2.302585092994046	31	3.4657359027997265	6	1.9459101490553132
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr14:35451688..35451802,-__286.1.0.0	0.4454498563223341	0.035635292169204615	0.5131827718840707	0.4142152284912474	9	2.302585092994046	31	3.4657359027997265	6	1.9459101490553132
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr14:35451727..35451841,-__287.1.0.0	0.7886053168322694	0.14278045800548023	0.44956820368717076	0.3712657215234977	17	2.8903717578961645	47	3.871201010907891	8	2.1972245773362196
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr14:56046793..56046907,-__291.1.0.0	0.7217911874899824	0.32316874105378507	0.45307920073606195	0.37368489152385603	25	3.258096538021482	83	4.430816798843313	6	1.9459101490553132
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr15:41576126..41576240,+__317.1.0.0	0.9748717087021218	0.10314618026266935	0.49621592057280545	0.4029392010711275	34	3.5553480614894135	78	4.3694478524670215	17	2.8903717578961645
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr15:50647384..50647498,+__323.1.0.0	-1.2541284132660915	0.20422354144854515	0.2944825420909365	0.2581110339006216	13	2.6390573296152584	62	4.143134726391533	7	2.0794415416798357
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr15:83419244..83419358,+__335.1.0.0	2.527774615324708	0.11818239454309272	0.3775656660964671	0.3203179313961843	26	3.295836866004329	88	4.48863636973214	9	2.302585092994046
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr16:699214..699328,-__348.1.0.0	1.626762405369167	0.05501133488747193	0.42674182905239877	0.3553934034530798	89	4.499809670330265	90	4.51085950651685	49	3.912023005428146
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr17:20771760..20771874,+__357.1.0.0	-2.2197718255993206	0.12787021005922494	0.4994187321896432	0.40507752113246454	6	1.9459101490553132	56	4.04305126783455	2	1.0986122886681098
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr17:46667702..46667816,+__365.1.0.0	-2.1790695230320094	0.4658928904079959	0.5840969330833479	0.46001448664826483	14	2.70805020110221	45	3.828641396489095	7	2.0794415416798357
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr17:5015167..5015281,+__367.1.0.0	2.8141091379867036	0.08120782239982238	0.46806330046063954	0.3839440494674699	26	3.295836866004329	86	4.465908118654584	10	2.3978952727983707
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr18:3594030..3594144,+__374.1.0.0	-1.7006167540198962	0.36770354940497213	0.351802993656345	0.3014392522521224	24	3.2188758248682006	74	4.31748811353631	12	2.5649493574615367
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr19:36036367..36036481,-__379.1.0.0	2.0663857325519692	0.07097667946859461	0.44096839880876537	0.3653153867344236	39	3.6888794541139363	68	4.23410650459726	20	3.044522437723423
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr19:37064191..37064305,+__381.1.0.0	2.206272015897095	0.06025846840416371	0.4574678661309338	0.3767005917479629	19	2.995732273553991	61	4.127134385045092	10	2.3978952727983707
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr19:54960184..54960298,-__386.1.0.0	1.3735537392464459	0.06923995689732625	0.48741565400893844	0.397040153642693	43	3.784189633918261	84	4.442651256490317	18	2.9444389791664403
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr1:113499003..113499117,+__5.1.0.0	-0.6540916551612894	0.11059616404855784	0.44219529324917606	0.3661664619042771	53	3.9889840465642745	71	4.276666119016055	43	3.784189633918261
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr1:119682960..119683074,+__10.1.0.0	0.20856203258355058	0.06754163519548535	0.4003369188232549	0.33671286397045497	19	2.995732273553991	48	3.8918202981106265	11	2.4849066497880004
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr1:151584446..151584560,+__20.1.0.0	0.023378864814986373	0.06840701292558105	0.36602582014694374	0.31190566298089734	20	3.044522437723423	61	4.127134385045092	13	2.6390573296152584
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr1:201476261..201476375,+__40.1.0.0	0.8867681353990208	0.1976365345148262	0.47495408721602683	0.38862686199615004	17	2.8903717578961645	87	4.477336814478207	6	1.9459101490553132
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr1:222763224..222763338,+__52.1.0.0	2.168796537286457	0.06659557473263793	0.47282727722735063	0.3871838714247522	32	3.4965075614664802	46	3.8501476017100584	22	3.1354942159291497
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr1:93811312..93811426,-__98.1.0.0	1.9385359825364235	0.03311672003910807	0.4242855584939899	0.3536703255360736	45	3.828641396489095	69	4.248495242049359	20	3.044522437723423
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr20:47895099..47895213,+__478.1.0.0	3.0270109640003278	0.1367426032955035	0.4794947674975483	0.39170065618242295	24	3.2188758248682006	35	3.58351893845611	18	2.9444389791664403
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr22:28315407..28315521,+__522.1.0.0	-0.4113653009510572	0.1405351780849643	0.5076089017219898	0.410524886958276	13	2.6390573296152584	50	3.9318256327243257	7	2.0794415416798357
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr2:160471774..160471888,+__402.1.0.0	-0.4475266834884361	0.2842346316447873	0.3612770885434106	0.3084232948234439	28	3.367295829986474	61	4.127134385045092	23	3.1780538303479458
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr2:177053244..177053358,-__410.1.0.0	1.7442062521328927	0.15576510017340486	0.38274529222621567	0.32407086524119594	53	3.9889840465642745	67	4.219507705176107	45	3.828641396489095
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr2:209119873..209119987,+__421.1.0.0	1.038582786490487	0.1545814028250326	0.46739663146557414	0.38348983171489454	44	3.8066624897703196	96	4.574710978503383	13	2.6390573296152584
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr2:217363440..217363554,-__422.1.0.0	2.745268048717254	0.030349311647241233	0.4278525808924259	0.35617162391915785	19	2.995732273553991	36	3.6109179126442243	16	2.833213344056216
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr4:110354885..110354999,-__601.1.0.0	1.3520317429724027	0.13072793982420491	0.4238703984347236	0.3533787965127441	47	3.871201010907891	82	4.418840607796598	17	2.8903717578961645
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr4:183064944..183065058,-__621.1.0.0	-1.7331715758086614	0.413747052841173	0.5125593029603182	0.41380311872302905	9	2.302585092994046	50	3.9318256327243257	5	1.791759469228055
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr4:2936563..2936677,+__626.1.0.0	3.185813630749243	0.07634790530917739	0.4631815772106898	0.3806132272625823	49	3.912023005428146	83	4.430816798843313	29	3.4011973816621555
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr4:4543833..4543947,+__632.1.0.0	-0.7121920054526809	0.14802114816649023	0.3563504020981713	0.30479756476341524	13	2.6390573296152584	53	3.9889840465642745	6	1.9459101490553132
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr4:66536255..66536369,+__636.1.0.0	-1.7152845574849278	0.1795084539252609	0.3849454658496539	0.32566076402629746	33	3.5263605246161616	66	4.204692619390966	14	2.70805020110221
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr4:68566922..68567036,+__639.1.0.0	1.9600889512336153	0.11401064916194725	0.4781174441572035	0.3907692809098422	36	3.6109179126442243	73	4.30406509320417	18	2.9444389791664403
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr4:68566999..68567113,+__640.1.0.0	-0.7791783256505186	0.13714561102341846	0.5101633474885054	0.41221782212081315	23	3.1780538303479458	75	4.330733340286331	7	2.0794415416798357
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr5:131705526..131705640,-__658.1.0.0	-0.36563159547129764	0.2788077289180509	0.4133465443404103	0.34596032794273757	15	2.772588722239781	69	4.248495242049359	8	2.1972245773362196
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr5:52405635..52405749,+__699.1.0.0	1.6872552325917447	0.09418278003865403	0.4826716950480593	0.3938456597187053	21	3.091042453358316	76	4.343805421853684	8	2.1972245773362196
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr5:80597302..80597416,-__707.1.0.0	1.7426053618984207	0.13665118200664897	0.46679100436194393	0.38307702436417446	23	3.1780538303479458	46	3.8501476017100584	19	2.995732273553991
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr6:135818912..135819026,+__733.1.0.0	-0.9279860392091127	0.1572606156652495	0.3820303212189131	0.32355366520531365	27	3.332204510175204	73	4.30406509320417	11	2.4849066497880004
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr6:153304788..153304902,+__737.1.0.0	0.4610423951851654	0.06088814669306982	0.35370912961416817	0.30284832837993836	9	2.302585092994046	73	4.30406509320417	3	1.3862943611198906
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr6:30028899..30029013,-__745.1.0.0	2.183200218367054	0.10115863740860864	0.4714538712037643	0.38625094005443705	35	3.58351893845611	25	3.258096538021482	23	3.1780538303479458
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr6:30294128..30294242,-__747.1.0.0	0.8700705847792031	0.06874913721331082	0.41553384845507274	0.3475067380038511	34	3.5553480614894135	60	4.110873864173311	20	3.044522437723423
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr6:96969541..96969655,-__761.1.0.0	1.8903880209772972	0.15138576509133228	0.4379801266265099	0.36323943905489264	39	3.6888794541139363	77	4.356708826689592	16	2.833213344056216
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr7:1609638..1609752,+__789.1.0.0	1.372165063268698	0.10074584171990364	0.46900221814531234	0.3845834071601798	47	3.871201010907891	66	4.204692619390966	20	3.044522437723423
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr7:54826976..54827090,+__809.1.0.0	1.1553715914475835	0.11976616516377984	0.3816970691541508	0.3233125038899551	19	2.995732273553991	52	3.970291913552122	14	2.70805020110221
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr7:86781612..86781726,-__817.1.0.0	1.9273051690311613	0.15806213534001715	0.42733654166216056	0.3558101492751087	31	3.4657359027997265	58	4.07753744390572	21	3.091042453358316
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr8:6264034..6264148,-__864.1.0.0	0.46990431538651894	0.133629872607132	0.3990284911339574	0.335778060832626	25	3.258096538021482	90	4.51085950651685	10	2.3978952727983707
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr8:6565702..6565816,-__866.1.0.0	-0.6088950976052622	0.1685179700944068	0.34252230924761223	0.29455016495190706	8	2.1972245773362196	63	4.1588830833596715	5	1.791759469228055
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr9:136890532..136890646,+__902.1.0.0	0.16117263941182344	0.35178704768786284	0.48667182236671364	0.3965399453175225	33	3.5263605246161616	82	4.418840607796598	14	2.70805020110221
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr9:139622601..139622715,-__904.1.0.0	3.412494129866362	0.1119595273515858	0.47708946492864257	0.39007357377213686	20	3.044522437723423	65	4.189654742026425	10	2.3978952727983707
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr10:17428870..17428984,+__116.1.0.0	3.306983853218078	0.04511236980547895	0.4661093522457293	0.3826121929375272	25	3.258096538021482	64	4.174387269895637	19	2.995732273553991
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr10:20017419..20017533,-__117.1.0.0	-2.157308950805566	0.29948078138606277	0.5947906398539027	0.46674246734173863	20	3.044522437723423	43	3.784189633918261	9	2.302585092994046
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr10:29698426..29698540,+__120.1.0.0	1.5717639950882736	0.058962620127673025	0.35802977555971216	0.30603495493421196	10	2.3978952727983707	77	4.356708826689592	3	1.3862943611198906
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr10:29698438..29698552,+__121.1.0.0	-0.6136498820545357	0.1290805542657882	0.4125387486330055	0.3453886163227252	10	2.3978952727983707	79	4.382026634673881	3	1.3862943611198906
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr10:5987842..5987956,-__131.1.0.0	-0.08205223866826046	0.14691806370180752	0.38457956751231154	0.3253965321922729	28	3.367295829986474	59	4.0943445622221	18	2.9444389791664403
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr10:97667530..97667644,-__146.1.0.0	-1.5716680507157157	0.381348998095618	0.39308420030504687	0.3315201382724661	28	3.367295829986474	68	4.23410650459726	14	2.70805020110221
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr10:97889399..97889513,+__149.1.0.0	-0.6358781231316099	0.109907954250631	0.47409456730121463	0.38804394862994745	24	3.2188758248682006	45	3.828641396489095	18	2.9444389791664403
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr10:97889733..97889847,+__150.1.0.0	1.0438368001289688	0.1691668832693618	0.4787835257556144	0.3912198077394214	6	1.9459101490553132	49	3.912023005428146	2	1.0986122886681098
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr11:2399192..2399306,-__174.1.0.0	0.9627814059312606	0.07495587024996649	0.44786895317902164	0.3700927879197867	26	3.295836866004329	65	4.189654742026425	13	2.6390573296152584
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr11:47417123..47417237,-__178.1.0.0	-2.1511180166407065	0.29112925064593764	0.5545789495397833	0.4412047369657013	12	2.5649493574615367	73	4.30406509320417	5	1.791759469228055
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr11:62599683..62599797,+__181.1.0.0	-1.206406020434785	0.3738757933888528	0.46648412031349024	0.38286778108727093	24	3.2188758248682006	68	4.23410650459726	9	2.302585092994046
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr11:71159594..71159708,+__196.1.0.0	0.5216770364672093	0.10892727089721572	0.4755755902805876	0.38904814437028984	48	3.8918202981106265	93	4.543294782270004	17	2.8903717578961645
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr11:77850775..77850889,+__200.1.0.0	-1.1055057126627086	0.10641939499276258	0.47534119312669076	0.3888892804160721	32	3.4965075614664802	64	4.174387269895637	15	2.772588722239781
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr11:9797133..9797247,+__205.1.0.0	-2.215171631620976	0.3762550701106342	0.48434361569945134	0.3949726649096123	21	3.091042453358316	60	4.110873864173311	10	2.3978952727983707
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr12:110211254..110211368,-__208.1.0.0	-0.43180280949337485	0.08364499135760602	0.45456049959370226	0.3747037928585877	39	3.6888794541139363	73	4.30406509320417	14	2.70805020110221
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr12:13080588..13080702,+__219.1.0.0	1.7532830809383741	0.06797522540600054	0.428674973132762	0.356747422505031	16	2.833213344056216	76	4.343805421853684	6	1.9459101490553132
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr12:27863622..27863736,-__225.1.0.0	0.4506841120562832	0.12363021301671358	0.47210165931208864	0.386691079954681	22	3.1354942159291497	54	4.007333185232471	9	2.302585092994046
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr12:53694109..53694223,-__237.1.0.0	-1.1835163365409442	0.3670582443397083	0.483215692020762	0.39421249561488586	10	2.3978952727983707	50	3.9318256327243257	6	1.9459101490553132
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr12:54393747..54393861,-__238.1.0.0	-0.33998594976340785	0.11581118491662286	0.35668859980823114	0.3050468775905246	48	3.8918202981106265	106	4.672828834461906	21	3.091042453358316
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr12:68383179..68383293,+__247.1.0.0	-1.7739990477113607	0.40902041873987427	0.4047901458008194	0.33988792921068645	6	1.9459101490553132	30	3.4339872044851463	4	1.6094379124341003
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr12:69080561..69080675,-__249.1.0.0	-1.40613463294432	0.10465760715189387	0.560040808061687	0.44471197993320655	21	3.091042453358316	44	3.8066624897703196	13	2.6390573296152584
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr13:45915489..45915603,+__266.1.0.0	0.7982965323383532	0.11279957108250589	0.3817012207884259	0.32331550862097064	38	3.6635616461296463	58	4.07753744390572	26	3.295836866004329
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr14:24423345..24423459,-__284.1.0.0	2.362380321450738	0.06876978178382238	0.37733648984664886	0.3201515543436619	6	1.9459101490553132	46	3.8501476017100584	4	1.6094379124341003
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr14:73712660..73712774,-__298.1.0.0	0.33410495387435785	0.1850940823507795	0.42127568428919937	0.35155483753880845	30	3.4339872044851463	71	4.276666119016055	13	2.6390573296152584
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr14:73929044..73929158,+__299.1.0.0	-1.8146883175059436	0.3639210522273908	0.4364834768067644	0.3621980969740924	13	2.6390573296152584	51	3.9512437185814275	8	2.1972245773362196
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr14:96001053..96001167,-__309.1.0.0	-1.6137542180801887	0.3558061514189525	0.4106099063293729	0.3440221685443791	40	3.713572066704308	94	4.553876891600541	27	3.332204510175204
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr15:41576083..41576197,+__316.1.0.0	0.2294678735826444	0.23244629358081023	0.49323636766349566	0.40094582328239176	38	3.6635616461296463	76	4.343805421853684	17	2.8903717578961645
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr15:45571390..45571504,-__320.1.0.0	2.054229010067989	0.07639650362393047	0.39413505386760783	0.3322741899035176	29	3.4011973816621555	66	4.204692619390966	23	3.1780538303479458
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr15:48624018..48624132,-__322.1.0.0	-0.25239755660526425	0.4086538430203297	0.4093648322557874	0.34313912931891793	62	4.143134726391533	78	4.3694478524670215	42	3.7612001156935624
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr15:69707322..69707436,-__330.1.0.0	-0.8044319550017578	0.18292638248636353	0.4483628297279491	0.370433835591889	15	2.772588722239781	53	3.9889840465642745	11	2.4849066497880004
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr15:76030923..76031037,-__332.1.0.0	1.0975741209760654	0.1904878523471086	0.4615578501441109	0.37950288750498845	52	3.970291913552122	92	4.532599493153256	19	2.995732273553991
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr15:91260318..91260432,-__338.1.0.0	-0.746584558928074	0.31288617014054265	0.4565173457579278	0.37604820655201865	17	2.8903717578961645	68	4.23410650459726	11	2.4849066497880004
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr16:21312125..21312239,+__342.1.0.0	-0.055965074192922994	0.15910750074642702	0.43327957683135976	0.35996522879183374	16	2.833213344056216	55	4.02535169073515	8	2.1972245773362196
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr17:16342543..16342657,+__354.1.0.0	-1.6027083128228963	0.45575792198233805	0.5337223719929636	0.4276977035102205	3	1.3862943611198906	26	3.295836866004329	2	1.0986122886681098
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr17:21117577..21117691,+__359.1.0.0	1.8954657151271477	0.10050538923563446	0.49271519336232406	0.4005967390485637	48	3.8918202981106265	70	4.2626798770413155	29	3.4011973816621555
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr17:72209446..72209560,-__370.1.0.0	0.18293891330609427	0.313270423110642	0.36240946884536246	0.3092548004635654	19	2.995732273553991	67	4.219507705176107	9	2.302585092994046
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr19:12098391..12098505,+__376.1.0.0	0.2530651102549697	0.12883325323265238	0.4557815359322984	0.37554289451422457	30	3.4339872044851463	73	4.30406509320417	12	2.5649493574615367
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr19:12098432..12098546,+__377.1.0.0	-1.2586707809001036	0.06652241824615653	0.47393406664086407	0.3879350618581832	12	2.5649493574615367	45	3.828641396489095	9	2.302585092994046
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr19:12305750..12305864,+__378.1.0.0	0.9783706199249241	0.2070099880321776	0.41514433975441145	0.34723153278642854	48	3.8918202981106265	91	4.5217885770490405	20	3.044522437723423
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr1:113499041..113499155,+__6.1.0.0	-1.9191599927852863	0.25074020385245416	0.5084950142825814	0.41111247452870703	10	2.3978952727983707	59	4.0943445622221	6	1.9459101490553132
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr1:116961180..116961294,-__8.1.0.0	2.2263256650611485	0.06401825903063307	0.3880166445283187	0.32787585374781236	24	3.2188758248682006	60	4.110873864173311	9	2.302585092994046
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr1:117602051..117602165,-__9.1.0.0	-1.2719639025280214	0.1861303010331863	0.43674615337239503	0.36238094109041596	29	3.4011973816621555	78	4.3694478524670215	10	2.3978952727983707
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr1:119683314..119683428,+__11.1.0.0	0.44659046058152246	0.05405436964532784	0.40107896757239914	0.33724263091445117	17	2.8903717578961645	70	4.2626798770413155	9	2.302585092994046
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr1:151763230..151763344,+__21.1.0.0	-2.1153782634711877	0.3566497985122325	0.4550843441100598	0.37506386740387176	46	3.8501476017100584	53	3.9889840465642745	25	3.258096538021482
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr1:152161701..152161815,+__22.1.0.0	1.2573471999318844	0.06829850533904029	0.4712008115722676	0.38607894594748204	43	3.784189633918261	45	3.828641396489095	20	3.044522437723423
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr1:155531741..155531855,+__23.1.0.0	-1.3700541709039118	0.2512074214481082	0.40876738954976144	0.3427151302529027	40	3.713572066704308	73	4.30406509320417	22	3.1354942159291497
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr1:17216082..17216196,-__30.1.0.0	-0.21461672920943362	0.18175027933320523	0.4639873645942463	0.3811637847602397	36	3.6109179126442243	62	4.143134726391533	18	2.9444389791664403
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr1:17216132..17216246,-__31.1.0.0	0.03290289069392264	0.1296710912903125	0.4805067611679181	0.39238443536294	30	3.4339872044851463	52	3.970291913552122	18	2.9444389791664403
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr1:173834005..173834119,-__33.1.0.0	-1.4932121877849986	0.4257378252985653	0.34642090048755486	0.29744988701190944	12	2.5649493574615367	38	3.6635616461296463	8	2.1972245773362196
