index	n_total_motifs	n_unique_motifs	max_cov	n_bp_cov	log_n_total_motifs	log_n_unique_motifs	log_max_cov	log_n_bp_cov
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr19:54960184..54960298,-__386.1.0.0	40	38	33	84	3.6888794541139363	3.6375861597263857	3.4965075614664802	4.430816798843313
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr1:113499003..113499117,+__5.1.0.0	41	37	28	71	3.713572066704308	3.6109179126442243	3.332204510175204	4.2626798770413155
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr1:119682960..119683074,+__10.1.0.0	17	17	9	48	2.833213344056216	2.833213344056216	2.1972245773362196	3.871201010907891
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr1:151584446..151584560,+__20.1.0.0	20	15	8	61	2.995732273553991	2.70805020110221	2.0794415416798357	4.110873864173311
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr1:201476261..201476375,+__40.1.0.0	16	16	13	87	2.772588722239781	2.772588722239781	2.5649493574615367	4.465908118654584
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr1:222763224..222763338,+__52.1.0.0	32	24	23	46	3.4657359027997265	3.1780538303479458	3.1354942159291497	3.828641396489095
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr1:93811312..93811426,-__98.1.0.0	45	37	34	69	3.8066624897703196	3.6109179126442243	3.5263605246161616	4.23410650459726
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr20:47895099..47895213,+__478.1.0.0	22	21	21	35	3.091042453358316	3.044522437723423	3.044522437723423	3.5553480614894135
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr22:28315407..28315521,+__522.1.0.0	10	9	4	50	2.302585092994046	2.1972245773362196	1.3862943611198906	3.912023005428146
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr2:160471774..160471888,+__402.1.0.0	28	20	17	61	3.332204510175204	2.995732273553991	2.833213344056216	4.110873864173311
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr2:177053244..177053358,-__410.1.0.0	38	31	24	67	3.6375861597263857	3.4339872044851463	3.1780538303479458	4.204692619390966
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr2:209119873..209119987,+__421.1.0.0	42	20	19	96	3.7376696182833684	2.995732273553991	2.9444389791664403	4.564348191467836
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr2:217363440..217363554,-__422.1.0.0	19	18	16	36	2.9444389791664403	2.8903717578961645	2.772588722239781	3.58351893845611
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr4:110354885..110354999,-__601.1.0.0	47	21	19	82	3.8501476017100584	3.044522437723423	2.9444389791664403	4.406719247264253
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr4:183064944..183065058,-__621.1.0.0	9	9	6	50	2.1972245773362196	2.1972245773362196	1.791759469228055	3.912023005428146
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr4:2936563..2936677,+__626.1.0.0	49	39	36	83	3.8918202981106265	3.6635616461296463	3.58351893845611	4.418840607796598
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr4:4543833..4543947,+__632.1.0.0	13	12	9	53	2.5649493574615367	2.4849066497880004	2.1972245773362196	3.970291913552122
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr4:66536255..66536369,+__636.1.0.0	33	17	14	66	3.4965075614664802	2.833213344056216	2.6390573296152584	4.189654742026425
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr4:68566922..68567036,+__639.1.0.0	36	33	23	73	3.58351893845611	3.4965075614664802	3.1354942159291497	4.290459441148391
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr4:68566999..68567113,+__640.1.0.0	23	23	10	75	3.1354942159291497	3.1354942159291497	2.302585092994046	4.31748811353631
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr5:131705263..131705377,-__657.1.0.0	15	11	6	87	2.70805020110221	2.3978952727983707	1.791759469228055	4.465908118654584
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr5:131705526..131705640,-__658.1.0.0	14	9	5	69	2.6390573296152584	2.1972245773362196	1.6094379124341003	4.23410650459726
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr5:52405635..52405749,+__699.1.0.0	18	16	6	76	2.8903717578961645	2.772588722239781	1.791759469228055	4.330733340286331
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr5:80597302..80597416,-__707.1.0.0	23	23	19	46	3.1354942159291497	3.1354942159291497	2.9444389791664403	3.828641396489095
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr6:135818912..135819026,+__733.1.0.0	22	19	12	73	3.091042453358316	2.9444389791664403	2.4849066497880004	4.290459441148391
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr6:153304788..153304902,+__737.1.0.0	9	7	4	73	2.1972245773362196	1.9459101490553132	1.3862943611198906	4.290459441148391
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr6:30028899..30029013,-__745.1.0.0	29	26	26	25	3.367295829986474	3.258096538021482	3.258096538021482	3.2188758248682006
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr6:30294128..30294242,-__747.1.0.0	34	33	22	60	3.5263605246161616	3.4965075614664802	3.091042453358316	4.0943445622221
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr6:73972891..73973005,+__757.1.0.0	45	28	23	77	3.8066624897703196	3.332204510175204	3.1354942159291497	4.343805421853684
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr6:96969541..96969655,-__761.1.0.0	36	31	24	77	3.58351893845611	3.4339872044851463	3.1780538303479458	4.343805421853684
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr7:1609638..1609752,+__789.1.0.0	46	28	20	66	3.828641396489095	3.332204510175204	2.995732273553991	4.189654742026425
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr7:54826976..54827090,+__809.1.0.0	17	15	13	52	2.833213344056216	2.70805020110221	2.5649493574615367	3.9512437185814275
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr7:86781612..86781726,-__817.1.0.0	30	29	21	58	3.4011973816621555	3.367295829986474	3.044522437723423	4.060443010546419
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr8:6264034..6264148,-__864.1.0.0	23	19	10	90	3.1354942159291497	2.9444389791664403	2.302585092994046	4.499809670330265
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr8:6565702..6565816,-__866.1.0.0	8	8	5	63	2.0794415416798357	2.0794415416798357	1.6094379124341003	4.143134726391533
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr9:136890532..136890646,+__902.1.0.0	25	24	12	82	3.2188758248682006	3.1780538303479458	2.4849066497880004	4.406719247264253
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr9:139622601..139622715,-__904.1.0.0	17	17	10	65	2.833213344056216	2.833213344056216	2.302585092994046	4.174387269895637
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr10:17428870..17428984,+__116.1.0.0	20	19	15	64	2.995732273553991	2.9444389791664403	2.70805020110221	4.1588830833596715
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr10:20017419..20017533,-__117.1.0.0	19	18	9	43	2.9444389791664403	2.8903717578961645	2.1972245773362196	3.7612001156935624
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr10:29698426..29698540,+__120.1.0.0	10	8	3	77	2.302585092994046	2.0794415416798357	1.0986122886681098	4.343805421853684
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr10:29698438..29698552,+__121.1.0.0	10	8	3	79	2.302585092994046	2.0794415416798357	1.0986122886681098	4.3694478524670215
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr10:5987842..5987956,-__131.1.0.0	28	20	10	59	3.332204510175204	2.995732273553991	2.302585092994046	4.07753744390572
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr10:89102065..89102179,-__141.1.0.0	30	24	16	75	3.4011973816621555	3.1780538303479458	2.772588722239781	4.31748811353631
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr10:97667530..97667644,-__146.1.0.0	27	24	15	68	3.295836866004329	3.1780538303479458	2.70805020110221	4.219507705176107
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr10:97889399..97889513,+__149.1.0.0	24	23	17	45	3.1780538303479458	3.1354942159291497	2.833213344056216	3.8066624897703196
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr10:97889733..97889847,+__150.1.0.0	6	5	2	49	1.791759469228055	1.6094379124341003	0.6931471805599453	3.8918202981106265
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr11:2399192..2399306,-__174.1.0.0	26	21	15	65	3.258096538021482	3.044522437723423	2.70805020110221	4.174387269895637
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr11:47417123..47417237,-__178.1.0.0	12	10	6	73	2.4849066497880004	2.302585092994046	1.791759469228055	4.290459441148391
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr11:62599683..62599797,+__181.1.0.0	22	20	12	68	3.091042453358316	2.995732273553991	2.4849066497880004	4.219507705176107
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr11:71159594..71159708,+__196.1.0.0	46	36	15	93	3.828641396489095	3.58351893845611	2.70805020110221	4.532599493153256
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr11:77850775..77850889,+__200.1.0.0	32	31	16	64	3.4657359027997265	3.4339872044851463	2.772588722239781	4.1588830833596715
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr11:9797133..9797247,+__205.1.0.0	21	20	9	60	3.044522437723423	2.995732273553991	2.1972245773362196	4.0943445622221
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr12:110211254..110211368,-__208.1.0.0	36	31	15	73	3.58351893845611	3.4339872044851463	2.70805020110221	4.290459441148391
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr12:13080588..13080702,+__219.1.0.0	16	11	10	76	2.772588722239781	2.3978952727983707	2.302585092994046	4.330733340286331
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr12:27863622..27863736,-__225.1.0.0	19	15	9	54	2.9444389791664403	2.70805020110221	2.1972245773362196	3.9889840465642745
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr12:53694109..53694223,-__237.1.0.0	10	10	6	50	2.302585092994046	2.302585092994046	1.791759469228055	3.912023005428146
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr12:54393747..54393861,-__238.1.0.0	46	36	21	106	3.828641396489095	3.58351893845611	3.044522437723423	4.663439094112067
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr12:68383179..68383293,+__247.1.0.0	6	6	4	30	1.791759469228055	1.791759469228055	1.3862943611198906	3.4011973816621555
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr12:69080561..69080675,-__249.1.0.0	18	16	13	44	2.8903717578961645	2.772588722239781	2.5649493574615367	3.784189633918261
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr13:45915489..45915603,+__266.1.0.0	37	22	21	58	3.6109179126442243	3.091042453358316	3.044522437723423	4.060443010546419
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr14:24423345..24423459,-__284.1.0.0	6	6	4	46	1.791759469228055	1.791759469228055	1.3862943611198906	3.828641396489095
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr14:73712660..73712774,-__298.1.0.0	30	21	17	71	3.4011973816621555	3.044522437723423	2.833213344056216	4.2626798770413155
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr14:73929044..73929158,+__299.1.0.0	13	13	8	51	2.5649493574615367	2.5649493574615367	2.0794415416798357	3.9318256327243257
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr14:96001053..96001167,-__309.1.0.0	40	40	27	94	3.6888794541139363	3.6888794541139363	3.295836866004329	4.543294782270004
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr15:41576083..41576197,+__316.1.0.0	34	31	25	76	3.5263605246161616	3.4339872044851463	3.2188758248682006	4.330733340286331
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr15:45571390..45571504,-__320.1.0.0	29	29	24	66	3.367295829986474	3.367295829986474	3.1780538303479458	4.189654742026425
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr15:48624018..48624132,-__322.1.0.0	62	27	21	78	4.127134385045092	3.295836866004329	3.044522437723423	4.356708826689592
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr15:69707322..69707436,-__330.1.0.0	15	15	12	53	2.70805020110221	2.70805020110221	2.4849066497880004	3.970291913552122
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr15:76030923..76031037,-__332.1.0.0	52	30	26	92	3.9512437185814275	3.4011973816621555	3.258096538021482	4.5217885770490405
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr15:91260318..91260432,-__338.1.0.0	17	17	11	68	2.833213344056216	2.833213344056216	2.3978952727983707	4.219507705176107
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr16:21312125..21312239,+__342.1.0.0	16	15	7	55	2.772588722239781	2.70805020110221	1.9459101490553132	4.007333185232471
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr17:16342543..16342657,+__354.1.0.0	3	3	2	26	1.0986122886681098	1.0986122886681098	0.6931471805599453	3.258096538021482
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr17:21117577..21117691,+__359.1.0.0	42	41	40	70	3.7376696182833684	3.713572066704308	3.6888794541139363	4.248495242049359
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr17:72209446..72209560,-__370.1.0.0	19	14	7	67	2.9444389791664403	2.6390573296152584	1.9459101490553132	4.204692619390966
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr19:12098391..12098505,+__376.1.0.0	30	28	26	73	3.4011973816621555	3.332204510175204	3.258096538021482	4.290459441148391
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr19:12098432..12098546,+__377.1.0.0	12	12	9	45	2.4849066497880004	2.4849066497880004	2.1972245773362196	3.8066624897703196
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr19:12305750..12305864,+__378.1.0.0	42	35	29	91	3.7376696182833684	3.5553480614894135	3.367295829986474	4.51085950651685
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr1:113499041..113499155,+__6.1.0.0	10	10	6	59	2.302585092994046	2.302585092994046	1.791759469228055	4.07753744390572
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr1:116961180..116961294,-__8.1.0.0	23	22	17	60	3.1354942159291497	3.091042453358316	2.833213344056216	4.0943445622221
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr1:117602051..117602165,-__9.1.0.0	26	26	15	78	3.258096538021482	3.258096538021482	2.70805020110221	4.356708826689592
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr1:119683314..119683428,+__11.1.0.0	17	17	9	70	2.833213344056216	2.833213344056216	2.1972245773362196	4.248495242049359
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr1:151763230..151763344,+__21.1.0.0	44	32	25	53	3.784189633918261	3.4657359027997265	3.2188758248682006	3.970291913552122
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr1:152161701..152161815,+__22.1.0.0	40	26	20	45	3.6888794541139363	3.258096538021482	2.995732273553991	3.8066624897703196
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr1:155531741..155531855,+__23.1.0.0	38	24	13	73	3.6375861597263857	3.1780538303479458	2.5649493574615367	4.290459441148391
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr1:17216082..17216196,-__30.1.0.0	30	30	18	62	3.4011973816621555	3.4011973816621555	2.8903717578961645	4.127134385045092
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr1:17216132..17216246,-__31.1.0.0	27	27	18	52	3.295836866004329	3.295836866004329	2.8903717578961645	3.9512437185814275
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr1:173834005..173834119,-__33.1.0.0	12	12	10	38	2.4849066497880004	2.4849066497880004	2.302585092994046	3.6375861597263857
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr1:173835815..173835929,-__34.1.0.0	5	5	4	28	1.6094379124341003	1.6094379124341003	1.3862943611198906	3.332204510175204
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr1:19536933..19537047,+__38.1.0.0	28	27	8	95	3.332204510175204	3.295836866004329	2.0794415416798357	4.553876891600541
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr1:201798621..201798735,-__41.1.0.0	34	20	13	88	3.5263605246161616	2.995732273553991	2.5649493574615367	4.477336814478207
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr1:209848537..209848651,-__49.1.0.0	25	12	7	59	3.2188758248682006	2.4849066497880004	1.9459101490553132	4.07753744390572
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr1:239882369..239882483,-__61.1.0.0	17	17	15	41	2.833213344056216	2.833213344056216	2.70805020110221	3.713572066704308
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr1:31191505..31191619,+__65.1.0.0	55	35	35	103	4.007333185232471	3.5553480614894135	3.5553480614894135	4.634728988229636
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr1:43312058..43312172,-__75.1.0.0	13	13	13	49	2.5649493574615367	2.5649493574615367	2.5649493574615367	3.8918202981106265
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr1:93811262..93811376,-__97.1.0.0	8	8	7	27	2.0794415416798357	2.0794415416798357	1.9459101490553132	3.295836866004329
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr20:19738227..19738341,+__459.1.0.0	6	5	4	51	1.791759469228055	1.6094379124341003	1.3862943611198906	3.9318256327243257
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr20:25604604..25604718,+__464.1.0.0	22	16	8	74	3.091042453358316	2.772588722239781	2.0794415416798357	4.30406509320417
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr20:25604643..25604757,+__465.1.0.0	17	15	8	57	2.833213344056216	2.70805020110221	2.0794415416798357	4.04305126783455
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr20:57425898..57426012,-__485.1.0.0	41	30	26	77	3.713572066704308	3.4011973816621555	3.258096538021482	4.343805421853684
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr21:37802543..37802657,+__504.1.0.0	25	20	9	81	3.2188758248682006	2.995732273553991	2.1972245773362196	4.394449154672439
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr2:135676193..135676307,-__398.1.0.0	32	25	13	87	3.4657359027997265	3.2188758248682006	2.5649493574615367	4.465908118654584
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr2:165697165..165697279,+__1719.1.0.0	37	35	28	92	3.6109179126442243	3.5553480614894135	3.332204510175204	4.5217885770490405
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr2:174146730..174146844,-__407.1.0.0	30	27	19	76	3.4011973816621555	3.295836866004329	2.9444389791664403	4.330733340286331
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr2:175412030..175412144,+__1720.1.0.0	58	31	27	82	4.060443010546419	3.4339872044851463	3.295836866004329	4.406719247264253
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr2:177053205..177053319,-__409.1.0.0	6	5	3	47	1.791759469228055	1.6094379124341003	1.0986122886681098	3.8501476017100584
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr2:179278623..179278737,+__414.1.0.0	15	14	7	48	2.70805020110221	2.6390573296152584	1.9459101490553132	3.871201010907891
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr2:187867922..187868036,+__416.1.0.0	24	19	14	71	3.1780538303479458	2.9444389791664403	2.6390573296152584	4.2626798770413155
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr2:192711181..192711295,+__417.1.0.0	23	21	14	83	3.1354942159291497	3.044522437723423	2.6390573296152584	4.418840607796598
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr2:237076010..237076124,+__425.1.0.0	51	25	23	91	3.9318256327243257	3.2188758248682006	3.1354942159291497	4.51085950651685
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr2:25643882..25643996,+__1721.1.0.0	13	12	9	48	2.5649493574615367	2.4849066497880004	2.1972245773362196	3.871201010907891
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr2:27579075..27579189,+__431.1.0.0	5	5	4	22	1.6094379124341003	1.6094379124341003	1.3862943611198906	3.091042453358316
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr3:113933158..113933272,+__541.1.0.0	4	4	3	32	1.3862943611198906	1.3862943611198906	1.0986122886681098	3.4657359027997265
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr3:13521485..13521599,-__547.1.0.0	39	37	23	73	3.6635616461296463	3.6109179126442243	3.1354942159291497	4.290459441148391
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr3:156392133..156392247,-__559.1.0.0	33	25	19	74	3.4965075614664802	3.2188758248682006	2.9444389791664403	4.30406509320417
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr3:17085693..17085807,-__1722.1.0.0	18	7	4	66	2.8903717578961645	1.9459101490553132	1.3862943611198906	4.189654742026425
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr3:194304663..194304777,+__570.1.0.0	39	36	25	70	3.6635616461296463	3.58351893845611	3.2188758248682006	4.248495242049359
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr3:194868496..194868610,+__572.1.0.0	23	23	14	58	3.1354942159291497	3.1354942159291497	2.6390573296152584	4.060443010546419
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr3:40494633..40494747,-__577.1.0.0	30	25	14	82	3.4011973816621555	3.2188758248682006	2.6390573296152584	4.406719247264253
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr3:40494765..40494879,-__578.1.0.0	14	12	9	68	2.6390573296152584	2.4849066497880004	2.1972245773362196	4.219507705176107
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr3:47205883..47205997,+__582.1.0.0	21	21	13	59	3.044522437723423	3.044522437723423	2.5649493574615367	4.07753744390572
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr4:100009953..100010067,+__599.1.0.0	24	24	20	54	3.1780538303479458	3.1780538303479458	2.995732273553991	3.9889840465642745
